proc	conf
0	1
1	1
2	1
3	1
4	99
5	99
6	99
7	82
8	82
9	82
10	59
11	59
12	59
13	43
14	43
15	43
17	57
16	57
19	61
18	57
21	2
20	2
23	4
22	3
25	4
24	4
27	4
26	4
29	4
28	4
31	5
30	4
34	4
35	75
32	7
33	5
38	6
39	8
36	75
37	23
42	28
43	16
40	8
41	8
46	28
47	16
44	66
45	66
51	9
50	9
49	9
48	9
55	9
54	9
53	9
52	9
59	75
58	2
57	9
56	9
63	96
62	96
61	96
60	96
68	95
69	95
70	95
71	95
64	96
65	96
66	96
67	65
76	98
77	98
78	98
79	98
72	95
73	95
74	95
75	98
85	10
84	10
87	10
86	10
81	10
80	10
83	10
82	10
93	100
92	11
95	100
94	11
89	11
88	97
91	100
90	29
102	100
103	100
100	84
101	100
98	100
99	11
96	11
97	11
110	12
111	34
108	12
109	12
106	10
107	12
104	100
105	72
119	13
118	13
117	13
116	13
115	13
114	13
113	47
112	34
127	14
126	14
125	14
124	14
123	14
122	14
121	13
120	13
137	16
136	16
139	75
138	75
141	55
140	55
143	18
142	18
129	15
128	15
131	16
130	16
133	16
132	16
135	16
134	16
152	68
153	68
154	20
155	20
156	20
157	20
158	20
159	20
144	18
145	18
146	18
147	18
148	18
149	18
150	17
151	28
171	59
170	23
169	23
168	23
175	23
174	23
173	23
172	24
163	19
162	19
161	65
160	20
167	19
166	19
165	19
164	19
186	21
187	21
184	22
185	22
190	21
191	21
188	21
189	21
178	22
179	22
176	23
177	22
182	22
183	22
180	22
181	22
205	25
204	26
207	25
206	25
201	26
200	26
203	26
202	26
197	25
196	25
199	26
198	26
193	25
192	25
195	25
194	25
220	27
221	29
222	29
223	29
216	27
217	27
218	27
219	27
212	27
213	27
214	26
215	27
208	25
209	41
210	26
211	27
239	32
238	32
237	32
236	32
235	31
234	31
233	31
232	31
231	31
230	31
229	28
228	28
227	29
226	29
225	29
224	29
254	35
255	35
252	35
253	35
250	35
251	35
248	30
249	35
246	30
247	30
244	30
245	30
242	30
243	30
240	32
241	30
275	36
274	36
273	36
272	36
279	36
278	36
277	36
276	36
283	39
282	39
281	39
280	39
287	39
286	39
285	39
284	39
258	34
259	34
256	35
257	35
262	34
263	34
260	34
261	34
266	33
267	37
264	33
265	34
270	37
271	36
268	37
269	37
305	41
304	41
307	40
306	41
309	46
308	46
311	46
310	46
313	46
312	46
315	46
314	46
317	45
316	45
319	45
318	45
288	39
289	39
290	38
291	38
292	38
293	38
294	38
295	38
296	38
297	38
298	28
299	41
300	41
301	41
302	41
303	41
343	48
342	48
341	48
340	48
339	50
338	50
337	50
336	44
351	47
350	47
349	47
348	47
347	49
346	48
345	68
344	68
326	42
327	42
324	42
325	42
322	42
323	42
320	45
321	45
334	51
335	51
332	44
333	44
330	42
331	42
328	42
329	42
373	56
372	51
375	59
374	59
369	51
368	51
371	51
370	51
381	58
380	58
383	58
382	58
377	59
376	59
379	58
378	59
356	54
357	52
358	52
359	52
352	54
353	54
354	54
355	54
364	52
365	52
366	53
367	51
360	52
361	52
362	52
363	52
410	55
411	55
408	64
409	63
414	56
415	56
412	56
413	56
402	65
403	65
400	65
401	65
406	65
407	64
404	65
405	65
395	62
394	62
393	62
392	62
399	62
398	62
397	62
396	62
387	61
386	61
385	58
384	58
391	62
390	62
389	60
388	60
440	70
441	70
442	70
443	70
444	70
445	70
446	72
447	72
432	71
433	71
434	71
435	71
436	71
437	71
438	70
439	70
425	43
424	43
427	76
426	76
429	71
428	71
431	71
430	71
417	56
416	56
419	56
418	56
421	55
420	55
423	33
422	65
478	75
479	75
476	69
477	69
474	69
475	69
472	69
473	69
470	69
471	69
468	43
469	69
466	66
467	66
464	66
465	66
463	66
462	66
461	68
460	67
459	68
458	72
457	72
456	73
455	74
454	74
453	74
452	74
451	74
450	72
449	72
448	72
508	87
509	87
510	89
511	88
504	87
505	87
506	87
507	87
500	78
501	87
502	87
503	87
496	80
497	81
498	81
499	81
493	77
492	77
495	79
494	74
489	76
488	77
491	77
490	76
485	76
484	76
487	75
486	76
481	75
480	75
483	76
482	76
550	91
551	91
548	91
549	91
546	55
547	91
544	55
545	55
558	90
559	90
556	90
557	90
554	91
555	90
552	91
553	91
567	94
566	94
565	94
564	94
563	90
562	90
561	90
560	90
575	93
574	93
573	94
572	94
571	94
570	94
569	94
568	94
516	85
517	85
518	85
519	85
512	88
513	89
514	85
515	85
524	86
525	86
526	86
527	81
520	86
521	86
522	86
523	86
533	81
532	81
535	83
534	83
529	81
528	81
531	81
530	81
541	84
540	84
543	55
542	83
537	83
536	83
539	84
538	84
576	93
577	93
578	93
579	93
580	93
581	93
582	93
583	93
584	92
585	92
586	92
587	92
588	92
