proc	year
0	2
1	1
2	3
3	4
4	1
5	3
6	4
7	1
8	3
9	4
10	1
11	3
12	4
13	1
14	3
15	4
17	3
16	1
19	2
18	4
21	6
20	5
23	3
22	4
25	8
24	5
27	1
26	10
29	7
28	9
31	3
30	6
34	2
35	2
32	3
33	10
38	3
39	1
36	3
37	6
42	1
43	2
40	2
41	4
46	2
47	1
44	1
45	2
51	5
50	3
49	6
48	2
55	9
54	4
53	10
52	7
59	5
58	3
57	8
56	1
63	6
62	4
61	1
60	10
68	2
69	4
70	1
71	5
64	2
65	5
66	3
67	6
76	4
77	3
78	2
79	1
72	10
73	3
74	6
75	5
85	7
84	5
87	1
86	2
81	4
80	6
83	10
82	3
93	9
92	5
95	2
94	4
89	2
88	2
91	3
90	2
102	6
103	4
100	9
101	10
98	1
99	3
96	6
97	1
110	7
111	4
108	2
109	3
106	9
107	1
104	5
105	1
119	10
118	6
117	2
116	9
115	1
114	3
113	1
112	5
127	8
126	9
125	10
124	2
123	6
122	4
121	7
120	4
137	3
136	8
139	9
138	8
141	7
140	6
143	1
142	7
129	1
128	3
131	4
130	10
133	9
132	6
135	7
134	5
152	1
153	4
154	5
155	10
156	7
157	9
158	6
159	8
144	3
145	10
146	4
147	6
148	2
149	5
150	1
151	3
171	2
170	2
169	5
168	8
175	4
174	7
173	9
172	2
163	6
162	3
161	10
160	3
167	7
166	10
165	9
164	5
186	5
187	2
184	3
185	4
190	7
191	4
188	3
189	1
178	7
179	1
176	10
177	9
182	2
183	5
180	6
181	10
205	6
204	3
207	5
206	2
201	9
200	2
203	6
202	1
197	10
196	8
199	4
198	10
193	7
192	4
195	9
194	3
220	1
221	1
222	7
223	5
216	10
217	2
218	4
219	7
212	5
213	9
214	7
215	3
208	1
209	7
210	8
211	6
239	5
238	2
237	10
236	9
235	2
234	1
233	5
232	4
231	3
230	7
229	7
228	9
227	9
226	10
225	6
224	3
254	4
255	10
252	2
253	1
250	5
251	9
248	9
249	3
246	7
247	5
244	10
245	4
242	2
243	3
240	4
241	1
275	5
274	10
273	7
272	6
279	2
278	9
277	4
276	1
283	10
282	3
281	2
280	8
287	9
286	4
285	5
284	1
258	2
259	6
256	7
257	6
262	7
263	8
260	9
261	1
266	6
267	10
264	5
265	3
270	9
271	3
268	1
269	5
305	9
304	3
307	1
306	5
309	3
308	6
311	9
310	7
313	8
312	10
315	4
314	1
317	1
316	5
319	2
318	6
288	7
289	6
290	7
291	4
292	3
293	5
294	9
295	6
296	2
297	1
298	4
299	4
300	10
301	2
302	6
303	1
343	5
342	9
341	10
340	2
339	5
338	2
337	1
336	6
351	3
350	2
349	4
348	5
347	4
346	4
345	5
344	2
326	1
327	4
324	5
325	8
322	9
323	10
320	3
321	4
334	5
335	6
332	1
333	5
330	3
331	2
328	7
329	6
373	2
372	9
375	10
374	6
369	10
368	1
371	3
370	4
381	10
380	4
383	3
382	6
377	9
376	5
379	2
378	7
356	5
357	4
358	6
359	5
352	3
353	1
354	4
355	2
364	10
365	2
366	2
367	7
360	9
361	7
362	1
363	3
410	5
411	9
408	3
409	7
414	7
415	4
412	3
413	10
402	3
403	8
400	7
401	1
406	2
407	1
404	5
405	9
395	5
394	6
393	7
392	4
399	8
398	10
397	3
396	1
387	1
386	4
385	1
384	5
391	2
390	9
389	1
388	4
440	9
441	7
442	3
443	5
444	1
445	6
446	7
447	4
432	9
433	4
434	3
435	5
436	7
437	2
438	10
439	4
425	7
424	6
427	10
426	6
429	10
428	6
431	8
430	1
417	5
416	9
419	1
418	8
421	8
420	3
423	3
422	4
478	6
479	10
476	10
477	5
474	4
475	1
472	3
473	7
470	9
471	6
468	5
469	2
466	4
467	3
464	7
465	6
463	5
462	10
461	6
460	1
459	3
458	9
457	6
456	1
455	2
454	1
453	4
452	3
451	6
450	2
449	3
448	10
508	4
509	5
510	2
511	1
504	9
505	7
506	6
507	1
500	2
501	2
502	10
503	3
496	2
497	7
498	6
499	2
493	2
492	6
495	4
494	9
489	3
488	3
491	7
490	4
485	7
484	1
487	1
486	2
481	4
480	7
483	5
482	9
550	10
551	5
548	3
549	2
546	4
547	9
544	10
545	2
558	9
559	3
556	5
557	6
554	8
555	10
552	6
553	7
567	9
566	4
565	8
564	10
563	1
562	7
561	2
560	4
575	4
574	1
573	2
572	1
571	5
570	7
569	3
568	6
516	2
517	4
518	1
519	5
512	4
513	3
514	6
515	3
524	6
525	2
526	10
527	1
520	9
521	3
522	5
523	7
533	9
532	4
535	4
534	2
529	3
528	10
531	8
530	5
541	10
540	5
543	1
542	1
537	6
536	5
539	2
538	4
576	10
577	2
578	5
579	7
580	8
581	9
582	6
583	3
584	2
585	5
586	9
587	10
588	4
