title	proc
2	0
4	1
6	0
15	2
18	2
27	1
26	1
34	0
37	2
42	1
40	2
47	1
48	2
58	2
57	2
67	2
76	0
74	2
81	1
83	0
93	1
93	2
93	3
93	4
93	5
93	6
93	7
93	8
93	9
93	10
93	11
93	12
93	13
93	14
93	15
93	17
93	16
93	18
102	0
99	1
97	0
107	0
118	0
115	0
114	1
127	1
126	1
124	0
123	1
136	1
138	1
141	0
142	3
128	1
153	0
155	2
157	0
159	0
148	2
149	1
175	3
173	1
161	1
160	1
165	1
184	0
185	1
188	3
189	0
176	2
182	2
180	1
206	1
201	0
196	0
198	2
221	0
221	19
218	1
219	0
211	1
238	20
235	20
229	21
227	2
225	2
255	22
249	21
241	21
276	22
280	22
287	23
286	24
285	25
304	25
307	26
306	27
309	24
311	25
310	25
312	28
314	23
317	23
316	29
319	27
318	28
288	30
289	24
290	28
291	25
292	28
293	24
294	24
295	30
296	25
297	24
298	30
299	24
300	31
301	28
302	29
303	25
343	25
342	27
341	27
340	29
339	28
338	24
337	28
336	25
351	27
350	25
349	24
348	28
347	24
346	28
345	23
344	24
326	28
327	27
324	27
325	23
323	27
320	25
321	28
334	26
335	27
333	24
330	27
331	29
328	24
329	27
373	23
372	23
375	26
374	25
369	29
368	26
371	23
380	27
383	24
382	24
377	28
376	30
378	30
356	26
357	26
358	23
359	24
352	30
353	29
355	27
364	24
365	30
366	27
367	24
360	27
361	24
362	30
363	28
410	30
411	30
408	24
409	28
414	29
415	29
412	23
413	23
402	26
403	25
400	28
401	23
407	30
404	29
405	24
395	28
394	24
393	24
392	32
399	26
398	29
397	27
396	27
387	23
385	25
384	27
391	28
390	26
389	27
388	24
440	24
441	27
442	24
443	27
444	26
445	28
446	23
432	30
433	26
434	24
436	32
437	24
438	30
439	26
425	23
424	24
427	23
426	24
429	29
428	23
431	23
430	30
417	30
416	28
419	24
418	26
421	27
420	28
423	25
422	27
478	28
476	24
474	28
475	24
472	23
473	29
470	25
471	25
468	28
466	25
465	27
463	29
462	30
461	29
460	24
459	30
458	28
457	28
456	27
455	30
