directedby	movie
1299	1191
3037	2753
1744	1588
2692	2453
3920	3561
113	107
4070	3690
3903	3545
2185	1985
261	245
2752	2505
3038	2754
1974	1793
1298	1191
4196	3800
1946	1767
2791	2542
3917	3558
3258	2952
129	123
2967	2701
3730	3384
3458	3134
3472	3144
4448	4029
656	602
2943	2680
1510	1382
1833	1665
4249	3846
1598	1454
2208	2005
4250	3847
1514	1386
3795	3443
2746	2500
896	820
1358	1243
830	762
4110	3725
2966	2701
1025	936
1047	957
1688	1540
3801	3449
1687	1539
4005	3639
3716	3373
1892	1720
2099	1908
2700	2459
1778	1620
631	578
3191	2889
2243	2037
2543	2316
2748	2501
1054	964
2520	2293
850	780
3559	3228
1062	969
2271	2064
2495	2271
1851	1683
112	107
2606	2375
1689	1540
3715	3373
2098	1908
2788	2539
459	421
978	896
2747	2501
4155	3768
2865	2610
4081	3697
3406	3093
3084	2790
2130	1936
3554	3224
4177	3789
3264	2958
2369	2153
1066	973
502	461
3213	2910
2362	2147
4375	3965
3483	3155
1795	1630
482	442
4073	3690
2572	2343
1372	1255
2864	2610
1009	922
1887	1715
2611	2380
2877	2621
3494	3165
3555	3224
1982	1800
3261	2955
667	612
2448	2229
1410	1291
2676	2439
4274	3871
148	141
3644	3311
2317	2105
1794	1630
3731	3384
4072	3690
3932	3572
3390	3077
2755	2508
2058	1874
4232	3831
2191	1991
3328	3019
3706	3365
2671	2435
2697	2456
1902	1729
1350	1236
2725	2482
3666	3330
1764	1606
2736	2492
2896	2639
4071	3690
706	648
2449	2230
1220	1117
3023	2749
1888	1716
4231	3831
3108	2813
1213	1112
2363	2147
3938	3577
3665	3330
2897	2640
3568	3237
4433	4016
1423	1303
404	370
1439	1318
2505	2279
508	466
846	776
672	617
1956	1776
4589	4159
2384	2167
3317	3008
184	176
3974	3610
3430	3107
2483	2260
1812	1645
341	316
405	370
4229	3829
1422	1303
998	913
4434	4016
2886	2629
4520	4097
3936	3575
4313	3907
1180	1080
845	776
2885	2629
3873	3517
1218	1116
3536	3206
1838	1670
3684	3345
1342	1228
235	223
3315	3006
101	96
4435	4016
3995	3631
997	913
1793	1630
3419	3099
1032	942
1482	1357
848	778
2467	2245
275	258
1828	1660
47	46
1473	1349
857	786
3899	3541
3325	3016
2209	2006
4228	3829
1008	922
565	519
2028	1845
1016	928
3050	2765
2776	2528
2860	2606
864	792
3288	2980
1776	1618
2029	1846
4182	3793
3163	2863
2240	2034
3883	3527
3100	2805
181	173
3546	3216
3418	3099
566	519
4347	3938
1185	1085
729	669
40	39
3895	3537
3314	3005
2775	2528
4487	4064
400	370
3125	2827
2421	2204
3772	3421
387	358
4415	4003
3627	3294
72	69
4269	3866
1407	1288
2224	2020
692	636
401	370
2328	2115
2760	2513
3588	3257
702	645
659	605
1675	1528
1040	950
666	611
4305	3899
3859	3503
1791	1628
577	529
844	775
1366	1250
3755	3407
703	645
2821	2568
3110	2814
402	370
1572	1433
3837	3485
4213	3816
225	214
942	865
3683	3345
1462	1339
843	775
1761	1604
3433	3110
1367	1250
304	285
1579	1438
2603	2372
403	370
728	669
4113	3728
4207	3810
3771	3421
3137	2838
3387	3075
520	476
719	661
1777	1619
1461	1339
1881	1709
3212	2909
1351	1237
752	690
2419	2202
4151	3765
3963	3600
3904	3546
4246	3844
2869	2614
4449	4030
1548	1418
3921	3562
2100	1909
3267	2961
1455	1333
1485	1360
2778	2530
2230	2026
3377	3065
4374	3964
538	494
2465	2243
2723	2480
116	110
2817	2564
1922	1746
4557	4130
3612	3280
2537	2310
2615	2383
2664	2429
3216	2912
3166	2866
660	605
867	795
1010	922
2524	2297
4376	3966
2266	2059
390	361
2109	1916
3682	3344
1635	1488
4498	4075
4351	3942
3106	2811
3982	3618
153	146
273	256
3294	2985
60	57
2276	2069
783	717
377	348
372	343
1985	1803
2444	2225
3104	2809
3856	3500
1495	1370
768	706
3894	3536
2958	2694
3676	3338
3732	3385
3680	3342
163	156
250	236
739	679
3015	2741
3446	3123
2858	2604
1621	1474
782	717
109	104
871	799
1765	1607
751	690
2284	2074
2539	2312
789	723
2722	2479
3009	2735
3405	3092
1437	1316
2955	2692
2180	1981
3744	3396
3109	2814
1702	1550
3832	3480
2339	2125
146	139
526	482
1480	1355
3764	3415
4227	3828
4451	4032
1029	940
3003	2730
4440	4021
2068	1883
3046	2761
4297	3893
1489	1364
169	162
3008	2734
2424	2207
4502	4079
3519	3189
3763	3415
3535	3205
3215	2912
1214	1113
2473	2251
1552	1422
1582	1441
3600	3268
325	304
4582	4153
2301	2089
440	403
1955	1776
4298	3893
152	145
3875	3519
4413	4001
323	302
3576	3245
2226	2022
4164	3776
3201	2898
2593	2363
3355	3044
362	335
4245	3844
2288	2077
2968	2702
3888	3531
4517	4094
1417	1298
4230	3830
435	398
2023	1840
71	68
239	227
832	764
3577	3245
1222	1119
4574	4146
3129	2831
710	652
1596	1452
4142	3756
79	75
85	80
1992	1810
1086	992
103	98
934	857
3791	3440
917	840
3107	2812
763	701
1268	1164
3214	2911
1031	941
424	389
4349	3940
475	435
3940	3579
3580	3248
4278	3875
2095	1905
4198	3802
1320	1210
2031	1848
519	475
140	133
4588	4158
3789	3438
3128	2830
872	800
4394	3983
3792	3440
131	125
441	403
2491	2268
3278	2971
1036	946
1267	1164
1647	1500
939	862
1632	1485
1112	1016
2474	2251
474	435
1755	1598
3667	3331
769	707
2121	1927
406	371
4361	3952
747	686
623	571
1339	1225
2173	1974
1038	948
597	547
4391	3980
817	749
473	435
2034	1851
2277	2070
7	6
3013	2739
1408	1289
2544	2317
3981	3617
3803	3451
1539	1410
3821	3469
1509	1381
3608	3276
409	374
744	683
2942	2679
4390	3980
210	199
2188	1988
556	511
1380	1262
816	749
3220	2916
3200	2897
1030	941
164	157
2033	1850
3557	3226
2970	2704
1813	1646
3625	3292
3542	3212
2833	2580
3442	3119
4311	3905
2454	2235
4442	4023
1182	1082
2407	2190
4343	3934
4412	4000
4398	3987
3274	2967
685	629
4017	3650
2054	1870
1136	1040
2689	2451
418	383
3915	3556
4367	3957
1163	1064
392	363
669	614
619	567
3768	3418
639	586
1719	1566
3839	3486
1962	1782
3945	3583
2835	2582
4417	4005
4587	4158
3506	3176
352	326
260	245
533	489
1822	1655
419	384
785	719
755	693
3961	3598
2880	2624
2704	2463
4504	4081
3838	3486
2264	2057
4324	3917
227	216
1873	1703
2063	1879
2201	1999
724	666
69	66
353	326
1683	1535
3251	2946
2118	1924
3056	2770
4400	3989
3447	3124
2075	1888
1840	1672
4085	3701
2019	1836
3629	3296
2261	2054
4118	3733
1819	1652
813	746
3206	2903
4344	3935
367	339
2272	2065
2624	2392
3012	2738
4336	3928
988	905
495	454
3673	3336
3949	3587
1785	1623
2882	2626
1307	1199
76	72
715	657
2439	2220
3955	3592
1133	1037
1861	1691
3132	2834
863	791
2962	2698
1723	1569
1894	1722
4541	4115
3422	3099
4236	3835
3674	3336
3767	3418
3648	3315
3933	3573
3775	3424
4174	3786
801	734
663	608
1335	1222
2192	1992
1860	1691
3022	2748
1662	1515
4512	4089
1587	1446
3958	3595
2275	2068
2394	2177
3232	2928
1383	1265
3146	2847
396	367
701	644
448	410
3564	3233
3937	3576
3761	3413
576	528
537	493
1097	1003
408	373
1483	1358
1122	1026
4568	4141
1404	1285
881	809
2290	2079
1810	1643
3855	3499
3374	3062
4377	3967
17	16
738	678
2759	2512
238	226
3900	3542
1896	1723
745	684
2305	2093
34	33
3323	3014
3760	3412
357	330
2590	2360
356	329
4511	4088
3313	3004
2888	2631
130	124
270	253
167	160
2352	2138
461	423
3075	2781
615	563
384	355
3113	2817
678	623
1191	1091
453	415
4407	3995
3750	3402
2840	2587
3226	2922
3000	2727
3322	3013
173	165
514	470
1051	961
4149	3763
55	52
1378	1260
2477	2254
2248	2042
4125	3740
4083	3699
558	513
2092	1902
1035	945
3850	3495
3635	3302
4551	4124
2017	1834
3421	3099
1725	1571
3316	3007
4285	3881
970	890
1571	1432
3102	2807
1109	1014
835	767
4356	3947
4202	3806
78	74
2149	1952
3420	3099
904	828
1726	1571
2631	2398
2701	2460
2316	2104
3758	3410
4212	3815
75	72
2144	1948
3551	3221
74	71
4406	3995
4539	4113
4562	4135
2724	2481
2844	2591
4342	3933
4538	4113
2346	2132
2516	2289
4293	3889
2161	1964
4248	3845
3560	3229
1661	1514
976	894
4064	3690
3087	2793
1103	1008
1037	947
873	801
1309	1201
995	911
1917	1742
4537	4113
3613	3281
4234	3833
4171	3783
1900	1727
4105	3721
1104	1009
586	538
2159	1961
1652	1505
4247	3845
3663	3328
1026	937
1802	1636
4063	3690
3607	3275
1918	1742
3514	3184
3361	3050
180	172
1943	1765
2630	2397
4031	3662
578	530
929	852
2930	2669
4066	3690
677	622
175	167
1090	996
2000	1818
2420	2203
358	331
870	798
2060	1876
1978	1796
4296	3892
1503	1375
2906	2649
4065	3690
2931	2669
2125	1931
1847	1679
2045	1861
4380	3970
4368	3958
2751	2504
4068	3690
1186	1086
4219	3821
1328	1216
2485	2262
3336	3026
3142	2843
521	477
4500	4077
4395	3984
245	232
3373	3062
1192	1092
2670	2434
159	152
468	430
693	637
2414	2197
3468	3139
1119	1023
4067	3690
449	411
2525	2298
1348	1234
4475	4054
2954	2691
1779	1621
1987	1805
2801	2551
3783	3432
4220	3822
1636	1489
1337	1223
3291	2983
1808	1642
1983	1801
2353	2139
1074	981
2297	2085
324	303
3877	3521
1219	1117
3282	2974
925	848
1465	1342
1356	1241
1680	1533
2238	2032
1809	1642
2796	2546
2922	2662
156	149
4069	3690
1766	1608
2296	2085
1703	1551
2141	1945
2702	2461
4218	3821
4265	3862
1081	987
1474	1350
92	87
464	426
2634	2401
3677	3339
32	31
2795	2546
3597	3265
2237	2032
2750	2503
4346	3937
3565	3234
1897	1724
937	860
814	747
2923	2662
1300	1192
931	854
1844	1676
3135	2836
1753	1596
1377	1259
410	375
3948	3586
1521	1393
3652	3319
2761	2514
1420	1301
3381	3069
3964	3601
650	596
4014	3647
1606	1461
4416	4004
4396	3985
3532	3202
1426	1305
3305	2996
4484	4061
1004	919
2256	2049
4050	3677
975	893
1522	1393
4034	3665
4255	3852
337	312
111	106
2446	2227
1644	1497
3398	3085
1469	1345
2409	2192
2197	1996
1627	1480
1754	1597
535	491
2408	2191
214	203
335	310
1620	1473
1752	1596
2059	1875
1034	944
2268	2061
1578	1437
1478	1353
4059	3686
3451	3128
2122	1928
2198	1996
2065	1880
683	627
3194	2892
1072	979
2871	2615
1984	1802
1201	1101
1477	1353
2812	2560
3053	2768
3227	2923
284	266
334	310
2607	2376
3831	3479
4200	3804
585	537
2866	2611
2870	2615
544	500
4555	4128
3440	3117
480	440
3179	2878
2811	2560
3798	3446
883	811
1028	939
4042	3670
3561	3230
63	60
4078	3694
1015	927
1138	1042
1959	1779
2591	2361
993	909
1659	1512
3399	3086
3095	2801
1486	1361
436	399
2196	1996
4382	3972
2924	2663
1195	1095
472	434
1095	1001
2437	2218
1807	1641
417	382
4461	4041
3400	3087
3596	3264
588	540
2371	2155
2680	2442
2286	2076
2345	2131
2478	2255
3718	3375
4584	4155
1231	1128
3365	3054
1677	1530
2728	2485
1159	1061
1695	1546
2108	1915
345	320
4262	3859
3343	3032
1525	1396
2220	2016
2920	2660
915	838
2389	2172
3141	2842
3727	3382
3116	2820
2521	2294
2488	2265
2287	2076
913	836
2097	1907
3167	2867
1852	1684
142	135
532	488
298	279
2086	1897
1696	1546
2515	2288
2107	1915
3330	3021
3584	3252
4273	3870
1544	1415
1412	1293
2732	2489
3043	2758
840	772
2654	2420
2945	2682
1409	1290
3825	3473
1228	1125
4327	3919
2395	2178
2355	2141
4497	4074
3985	3621
1255	1151
1938	1761
2517	2290
1701	1549
119	113
285	267
860	788
4508	4085
570	522
2959	2695
3787	3436
3455	3131
4144	3758
2331	2118
431	394
4373	3963
1343	1229
1951	1772
2565	2337
1387	1269
2647	2414
1614	1468
4093	3709
3208	2905
690	634
2554	2327
1923	1747
1937	1760
1433	1312
1871	1701
2803	2553
2222	2018
19	18
1242	1138
1388	1270
658	604
3572	3241
1868	1698
1073	980
1445	1324
721	663
1846	1678
2044	1860
1252	1148
1615	1468
3749	3401
4326	3919
385	356
