movie	actor
1697	3095
3963	8508
2666	9786
3116	6206
3515	2724
788	4034
460	4091
1536	83
165	1905
4154	1012
985	2868
2682	4641
1888	5443
56	797
1155	7597
408	4328
3936	933
3664	7180
135	1724
778	5735
1336	538
920	6908
1676	7354
406	2213
1432	128
2796	942
3554	9743
1075	7327
762	463
306	3293
3764	8130
3511	140
2193	8150
1673	828
1146	7536
1139	6683
2087	2375
3789	810
2836	7658
2166	1388
2602	5318
2256	4981
1075	2032
3857	7054
3050	7709
834	6555
2203	4844
1595	6036
1072	1899
1595	6053
299	3492
433	1272
2903	4770
627	2589
467	4742
2267	8913
635	5047
144	1847
315	3610
1497	2625
1752	8876
2152	5507
3533	9233
627	3596
210	2794
312	3565
4011	9918
3167	8196
2602	724
2666	4401
1935	4772
2418	4807
1158	2496
1964	2134
863	6447
699	5901
1457	6054
98	1305
556	5079
3838	4567
2476	3586
3574	2246
1727	4228
3967	3877
3150	5323
1692	7578
1865	2318
1190	4778
965	2179
269	3282
36	355
260	3246
1514	8476
4119	714
3393	5241
2672	2933
2509	9611
1117	5067
1212	5521
2990	3824
2472	5118
788	1799
360	3973
405	4311
2183	6947
1173	5128
1232	5201
4009	4905
998	1629
36	344
2918	5831
656	5703
3935	1160
2583	4897
3816	4508
111	1462
3315	9162
1492	8436
1809	8958
2871	4772
3477	6652
3350	4267
1054	7283
951	1144
1982	4176
2335	9594
1060	2195
3582	5200
3230	9485
3797	3823
1082	5205
2858	5244
778	6322
275	3360
2368	9391
2561	3349
2321	2970
3633	8902
909	2920
2185	7435
3361	1211
3473	9666
1148	7565
4115	1661
2727	9716
3744	2889
2630	4811
104	115
2254	6509
2718	4513
2923	141
2456	770
352	3929
1371	6616
1075	7329
965	5908
41	515
3700	6595
866	6635
1155	3042
1163	7629
3541	866
4021	281
2520	8109
877	4458
3193	9282
1783	7809
3007	34
1829	4417
3973	6159
1148	6032
1139	6644
3721	5180
2675	6549
2440	6683
498	2456
1961	1757
1308	5908
3063	8553
1729	8843
2523	3521
3252	1364
1438	5320
1850	1507
741	5381
1089	553
4158	714
3238	5003
1788	8929
18	94
1280	7958
2768	7262
2792	9008
1156	1036
1146	2324
2660	840
3093	9792
2195	7428
3648	9807
2062	1923
1251	7903
1251	6718
2615	5484
549	4608
3181	4748
2522	1293
1267	3583
111	1465
412	245
3322	3042
2252	5951
1985	5382
2649	6180
771	1007
425	4445
1595	6082
719	2956
123	1624
28	203
713	5982
1872	5660
2658	187
1347	6698
3904	1877
2943	6357
3616	9760
564	5300
771	6300
4115	2055
1429	4310
1931	8123
1080	6145
2034	601
732	6087
2183	3307
2590	5198
1452	8355
2141	4520
2193	5991
26	161
161	2139
3043	4134
42	519
3709	8715
3078	4284
369	4086
3784	9993
2984	468
1201	4609
2794	7877
1917	6783
3789	7240
82	1083
342	3870
1651	8717
2969	446
36	367
2507	7747
1658	4187
2783	9849
1854	7622
1042	7256
849	6583
2166	5865
1494	8440
3939	1291
1618	4316
3265	2925
3685	6626
2858	2316
2799	9584
1612	8175
3857	4076
3506	644
2215	6973
427	4493
2301	9555
737	6133
2783	2402
788	1772
1181	5015
2773	8743
863	6623
2436	7275
801	2890
1246	836
2219	7276
2540	9186
1181	7695
1717	5365
1583	2401
1749	3719
2595	2825
1326	6157
3736	1960
230	2935
2926	7246
2263	2489
579	2102
1174	7676
2505	8403
833	6547
858	4512
877	18
3814	1983
916	1920
3622	706
2926	4156
2800	5998
2663	9784
3784	9984
1094	1153
1305	5843
1677	7257
2107	2605
3749	3486
2950	1816
2623	9320
2599	1679
3116	5807
3696	4663
3935	5786
3104	8016
915	4776
3167	3692
2031	5233
3239	4319
1508	8467
2579	1165
1340	6911
2381	5934
968	831
912	6852
4032	8465
1669	8747
141	1778
1166	3383
1651	8509
2297	3866
106	1378
3885	8637
3981	6412
3370	9862
719	1946
1626	4311
421	4414
3784	3773
2593	2473
1179	7394
161	2131
3636	2729
788	1790
370	4096
2268	9182
3626	243
3892	6737
1646	7200
1835	1701
3507	5627
635	4964
3555	9668
278	3383
2917	2421
3560	8230
1414	4723
3834	1830
1970	7144
2917	2886
968	4130
4110	9484
3488	6931
3682	9701
3478	4459
2373	166
3484	4772
3443	7179
503	5058
1998	7852
2800	3290
2058	7656
3673	6827
2329	6823
3896	2334
2180	9440
291	3457
3289	9749
1205	7797
4115	4956
2293	425
2927	2772
3776	1006
2667	5096
3347	461
1011	4259
2760	4393
3179	7500
2141	6371
361	3980
3798	1310
3700	7264
3183	9948
2927	7720
1972	9215
2075	3678
965	4219
2435	6673
28	223
1011	7185
3127	9941
2171	2939
2466	799
1681	4425
3973	7655
2602	2043
925	6927
3386	3904
688	4156
2776	4272
3754	2819
2932	2035
2871	192
1855	3992
3100	5961
3465	9970
270	3298
2044	1129
3646	6523
3286	9869
1526	8497
3363	1340
1097	7364
875	6675
1026	7228
2129	5970
2413	7934
1501	8460
1865	9057
3527	2844
242	3029
1612	7470
1970	4870
1473	8386
1517	2526
3519	6896
4122	2809
3981	9184
3270	7716
82	1082
838	6558
3673	3404
3959	2112
3992	3748
3987	8064
319	2099
20	107
1125	5756
495	4921
500	5017
1657	5230
1785	8918
3180	5945
1980	9047
3959	992
3783	2385
2819	1844
925	5423
22	127
3769	5923
70	950
859	6608
2609	7004
1917	1417
183	2484
380	4167
1300	8007
128	703
1995	8546
635	2629
3951	2185
3791	9226
1424	4217
2481	5173
944	6978
875	831
3598	9974
1519	1946
2394	3829
246	3070
2739	1151
749	4909
1416	2837
112	1479
3708	2559
1563	8131
384	4189
2355	1827
3883	5391
3768	3606
2119	9368
100	1322
187	2532
3125	4096
275	3364
506	5092
3793	1112
425	4451
1457	6043
3679	639
1093	7399
2297	7382
668	2064
2589	4311
2680	1283
834	886
3315	5161
1348	4426
2189	5827
1373	4282
4158	6471
2939	8022
2143	2829
3693	4392
2793	3699
4113	7597
3231	5123
2310	9572
2520	109
3659	3544
2692	6416
2161	8236
3193	7861
67	881
3242	5408
1300	3506
447	4619
2206	4875
904	3836
3502	6225
2504	800
3455	1874
1979	5613
34	289
3622	2253
673	5792
1457	6082
773	6312
3770	6621
1761	7085
2750	6797
463	4728
2931	9899
2323	6552
858	5841
1780	4184
944	5200
2206	5197
2203	8450
1657	4627
365	4059
1489	8337
270	3323
1367	2283
787	6372
1995	1856
144	1845
2984	8307
812	4650
4143	2410
1123	7475
1386	8234
1565	3989
4114	3393
4002	2386
2386	1938
638	5607
2101	6815
1118	7462
1129	4555
1457	6060
