movie	character
3438	1047
2920	22962
2328	18780
3238	10425
3531	27080
3778	28790
3677	27913
412	4427
2403	10294
3750	28584
2602	20538
2684	21264
2603	20563
340	3128
872	7872
3720	28359
2817	25
2519	737
3679	27944
318	3541
447	4729
3975	30120
3665	774
3135	24507
2864	5754
2805	22221
2033	16431
1727	2537
1595	13237
1333	3128
3833	29273
2667	21079
2923	22997
976	8652
2300	18541
1482	7931
2273	18318
3895	29664
179	2299
1686	2196
2246	16065
2263	18221
900	8075
1985	16177
2406	19316
1970	16009
376	4113
1322	11178
2297	18521
2405	19305
4088	30930
2727	21627
2714	21505
2470	19748
2413	19386
2387	19223
1060	9114
2109	3084
3334	23055
2710	21469
324	3581
408	2034
481	5071
2192	17607
710	6678
1977	16053
2315	310
392	4248
1434	11956
3698	28151
3374	16692
2255	18131
4087	6813
174	2225
3968	5660
2986	23535
182	2321
3293	25656
44	596
1879	15321
3148	24599
374	170
1384	11678
160	1968
4119	31111
2114	16958
2859	22572
2764	8817
1428	11880
3904	29730
2781	1111
210	2666
101	1253
2301	16443
185	2393
86	1057
1785	14527
3171	1046
427	2385
4080	30888
4078	30859
2767	4217
2630	20778
2351	18978
1806	14706
875	7885
3793	28959
1308	11114
1575	13028
2920	3197
3185	24862
2697	21398
429	4624
3627	27719
1910	15538
3187	1664
3040	23855
1322	11170
1982	16135
363	3957
4123	18819
3652	3241
2514	1841
1089	1706
2767	10025
2246	18054
3352	1406
3788	5177
1884	2732
2864	2240
2828	22314
2107	1279
3769	28729
563	5648
3161	24643
317	3521
1325	11212
250	2842
2847	22435
82	1031
4056	30712
3186	1163
1429	11895
2799	1706
233	493
2536	20084
642	6163
44	563
3193	8463
760	7163
3021	23767
2507	19925
837	7689
4151	15165
614	5959
48	688
1489	12445
1822	14786
1134	825
3835	29296
2022	1047
3432	26407
2989	23574
1095	879
3300	17503
2192	17599
3288	25585
1438	11998
3310	2183
697	6556
1243	10713
591	5800
175	2251
423	250
1873	15256
2890	12816
3648	27796
596	5863
1578	13044
2922	22986
4081	30894
334	3661
3857	29384
2854	19
3929	2179
1075	9217
2428	3164
3289	25626
99	1241
2246	18046
1887	1678
3391	26170
2894	22799
1625	13569
883	7965
2206	17723
110	858
1569	12976
3821	29200
3058	24024
956	1704
872	1084
3104	24293
497	5227
2183	3066
1700	3197
4049	30678
1434	10380
1819	14759
3559	10433
165	2118
3099	24233
1255	10761
2345	1253
1457	12229
2916	22928
2460	19698
482	5077
3135	12799
3094	515
527	5413
1228	10582
3456	26550
2270	18277
2368	19047
891	8036
3855	8622
3729	28396
3554	27230
4144	31305
2394	136
2720	21572
3212	1501
2575	2573
2109	16884
1536	12701
245	2615
3227	1231
48	690
3242	25275
1935	15682
989	8725
904	5054
2104	16826
2189	17589
1118	9531
1245	10716
709	6672
130	1620
148	1811
771	7242
651	3920
138	1665
3985	30157
1138	9642
1435	11976
1462	12277
311	3419
1910	15537
4013	30414
2621	20699
