movie	director
3403	3085
4069	3593
822	858
389	419
2560	551
3044	2792
2871	2661
3062	2805
4115	574
2701	2518
424	454
3351	3038
2033	1982
3992	333
1145	1166
2490	1937
1691	1681
2918	2696
906	938
2775	90
251	265
1791	1774
3356	3041
2738	2356
3524	3175
1638	1634
638	671
743	775
315	336
3570	3212
1084	1111
3388	3074
1580	1585
1292	1311
968	1003
3679	1199
3426	3103
2861	2534
2814	2619
2077	2021
2191	2113
1653	1647
3801	3395
4158	640
1835	1807
3574	3216
361	386
1509	1521
2931	786
1789	1772
3147	2884
2884	2673
76	79
115	119
941	977
3863	3442
1184	1202
2144	539
2359	2248
3858	3438
834	870
1830	1803
1987	1786
175	181
1191	1211
701	732
2668	2495
181	188
554	592
1138	1160
1042	1072
286	303
2318	2215
1657	1651
1377	1396
2458	2331
1247	1269
2785	2600
2974	2743
907	939
2279	2186
3845	3431
412	29
1991	1943
2798	2608
711	743
57	60
2251	258
271	287
3798	149
817	155
2078	2022
246	259
2691	1829
784	817
3910	3470
3210	2930
659	694
2102	2043
1186	1205
2729	211
3489	3150
403	435
3827	3413
3380	3067
2707	2525
2049	1994
1303	1321
1525	1532
2629	2466
962	998
929	965
867	902
3911	3471
1076	698
3915	3474
3408	3090
353	378
3099	2843
3465	2922
2005	1959
1011	549
188	196
2604	2447
2435	2160
1602	1600
2527	2390
3639	3260
3318	1817
3813	3404
2536	2400
993	1027
2180	262
3852	3436
4129	3634
3042	2791
61	64
2221	1357
3081	2823
2711	2529
2460	21
3660	3279
1277	1295
6	7
2433	2307
1000	1032
3220	2935
2108	2048
2283	2189
2735	2546
1054	1084
444	474
1734	1719
2556	2399
3538	2676
134	139
1276	974
1061	1090
369	394
1110	1133
2042	1987
128	132
2187	1540
1353	1358
1385	1403
3120	2856
1139	1161
963	999
3349	2113
272	288
422	452
1939	600
294	311
3243	2955
1779	1763
2777	2595
3321	490
2384	2268
1872	915
2296	170
2166	587
3936	3492
3590	898
2864	2653
3174	952
3307	224
3712	3321
3323	3015
591	628
2013	1965
1310	1330
961	997
124	128
255	269
1398	1416
1438	1462
1047	1077
847	883
2039	1191
1431	1453
2755	2569
209	217
2203	2122
2572	868
296	313
1250	1273
3168	2903
1553	1562
1624	417
3847	1815
3324	2139
1736	1258
3706	3318
703	734
1537	1545
2375	2261
3190	2917
3196	2920
1951	1915
3421	2869
2328	502
1500	943
3996	3536
2271	2177
2008	1962
1941	1903
1677	1073
177	183
1072	1100
1149	1169
1925	1889
650	685
370	398
3330	3020
1530	1537
1350	1368
1847	1819
2053	1998
3089	2830
3885	3453
2454	2326
2326	2222
2459	2332
1443	1466
2478	1326
4063	3588
3854	373
3298	2995
245	258
2558	953
4034	2749
2659	2487
2213	2130
3312	1212
1267	1286
669	305
3734	3339
977	1014
111	115
3985	3530
2009	1358
3828	3414
1620	1615
2079	2023
86	89
2390	2273
500	533
3958	3511
1035	1066
2245	2156
3900	2743
1652	1646
217	226
3109	2131
1861	1833
3789	682
2498	2363
1704	1694
1868	1838
334	357
1485	307
497	530
2745	2554
332	355
172	178
55	58
3821	3411
1232	1254
3659	2268
85	88
24	25
3019	2773
879	913
218	227
1944	1906
3969	309
2548	930
744	776
1103	1127
3179	2909
3663	904
1940	1901
3040	508
2122	2060
4094	3612
1857	1829
3699	3313
928	964
53	56
2740	2550
2641	2472
4108	641
2145	2078
3493	2243
3867	472
1241	1263
3642	3264
2092	2034
1172	1191
4144	3643
456	316
3820	3409
1585	842
1704	1695
2730	1247
2158	2090
1020	1051
1027	1058
225	234
1436	1460
1233	1255
2674	2501
1081	1108
1887	1854
3654	3275
3748	3349
1584	1588
3955	3507
2865	2654
2397	2279
3288	1199
1745	1606
375	405
4032	3564
2933	2706
129	133
4052	653
1239	1261
2292	1378
4061	171
3604	3239
1505	1517
3332	2294
298	315
3959	3512
2402	1685
2751	48
2796	438
3938	3494
3133	2870
1024	1055
3078	2820
667	699
3624	2406
819	856
226	235
2398	2281
1563	1358
1296	126
3263	2971
4097	3614
1335	1354
1128	451
2268	2172
985	1021
922	956
1645	1641
2521	2385
3402	3084
3358	3043
2155	2086
2420	2146
3445	122
544	581
2450	2321
2716	2534
1214	1235
676	708
2942	2711
1402	1419
393	425
510	544
4106	2578
820	129
1688	1677
580	554
496	529
28	29
1588	1590
74	77
2453	2325
528	565
1375	1393
2091	2033
3701	3314
2912	2693
2304	493
1270	1289
907	940
1511	685
1165	1184
1854	1826
1915	1878
1460	1482
1487	1503
2633	603
378	408
2504	2371
3777	3372
3508	122
1650	1501
3690	3306
345	370
527	564
2116	2054
3943	3497
1750	1732
2579	1114
3096	2839
1586	36
1926	1890
2591	211
2628	2465
2093	2035
3787	3380
38	39
830	867
5	6
2309	2209
3582	1186
1037	1067
277	293
2577	2432
2638	439
2773	2585
470	503
1905	1868
2381	749
2135	2071
3301	2998
173	179
2084	2027
985	412
504	538
3780	3374
915	948
3136	2876
1897	1861
96	99
3360	3045
3995	3534
3930	3487
4067	3591
503	537
2700	2516
3099	2844
729	762
2944	2712
2779	2596
1148	766
833	174
2113	336
3198	2922
1644	1640
860	895
2624	2461
2352	2244
2303	2205
517	552
3117	2100
599	635
1961	1924
656	691
3419	3098
2994	2758
812	850
2321	193
3049	2796
3000	1751
2820	2624
