roledby	character
32327	23568
18775	14215
6141	5099
26252	19451
40160	28737
16431	12571
43172	30767
33450	24298
39123	28002
6299	5224
42348	30164
288	274
5514	4587
30858	22620
1144	1038
8782	7019
24441	18209
21608	1669
35021	25345
31428	22975
14248	10995
14544	11195
33356	24228
34664	25113
30913	2853
27343	20200
8607	6885
24125	15272
40137	28719
23282	3627
4703	3941
13309	8769
20451	15481
29616	21772
32701	23808
20700	1795
12321	9573
9197	7359
22639	16993
32547	23697
28626	21065
25663	19024
31907	23289
31111	22782
10630	8362
2748	2382
5418	57
19380	14680
18443	13992
19660	14884
24464	18227
22157	16647
41369	29558
35686	25801
15983	4622
18794	14233
14679	11300
24133	17982
37490	84
7845	6308
14319	11046
14556	11205
21719	1047
38259	6022
6058	5039
8164	6549
12772	943
39475	28253
40022	28633
26473	3301
32821	23887
6358	5269
6273	5203
23533	17592
15577	11947
21146	806
43529	30994
42463	14331
8696	6945
29491	917
17209	13115
11024	8649
10320	1706
40802	29199
16161	12387
21958	8926
19068	14445
26959	19939
23845	9993
5956	4951
2357	2063
1662	1475
24924	1136
2638	2288
1972	1749
24967	18576
5024	4201
942	856
1631	1446
16018	12292
18454	4301
40782	7930
29918	21954
22669	278
30838	22602
6103	1835
12130	9435
4413	3701
10622	8356
3632	3074
19731	49
23968	17870
33960	9920
15753	12098
8345	6674
5234	4369
25081	18668
36554	26324
27641	20381
23811	17775
33108	17844
12344	9588
8896	7117
18825	14256
42942	30591
24607	18339
26045	917
13823	10706
18798	14235
32378	23598
20250	15341
20624	3715
21996	3231
13156	10186
20490	15516
2161	1893
19324	14642
27548	14723
24814	18492
8115	6520
29331	184
38412	2278
30654	3604
30356	22275
28824	21217
21559	757
36085	26036
37780	1856
38786	10225
32016	23356
15735	12081
22896	17146
24027	17908
25574	18974
15778	10049
16279	12465
41525	29664
26346	9081
17754	13537
16627	12699
21267	2339
25872	19187
18984	14382
21657	16325
3970	2963
12840	9933
4304	57
15594	11959
3363	2875
22261	16724
411	388
32739	23832
34415	24938
28535	1540
37299	930
15510	11896
30202	22171
26851	19870
13976	10804
4670	3913
20922	2645
20846	15775
20295	3629
38839	27822
28678	21100
17170	493
36565	1655
34172	24781
4296	723
3730	3149
30136	14806
8695	3080
7044	5754
5587	4649
38343	10036
318	304
4786	4014
43792	31166
42704	30420
405	382
10276	8104
23271	1220
23636	17655
34878	917
28857	21248
36307	26173
30304	16630
2651	2300
22161	16651
26119	19350
18366	13950
19633	768
17551	13375
4880	4080
13573	10510
2200	1928
13522	10473
17116	13046
22042	16570
33557	24373
33118	24076
42783	30478
647	595
33994	24635
9215	7370
27243	18649
29689	1398
6032	5015
10000	7933
4766	3998
13773	10668
40127	20828
40541	84
18235	1281
26041	2501
25434	18881
6252	5184
34615	21566
28408	20912
589	546
17638	13435
35388	25611
24749	1794
7851	6314
35347	10865
43864	31218
26688	19764
22546	16934
9369	1049
25395	18856
37626	27025
19701	14917
8044	6470
12386	5969
40395	28906
1935	1717
36231	26122
30119	22112
19716	42
35747	10225
33727	2767
36643	26387
31416	22977
16950	12917
21116	493
6612	5439
18231	1664
320	306
10482	8251
18999	14395
29618	21774
646	594
42247	3031
35671	25789
29293	21553
23030	1500
27829	20507
34103	24729
27087	15978
34570	25058
20797	186
14051	10860
11216	1540
35456	25652
2844	2462
17850	13602
5312	4424
28902	21283
32762	23849
25738	19081
10679	8397
17002	12952
31611	23100
42913	30567
35526	25693
2635	2285
17931	13659
19178	14526
17531	13358
25003	18601
39838	28500
5677	4728
41458	29617
9120	7302
24110	12573
8743	6986
35655	25778
22507	16905
31657	23139
1039	945
30449	22338
26228	19435
3233	2788
24446	18212
3002	2595
27207	20109
7388	1383
12759	729
33583	24396
23336	17448
33249	24163
3281	2816
11669	1925
26922	19919
40862	29243
22066	16588
41901	2117
23553	4032
15122	11610
21758	8723
11293	8823
34313	24872
9769	7768
21084	15948
7488	5162
31952	23315
15671	12026
19473	5
19107	2767
22449	16861
13500	10454
41217	29474
15677	12032
9372	3089
4391	3682
12189	9484
12794	9899
31427	22984
30509	22382
6030	5013
21973	4842
1565	1383
14083	10883
2751	1111
