starring	actor
11322	7183
9084	5912
33517	8859
29274	3783
10398	6857
38974	3909
37595	6786
36278	3485
32745	9793
6543	5124
13286	7750
21543	412
13129	4988
30004	3097
27519	6359
25703	4957
18736	8840
7640	5634
10996	7076
19666	3330
10853	5766
12457	7517
40843	1887
4078	3551
7672	1740
37200	8832
32865	9926
29496	5167
28376	6485
15380	2932
1221	1159
14815	4003
1556	1459
37253	6255
23477	3144
16578	8499
25256	4015
1644	1539
24699	212
25282	2318
22678	7879
24104	9311
38714	7729
29106	5414
19556	5176
43254	7975
42557	5595
24895	5898
483	462
26740	6717
18667	8827
44014	9951
34431	7769
14902	5253
19498	5504
36929	9455
11852	7337
7749	5681
83	83
24859	1965
7565	5594
2476	2272
140	139
13007	7660
37299	1719
20597	9061
36158	7902
5222	4313
3171	276
2401	2212
31098	1276
890	847
11756	694
26461	3453
42534	5630
18900	1667
7213	5440
28377	7648
11038	4882
8855	370
24100	3804
43952	6765
35183	9488
6885	2495
3768	992
30450	71
11386	1394
24066	6901
5501	4481
31686	6987
32004	8472
11109	7116
23892	7579
9673	2664
39591	6382
5555	4513
35018	8504
18350	8698
30171	6855
22334	4573
39657	1362
3179	2863
5510	4486
13340	1785
13716	153
29912	6123
28169	8736
11898	7353
4130	3121
23089	5687
35954	9542
16884	4821
17283	5547
13136	7394
30082	8369
18370	229
28801	6304
5386	3035
38745	2262
29967	9848
14782	7612
22872	7498
42692	9918
21818	2387
15151	60
9712	6572
13159	2575
11422	106
17407	6040
29233	6959
18001	7176
6067	4829
41203	3556
18187	8735
9582	6531
23027	8463
9463	6487
31883	9395
32562	4336
31399	8667
16013	5005
26243	4714
9986	1281
17143	2339
36445	3602
9164	4096
40848	153
3965	1144
43188	8869
31537	7836
9888	3309
16245	8431
14929	4075
26139	1577
27866	2462
4338	3743
13817	7888
27073	8526
43150	4719
6439	2193
33052	4261
11675	7032
7767	757
10317	6823
837	798
24510	1438
35923	1877
24469	7131
41590	7253
21208	6008
30141	864
33526	2966
39817	979
34681	3288
599	568
37076	3101
2154	1293
6987	4231
26540	9339
14599	860
34067	7743
33196	8095
2177	410
36607	3800
25992	9637
17982	8034
20911	5271
14602	4848
23607	1525
29292	9065
10021	2943
8477	5571
3970	3482
3293	2958
3405	3054
3892	2182
7468	5563
3731	3306
23582	2549
39042	7532
16267	8433
34033	2289
19149	4648
30221	2036
42564	7713
36711	8284
11328	3709
19445	8965
28402	3123
8524	6051
40173	5254
17144	2339
31354	7889
17241	8611
11755	4306
24725	2083
2842	2577
39383	7947
8577	6101
13951	7920
8482	130
27190	9152
36255	8492
27383	9628
9638	868
4640	3953
12977	7650
6577	2333
35259	2680
8609	6119
25433	9597
24256	1288
1301	1236
34419	2293
42424	8764
32600	3592
2977	2696
28853	5426
33284	6909
35003	7678
41998	3843
19499	6467
25698	6927
22960	4088
43544	3565
3453	3097
38303	3428
2169	2014
21339	7870
28038	9749
21352	1968
37390	1923
2439	1394
3492	2410
19712	9004
33579	3770
33314	9466
10559	1273
4042	2188
31167	3784
10058	1004
12289	7466
9221	3125
2088	1940
18534	4284
38062	9401
40522	1334
40258	7024
17525	1881
10424	3558
5937	4754
41977	9187
28828	5646
21606	7673
3463	3104
3675	3258
8438	6008
24663	8689
2701	1966
12537	7538
36971	2464
44119	2390
577	547
35272	2658
4308	3721
4936	4148
21542	9252
11346	7187
17840	3310
2535	2329
3929	3456
17851	4756
16825	30
35331	6281
42869	9648
17184	8598
36022	3189
717	684
4910	4129
5174	4281
12943	7642
32867	9926
7430	5542
2170	2015
36548	9767
16037	4223
18179	8733
32262	6316
28859	1864
13311	1150
1144	1085
14492	8064
14119	118
31162	3784
8326	2670
7101	2379
9318	1777
21422	2771
30871	9507
29286	6370
1225	1163
10952	4354
31911	8613
35908	2930
38993	4612
43817	3968
38548	9541
28795	6776
26391	9306
63	63
794	757
15193	3931
22452	3914
7077	1359
43284	6652
17994	8702
40333	5579
14470	8058
625	593
39101	2247
3957	3474
25643	5660
2356	2174
15272	4112
28426	7395
5492	4475
30414	8259
29756	3979
8103	5846
32497	8771
18794	8854
34104	4165
40588	3543
37072	3931
17103	6536
36612	3800
23805	5101
16438	4311
38611	230
26305	7199
1518	1424
12859	7159
26154	9648
8452	3213
37677	98
33689	4096
8449	6012
35846	9430
34391	9028
11531	7243
35151	7109
39065	4137
30779	2042
22073	8715
38807	2889
3054	2764
12997	7658
1483	1393
12662	6068
20685	8061
26698	8958
12389	4916
20788	9090
31442	8650
23278	3121
23650	6459
32153	3718
25888	1731
19665	8901
39519	2225
7214	5441
14102	14
43027	7321
2245	2079
28575	760
31043	6012
13557	7829
41539	9217
2933	2658
30533	2199
27707	6658
13145	1915
10408	3794
40414	6117
12410	7500
32321	274
38305	4116
15704	8337
43340	8584
38472	3262
22188	3678
42601	7810
41323	6868
43223	2387
16729	6136
10293	6815
43455	4439
16439	4311
11238	1897
26413	6673
3068	2775
15988	1164
37613	9636
16113	4534
40094	7242
40308	5032
4982	4176
17510	7904
573	543
30185	8644
29215	910
34731	1228
8912	3136
38357	6312
9151	6347
6894	2267
41664	1702
25361	3570
11332	4733
3365	3019
23056	489
38880	9364
21983	9293
20214	5786
33350	4509
2081	1933
2615	2389
23679	5646
12594	6058
14246	937
40004	5915
3954	3474
31165	3786
7002	2839
31694	8216
