starring	movie
30701	2855
8982	762
8455	725
16330	1497
2120	149
31860	2944
28956	2693
8924	753
4331	330
5143	395
19704	1832
14746	1336
13764	1232
18534	1703
19968	1855
23201	2167
15415	1414
35399	3289
8894	749
38668	3632
14417	1308
38667	3632
39907	3749
23973	2227
25844	2381
10187	897
19042	1759
25928	2389
29569	2750
1887	138
32150	2977
164	26
4471	340
12658	1148
23839	2216
35398	3289
2121	149
14416	1308
8981	762
8925	753
8454	725
19705	1832
4332	330
4017	305
5144	395
28955	2693
13765	1232
18533	1703
19969	1855
14745	1336
20210	1877
38669	3632
30700	2855
8893	749
15414	1414
26789	2485
7709	649
4470	340
23974	2227
25845	2381
19041	1759
39908	3749
25929	2389
10186	897
12659	1148
8453	725
32151	2977
1886	138
165	26
8922	753
4016	305
13510	1209
19706	1832
14744	1336
15413	1414
14419	1308
13762	1232
18536	1703
19966	1855
8892	749
18197	1660
23976	2227
43219	4064
18626	1720
4659	358
10189	897
39905	3749
23975	2227
25846	2381
19044	1759
7708	649
32152	2977
162	26
8980	762
29567	2750
5140	395
25926	2389
5142	395
8923	753
14743	1336
19707	1832
13511	1209
14418	1308
18196	1660
18535	1703
19967	1855
15412	1414
13763	1232
23977	2227
8891	749
39906	3749
10188	897
7707	649
25847	2381
19043	1759
163	26
25927	2389
19708	1832
29568	2750
1888	138
5141	395
23978	2227
7933	670
13760	1232
19964	1855
8227	698
22854	2136
35395	3289
16030	1470
5147	395
13512	1209
19700	1832
30705	2855
14742	1336
33776	3135
2537	170
160	26
4475	340
8920	753
25840	2381
10183	897
30910	2869
34807	3231
9891	871
22853	2136
8899	749
38663	3632
7934	670
28795	2676
15419	1414
15418	1414
13761	1232
19965	1855
30704	2855
38460	3611
19701	1832
34805	3231
32479	3007
5148	395
13513	1209
35394	3289
33777	3135
41559	3896
8921	753
14741	1336
25841	2381
2536	170
161	26
4474	340
34806	3231
10182	897
7197	598
9890	871
8898	749
38664	3632
28796	2676
8709	740
7935	670
8896	749
41558	3896
28300	2631
15417	1414
651	44
18532	1703
8225	698
5145	395
33778	3135
16032	1470
13514	1209
19702	1832
7198	598
19962	1855
35397	3289
30703	2855
14740	1336
34809	3231
2539	170
4473	340
28797	2676
10185	897
39909	3749
25842	2381
19040	1759
38665	3632
8897	749
8895	749
8226	698
7932	670
15416	1414
650	44
18531	1703
41557	3896
33779	3135
8456	725
7199	598
5146	395
19963	1855
35396	3289
30702	2855
16031	1470
19703	1832
13515	1209
9892	871
4472	340
34808	3231
10184	897
2538	170
25843	2381
18530	1703
38666	3632
