actedby	actor
3525	2296
18410	151
22083	4992
18675	3592
28650	3107
3839	1536
13615	50
23942	4261
20867	1943
16737	4924
9562	1109
6262	501
6224	1126
5840	1285
9753	45
21957	1009
22996	4318
6415	2652
3784	2724
5926	2704
17558	1617
5556	3448
24963	2319
27612	3518
28081	3131
18588	3749
15883	3523
26203	1157
25760	859
20834	4931
10880	190
13681	4508
25922	3627
27787	3529
27414	3530
3320	2478
13744	449
28396	2585
22736	446
8563	3005
2816	338
29286	3665
17363	4781
10439	4491
18599	990
7765	527
277	275
24537	4629
26063	2485
10167	3287
24317	4737
29049	2850
8503	2714
5114	3281
10428	2375
6954	1436
11055	1270
678	656
10139	1892
7022	3894
23246	3621
19052	1971
29157	2627
24830	2416
7412	1682
8597	4217
9287	1409
29273	3663
17974	4675
6681	2318
4072	1771
16325	4890
26539	3781
158	157
12476	4318
18904	3850
21665	4878
8985	4291
13044	4742
4772	3118
21146	827
10558	2067
23483	3326
9588	2517
8159	297
1163	1069
6456	2451
7162	2467
6693	1132
12577	3662
13407	3726
9299	4347
14563	410
15253	106
5863	3401
5921	3558
8206	4124
3878	62
18826	1060
26970	1152
16473	160
17429	780
22049	142
20140	4475
18810	1991
751	725
4819	1470
15729	1883
15910	2385
9518	473
27504	2110
17057	49
2313	1275
6657	2876
2284	869
6017	1901
17224	1931
18580	1429
2206	1811
28386	4119
11424	3745
18282	1109
23039	4380
14300	4392
24997	4706
19962	2747
23738	1085
1863	1596
10540	4139
2875	2224
21074	4960
28243	4901
15431	4582
15789	1780
26389	325
25535	3803
20924	790
21687	4685
8871	1256
7432	3977
22472	3384
14303	3186
14507	4842
21958	3740
3538	2599
7056	3566
852	693
13006	4117
28974	527
25964	1381
10855	502
23960	4960
10573	3118
25500	4997
2321	1881
4687	2153
17258	4232
24326	497
8010	2235
26525	4603
19214	1409
21080	2522
11455	4585
8863	2055
27301	3890
5147	3305
27942	1512
6404	2397
3935	521
11036	394
25243	2578
2801	1929
19139	3618
128	127
3896	2438
26275	4287
12434	343
13696	4212
15503	1347
20837	2099
8960	4215
14903	4861
1435	1239
9989	3711
27722	4395
6461	3735
139	138
24061	2358
5623	2034
1750	456
433	428
7995	534
2341	1896
27647	3022
11159	3282
8962	3834
17095	565
27686	2517
5068	3238
4625	3056
11298	4571
3342	1268
27055	262
14683	466
20450	1670
1875	1605
12837	844
24220	1645
25001	3599
5326	2380
7010	2566
1991	1140
1951	1655
10586	2484
3835	2744
22648	3983
10312	2594
23541	4852
17954	666
16460	3088
20323	4031
27654	4517
6469	3737
5598	2428
17967	4370
7718	2079
24574	1458
14830	4634
25143	4755
19853	3518
15961	2056
16411	2342
1185	1087
26598	1069
821	784
24929	486
20690	4156
621	601
5741	1131
69	69
18537	3514
14904	1211
19168	2177
27712	951
20999	4784
6883	998
11429	2085
6144	90
17869	1517
28709	2907
26756	882
10269	3130
18817	3583
2427	1234
7965	418
8254	715
8709	3209
2905	1735
6581	3773
29278	3363
2850	2207
22188	1331
25161	4662
11987	3656
15170	986
6658	239
3232	1176
9334	446
14667	236
29059	2868
27013	4299
21789	2677
4295	379
21778	725
15203	4634
17587	2809
15417	2709
25483	3557
23889	1185
15317	800
15461	301
15519	1241
17784	2322
27584	2728
28842	1007
8984	532
2568	2052
