actedby	movie
2476	289
27814	3398
26590	3250
753	81
13860	1677
23966	2908
6564	798
6023	739
10351	1260
15407	1864
26016	3191
17357	2073
18917	2280
10952	1342
4285	520
25579	3129
1686	182
3025	345
6779	825
754	81
10150	1238
14475	1773
23967	2908
26591	3250
10350	1260
6022	739
17358	2073
28765	3506
26017	3191
6565	798
10953	1342
1685	182
4286	520
3024	345
2475	289
18918	2280
755	81
10151	1238
2478	289
15405	1864
17359	2073
7509	928
23968	2908
6562	798
18069	2184
2027	235
6026	739
4287	520
18919	2280
25577	3129
10954	1342
3027	345
10152	1238
756	81
2477	289
49	16
10352	1260
6024	739
15406	1864
6563	798
13861	1677
6025	739
2028	235
18068	2184
4288	520
3026	345
25578	3129
10955	1342
11867	1436
6560	798
26012	3191
8046	980
7507	928
16075	1930
18771	2268
3610	411
4281	520
3029	345
10153	1238
17375	2079
22598	2728
2209	259
18067	2184
15403	1864
19589	2364
18913	2280
750	81
26013	3191
6561	798
7508	928
8045	980
2479	289
18772	2268
4282	520
10154	1238
3028	345
17374	2079
18066	2184
1689	182
22599	2728
15404	1864
18914	2280
2208	259
7505	928
6021	739
38	10
26014	3191
751	81
14476	1773
27724	3380
18065	2184
1688	182
4283	520
10155	1238
10950	1342
15401	1864
18915	2280
26015	3191
37	10
7506	928
752	81
6020	739
27723	3380
18770	2268
22597	2728
10156	1238
28785	3511
4284	520
1687	182
10951	1342
18916	2280
15402	1864
24052	2918
17379	2079
7945	973
21099	2529
16201	1946
19585	2364
10157	1238
25571	3129
16079	1930
27722	3380
16611	1977
22437	2706
18775	2268
17398	2081
28980	3543
24051	2918
25746	3158
18910	2280
7944	973
16200	1946
19586	2364
17378	2079
10158	1238
16078	1930
25572	3129
18776	2268
22436	2706
16610	1977
28981	3543
17397	2081
19587	2364
18911	2280
24050	2918
7947	973
25745	3158
10159	1238
26592	3251
17377	2079
5231	628
24441	2975
2470	289
23594	2858
22108	2673
24493	2981
18773	2268
22435	2706
28982	3543
17396	2081
16077	1930
7946	973
19588	2364
18912	2280
5230	628
17376	2079
24440	2975
4280	520
24494	2981
22107	2673
22434	2706
25570	3129
18774	2268
16076	1930
17395	2081
10450	1270
28983	3543
23593	2858
16616	1977
25575	3129
2472	289
19581	2364
7949	973
6028	739
24427	2974
24211	2937
21095	2529
18779	2268
20147	2428
10869	1332
7184	885
22433	2706
13128	1597
3020	345
6220	761
24443	2975
2471	289
16615	1977
19582	2364
22431	2706
25576	3129
6027	739
7948	973
24428	2974
21096	2529
24212	2937
20146	2428
10868	1332
9549	1154
7185	885
13127	1597
17354	2073
22432	2706
24442	2975
3023	345
25573	3129
2474	289
19583	2364
16614	1977
21097	2529
24429	2974
23964	2908
9548	1154
18777	2268
24445	2975
16613	1977
17355	2073
25574	3129
21317	2559
3022	345
2473	289
21098	2529
19584	2364
24210	2937
14100	1717
6029	739
17399	2081
23965	2908
16612	1977
24444	2975
9547	1154
18778	2268
13129	1597
3021	345
17356	2073
9545	1154
2738	316
24446	2975
15554	1881
22917	2762
24048	2918
15335	1859
11631	1406
14102	1717
16208	1946
14902	1815
16607	1977
19590	2364
20681	2492
26290	3217
15548	1880
26753	3270
9546	1154
24447	2975
15553	1881
15336	1859
22918	2762
10865	1332
24049	2918
28989	3543
11630	1406
14101	1717
5225	628
16228	1948
14901	1815
16209	1946
20680	2492
16608	1977
26752	3270
28626	3489
9543	1154
7950	973
14699	1794
15333	1859
3619	411
10866	1332
24046	2918
14104	1717
27808	3397
5226	628
22914	2762
16605	1977
15546	1880
16206	1946
26292	3217
14904	1815
19592	2364
2739	316
26751	3270
15334	1859
22916	2762
9544	1154
7951	973
10867	1332
15555	1881
19989	2405
22410	2699
24047	2918
21736	2612
14103	1717
5227	628
22915	2762
27809	3397
16606	1977
15547	1880
26291	3217
19591	2364
14903	1815
16207	1946
24044	2918
29204	3561
13131	1597
28985	3543
28628	3489
9541	1154
7952	973
15331	1859
8196	996
15550	1881
25580	3129
17310	2069
16204	1946
22912	2762
8396	1010
22734	2739
17392	2081
14106	1717
24043	2918
27806	3397
17394	2081
24431	2974
24045	2918
9542	1154
7953	973
28984	3543
28627	3489
8197	996
25260	3090
15332	1859
23600	2859
28864	3521
24643	2994
16205	1946
8198	996
27807	3397
8397	1010
22913	2762
14105	1717
17393	2081
28987	3543
14108	1717
15552	1881
22962	2768
25261	3090
8199	996
16202	1946
14682	1790
16609	1977
24041	2918
27804	3397
8398	1010
14900	1815
7954	973
28988	3543
28629	3489
28986	3543
15500	1875
9540	1154
14107	1717
15551	1881
25262	3090
15330	1859
16203	1946
20682	2492
17149	2048
27805	3397
8399	1010
17391	2081
24042	2918
7955	973
26298	3217
13856	1677
27802	3397
2204	259
22730	2739
17314	2069
10346	1260
21731	2612
13855	1677
10771	1319
3613	411
9311	1129
26297	3217
27803	3397
13857	1677
2205	259
14909	1815
22731	2739
22963	2768
13264	1616
17313	2069
21730	2612
10347	1260
3614	411
13858	1677
23577	2853
14687	1793
22732	2739
27800	3397
2206	259
3611	411
17312	2069
24644	2994
10348	1260
9313	1129
26011	3191
24430	2974
13859	1677
26299	3217
14688	1793
22733	2739
2207	259
27801	3397
24645	2994
17311	2069
9312	1129
10349	1260
26010	3191
13130	1597
3612	411
10957	1342
2200	259
17319	2069
19988	2404
14689	1793
14906	1815
26294	3217
5228	628
21735	2612
3617	411
13851	1677
9315	1129
26750	3270
758	81
4289	520
14905	1815
10956	1342
2201	259
17318	2069
5229	628
6569	798
26293	3217
13852	1677
21734	2612
3618	411
17317	2069
9314	1129
757	81
27999	3422
14908	1815
2202	259
44	14
19986	2404
10959	1342
6568	798
26296	3217
22919	2762
3615	411
21733	2612
13853	1677
15337	1859
6567	798
9317	1129
17316	2069
2203	259
14907	1815
19987	2404
10958	1342
26295	3217
3616	411
6566	798
13854	1677
15338	1859
9316	1129
21732	2612
23468	2831
17315	2069
14691	1793
17045	2033
16081	1930
13850	1677
29132	3556
24343	2971
10486	1278
8052	980
23804	2888
9018	1103
24489	2981
18907	2280
25565	3129
5879	713
3060	347
26851	3276
14692	1793
17044	2033
23609	2859
14690	1793
14356	1750
10487	1278
9019	1103
24344	2971
10140	1238
8051	980
29131	3556
23803	2888
18908	2280
25566	3129
26850	3276
16080	1930
17043	2033
8054	980
9016	1103
29134	3556
5339	634
25567	3129
24340	2971
13993	1695
22900	2757
3062	347
16082	1930
6553	798
9017	1103
8053	980
17042	2033
29133	3556
24342	2971
24341	2971
25568	3129
4642	559
13994	1695
3061	347
29136	3556
892	96
28900	3526
8056	980
14359	1750
17049	2033
14696	1793
13995	1695
10143	1238
25569	3129
2469	289
893	96
8055	980
9015	1103
29135	3556
40	11
17048	2033
14695	1793
13996	1695
19985	2403
9014	1103
4222	509
10144	1238
2468	289
890	96
4741	572
16051	1927
10141	1238
14357	1750
17047	2033
8058	980
13997	1695
14694	1793
10960	1342
4221	509
4740	572
891	96
16050	1927
14358	1750
8057	980
17046	2033
14693	1793
13998	1695
10961	1342
21141	2537
17666	2123
10142	1238
4220	509
10147	1238
5243	628
12636	1542
17665	2123
7959	973
101	23
21903	2641
24481	2981
3030	345
16053	1927
