actor	character
1717	9486
809	10966
842	6965
624	6273
1029	1078
776	4156
640	12356
4584	9480
3661	1197
664	10193
2579	6608
4410	8063
1160	3598
2172	2523
2078	17088
1853	14834
3105	4146
1815	11725
3484	4912
2615	13512
4786	13054
3798	8182
2100	7645
2676	19893
916	6397
240	7925
3997	6333
83	22590
521	20709
1385	1476
111	196
697	22002
3455	12934
2371	21724
3807	19056
1926	2181
831	1164
1435	14445
346	21918
582	19855
2232	15660
2806	22368
4397	7968
3214	32
558	568
1766	22117
1119	21033
4913	13228
4308	16546
4505	21491
1405	2665
4351	6053
1164	10430
2831	13881
1240	4028
130	4735
3116	17946
2593	1652
3070	10330
2676	18637
4545	10464
1768	7424
125	15616
3181	4289
1430	525
299	984
1322	17279
1731	19705
2726	7871
1245	3
1236	5945
1038	1086
2090	9698
346	13170
1784	20257
53	1566
2678	3305
2761	830
75	75
1694	12755
468	471
2723	675
4188	7043
2932	15139
1968	442
648	21788
2188	7844
3524	2843
1107	10427
4896	12759
3331	21834
1494	20505
299	20098
356	13879
43	10884
1558	2505
1106	12640
1319	1205
2964	3870
2094	4183
1745	4925
1593	1732
3118	557
1806	13720
613	13359
3417	17361
1493	1603
1576	8482
1066	3236
1423	16925
35	12079
4390	18707
341	5970
628	20287
2995	7147
2568	15942
3105	10623
1450	4615
3924	6352
1168	10576
2723	6830
441	2788
3559	20561
999	1048
1396	14529
267	13868
2066	20243
198	10205
4673	10123
4785	11067
579	1282
2335	1314
4479	2993
2653	703
615	16728
731	19392
729	19688
1569	2098
218	6922
2019	2208
4329	79
4162	20149
1831	1738
3606	15347
1816	17109
3386	19982
3791	13198
1641	1784
259	9908
3504	22589
2000	2271
4410	20980
1066	710
3137	4209
935	20644
1259	7817
4036	6469
2042	2438
3789	5636
959	20016
3908	21574
3999	7699
4147	11318
2862	4523
1330	9588
3951	11808
4812	21178
2257	3518
1548	9165
1853	22076
3627	22442
1168	2399
1614	714
4103	13402
2817	21377
4474	19742
4626	17579
2182	2548
2805	11455
3988	21784
1175	20723
601	279
1567	9651
4287	21966
936	3779
1068	17552
1331	14443
4530	8884
3471	18929
4119	2377
3773	7945
396	710
635	18749
693	9161
786	1227
4996	311
3019	14452
2226	22525
2541	1728
