charedby	character
29263	22421
26404	19279
3988	3584
23892	604
7485	1027
22308	2786
18438	1715
19219	15273
23795	3377
27616	21235
6587	5650
2386	2208
20934	80
355	353
16371	13178
28489	411
27905	21431
6353	714
14650	11888
11190	9264
22307	2055
19221	15274
11987	9859
4865	496
26141	20170
4150	3725
9628	1674
26384	20342
5443	4773
2522	2330
27733	5478
7885	6666
725	712
9659	8060
17783	14213
19743	1071
9041	468
16964	13604
20766	16381
29373	22503
16116	9483
21373	16801
4360	3231
7845	6632
12280	10088
454	451
1082	675
20215	2843
27607	1615
15334	12398
19867	5559
14581	11838
14368	11682
29506	13085
16985	13621
17461	13978
23224	18156
6662	2224
5580	4883
15664	3482
17452	13971
22727	17776
23302	18214
9749	8132
20477	16188
6881	5883
3013	2747
26447	20379
24376	18941
22209	17406
22365	8423
20465	2943
20552	16231
20871	16443
3187	2904
6370	5474
14603	11857
16613	13344
4378	3882
14866	9307
4366	3237
22144	17354
24796	19225
9618	941
9932	8281
28292	21695
18485	14705
29122	19592
15851	12784
14009	11419
14431	11725
27623	21241
7050	68
8662	313
29044	172
19468	15445
6866	904
3492	3174
22447	17568
9871	7088
5979	2848
14498	11780
19309	15332
16799	13471
25320	19606
25365	19644
2616	2411
3313	3013
21626	16978
18736	14896
14094	11477
16382	13189
7634	43
229	227
19999	1033
25495	19733
23862	2366
12254	10068
8463	7145
1481	1414
489	484
6461	5546
7945	6718
16864	13521
9187	7693
15672	12646
9551	7981
20173	15962
17129	13718
16303	2786
8930	7507
24267	18871
3580	2360
15145	12254
24821	1357
16968	2751
1523	1452
14038	11445
19496	15471
12897	10578
17442	13963
21182	16660
3331	3029
2427	2242
25282	19581
26465	20395
11868	1231
668	657
23307	18219
14835	12014
9468	7919
4164	1231
12895	10576
10577	8782
19444	15425
10679	8857
18236	14525
24677	19135
310	308
6447	5532
10914	9044
6672	1669
28697	21998
22342	5797
12219	10043
13538	11076
25112	19458
16079	12966
2144	1995
5683	4965
26964	20773
12608	10358
10477	8708
9060	7603
3058	2788
6518	5593
21447	16850
25155	3742
27531	21185
27477	21150
5049	4419
21612	16966
11317	9365
22916	17932
19869	15740
20120	15923
7007	4023
16136	13013
8580	7240
1704	1615
18362	14620
27024	20822
6170	5313
2776	2554
28353	18461
9793	8161
12336	10135
6534	5605
20736	16364
25870	19969
2488	2297
24056	18724
25144	19477
10435	8673
28936	22185
27406	21097
619	609
21019	1064
2732	2514
15931	14
25491	19731
25889	19981
1075	1045
13506	11055
9297	7781
14628	11876
24169	18796
18045	703
784	84
28972	22215
10989	9103
15641	12625
18459	14689
11834	9760
21390	16811
8376	7077
15512	4296
18850	14982
4064	3648
24271	18874
5439	4772
14762	11967
12947	10611
7280	6188
13940	11372
28687	21989
13104	2920
16141	13016
15333	12397
28385	21767
7204	908
25298	19594
10658	8839
14404	559
24206	18820
4283	3811
5570	279
3417	3113
