charedby	movie
9047	1107
2943	339
17458	2091
443	40
24859	3016
8465	1024
18185	2198
8568	1037
27015	3282
24858	3016
22866	2748
2942	339
1895	216
13676	1666
16988	2025
11630	1405
9046	1107
17459	2091
8466	1024
18186	2198
8567	1037
14398	1759
20516	2473
1896	216
27014	3282
22865	2748
13675	1666
9049	1107
8467	1024
18187	2198
1897	216
20515	2473
5158	626
14397	1759
8566	1037
28252	3439
11632	1405
13674	1666
27013	3282
13154	1598
22864	2748
9048	1107
18188	2198
8468	1024
1898	216
14396	1759
13673	1666
11631	1405
22863	2748
27012	3282
18181	2198
8469	1024
22908	2752
20126	2428
13148	1597
2823	328
6027	743
11635	1405
447	40
16984	2025
24305	2943
1891	216
6028	743
13672	1666
14395	1759
794	88
18182	2198
1947	225
13147	1597
20127	2428
11634	1405
2822	328
6026	743
17367	2079
446	40
16985	2025
1892	216
11633	1405
13671	1666
5159	626
14394	1759
795	88
14393	1759
28600	3475
20128	2428
18183	2198
445	40
11637	1405
1893	216
16986	2025
796	88
3160	364
8360	1013
13670	1666
13149	1597
14392	1759
18184	2198
22909	2752
17457	2091
444	40
20129	2428
11636	1405
22867	2748
8569	1037
6029	743
16987	2025
1894	216
797	88
8362	1013
13463	1640
12018	1462
11639	1405
6023	743
15300	1855
20122	2428
16510	1969
8361	1013
13462	1640
5129	624
6022	743
11638	1405
16511	1969
15301	1855
20123	2428
8364	1013
2319	271
27931	3398
13465	1640
6025	743
15302	1855
20124	2428
8363	1013
1890	216
13464	1640
20010	2412
8460	1024
6024	743
20125	2428
15303	1855
5126	624
3298	381
2317	271
27019	3282
18189	2198
8461	1024
3299	381
2318	271
27018	3282
8365	1013
8462	1024
7810	971
5128	624
3296	381
13461	1640
27017	3282
2315	271
14775	1807
19179	2308
15169	1845
6021	743
7811	971
10852	1331
8463	1024
3297	381
5127	624
13460	1640
27016	3282
24857	3016
20120	2428
28799	3498
2316	271
8464	1024
20121	2428
10851	1331
6020	743
5133	624
21982	2649
10853	1331
7269	909
13191	1600
16645	1982
13459	1640
25080	3047
4786	586
8357	1013
6330	778
5317	635
20902	2512
2314	271
5336	641
2916	335
20539	2477
3295	381
13192	1600
10854	1331
5134	624
21981	2649
3369	390
8358	1013
16646	1982
6331	778
5316	635
4787	586
5337	641
20903	2512
2313	271
20538	2477
2915	335
7809	971
3294	381
10855	1331
25870	3165
13193	1600
20303	2444
5315	635
4788	586
8359	1013
16647	1982
20950	2516
2914	335
2312	271
20900	2512
3293	381
5135	624
20537	2477
10856	1331
13194	1600
2311	271
2899	334
4789	586
5314	635
16648	1982
6850	842
20901	2512
3292	381
5136	624
20536	2477
18884	2278
6334	778
16649	1982
2310	271
10857	1331
13195	1600
20301	2444
22699	2731
11566	1399
20535	2477
21986	2649
7806	971
3291	381
559	56
6851	842
28975	3522
28482	3459
20952	2516
6335	778
18885	2278
21985	2649
20302	2444
4783	586
22698	2731
5130	624
11567	1399
20534	2477
20011	2412
7805	971
6852	842
7621	948
3290	381
28483	3459
20951	2516
23755	2870
18886	2278
16921	2018
6332	778
11789	1420
4784	586
5131	624
21984	2649
20533	2477
8865	1081
24861	3016
10239	1248
7808	971
557	56
7620	948
20954	2516
20904	2512
23754	2870
6333	778
20300	2444
4785	586
5132	624
11788	1420
21983	2649
15173	1845
18210	2202
20532	2477
7807	971
24860	3016
10238	1248
8866	1081
558	56
20953	2516
24978	3037
20956	2516
13373	1632
555	56
799	88
3307	382
22695	2731
10237	1248
20531	2477
9050	1107
16980	2025
15172	1845
6338	778
13615	1662
20955	2516
24977	3037
798	88
556	56
11563	1399
10236	1248
3306	382
13372	1632
22694	2731
21989	2649
9051	1107
15171	1845
6339	778
13616	1662
10235	1248
11564	1399
9052	1107
13669	1666
16983	2025
21988	2649
20958	2516
553	56
3305	382
13371	1632
3304	382
448	40
13145	1597
6336	778
17369	2079
22697	2731
15170	1845
16982	2025
13617	1662
24979	3037
11565	1399
10234	1248
20957	2516
21987	2649
554	56
13370	1632
6337	778
17368	2079
22696	2731
449	40
13146	1597
3303	382
9053	1107
16981	2025
16640	1982
13618	1662
21470	2574
551	56
22691	2731
13667	1666
22861	2748
13377	1632
10233	1248
22910	2752
5313	635
16641	1982
9054	1107
552	56
13668	1666
20959	2516
1899	216
22862	2748
13376	1632
10232	1248
22911	2752
17577	2109
5312	635
9055	1107
16642	1982
2941	339
13665	1666
22693	2731
22912	2752
13375	1632
10231	1248
5338	641
7267	909
5311	635
16643	1982
9056	1107
14510	1776
550	56
11640	1405
22692	2731
13666	1666
5310	635
13374	1632
5339	641
22860	2748
10230	1248
9057	1107
16644	1982
7268	909
13190	1600
14511	1776
18175	2198
10013	1233
21584	2592
453	40
10561	1295
9102	1110
17371	2079
6607	816
23903	2893
13662	1666
8456	1024
18176	2198
18209	2202
19989	2406
10014	1233
21583	2592
6609	816
452	40
17373	2079
13294	1620
1080	118
27657	3355
9101	1110
17372	2079
16344	1956
6608	816
23902	2893
13661	1666
9869	1218
18173	2198
9734	1194
10011	1233
18208	2202
9059	1107
17374	2079
455	40
13295	1620
9105	1110
9104	1110
1081	118
13664	1666
25455	3105
8868	1083
16345	1956
13368	1632
23905	2893
21587	2592
454	40
10012	1233
21585	2592
18207	2202
18174	2198
9058	1107
17375	2079
13296	1620
9103	1110
13663	1666
11790	1420
1082	118
16346	1956
25454	3105
21586	2592
13369	1632
23904	2893
457	40
13297	1620
17376	2079
7272	909
8459	1024
21128	2533
21589	2592
25453	3105
1083	118
9106	1110
456	40
17377	2079
1084	118
7271	909
18172	2198
21588	2592
25452	3105
459	40
1085	118
8457	1024
20138	2428
7270	909
13660	1666
23901	2893
25451	3105
1086	118
458	40
22149	2669
8458	1024
20139	2428
23900	2893
25450	3105
6846	842
8352	1013
24864	3016
2307	271
2890	334
20136	2428
22746	2736
29200	3553
20985	2519
22491	2707
12349	1503
8351	1013
2891	334
24865	3016
6845	842
2308	271
13189	1600
20137	2428
29201	3553
22745	2736
28694	3484
6036	743
9864	1218
2309	271
24862	3016
2892	334
6844	842
16719	1994
8350	1013
20134	2428
29202	3553
19403	2335
13188	1600
6035	743
28695	3484
2893	334
24863	3016
6843	842
19622	2368
20135	2428
2894	334
22747	2736
29203	3553
13187	1600
19402	2335
6034	743
28696	3484
20131	2428
24078	2913
24868	3016
2303	271
24535	2979
9866	1218
2429	285
6033	743
28697	3484
18179	2198
2895	334
8356	1013
20132	2428
2304	271
24077	2913
4428	537
9865	1218
6849	842
2428	285
6032	743
28698	3484
20970	2516
2896	334
20133	2428
8355	1013
6879	850
2305	271
24866	3016
9868	1218
6848	842
28699	3484
6031	743
8354	1013
451	40
2897	334
18177	2198
2306	271
8353	1013
6878	850
24867	3016
24079	2913
20130	2428
17370	2079
9867	1218
6847	842
18178	2198
2480	291
6030	743
2898	334
450	40
4734	578
15166	1845
6340	778
2300	271
10915	1337
26442	3225
8347	1013
3316	385
5303	635
27366	3322
19100	2302
26683	3253
20962	2516
549	56
4733	578
19411	2339
6341	778
26441	3225
5302	635
8348	1013
19101	2302
16720	1994
26499	3233
20961	2516
15168	1845
20960	2516
5305	635
27368	3322
4736	578
6342	778
16721	1994
25019	3044
22898	2750
2302	271
9595	1169
27367	3322
15167	1845
6343	778
16722	1994
4735	578
5304	635
19410	2339
2301	271
14950	1818
25017	3044
13185	1600
787	86
3312	385
5307	635
6344	778
26681	3251
545	56
14951	1818
9593	1169
17748	2138
20966	2516
6841	842
