roledby	actor
24710	942
6547	2891
11927	4594
11043	3920
18350	1450
10517	466
9730	3351
27187	4393
8098	4073
18591	2433
372	351
5209	3227
7295	3914
40	40
20210	1277
26717	4033
19696	1931
20341	2189
20746	1446
8170	4078
21455	4056
23902	1120
1228	1093
625	586
435	411
12570	4656
24081	2332
26762	2409
9708	522
1103	993
1843	1554
23820	3658
15521	188
22193	1387
3539	1602
25710	2319
9555	3399
12026	4607
24739	4051
8123	3280
5011	1063
27805	701
12090	1431
1311	575
18189	4885
22624	4140
8347	788
1487	1291
24640	4261
28669	1107
14107	4212
15500	2534
17750	1160
11241	349
25260	2258
11115	594
15695	106
1220	1081
18901	4435
23381	4722
25693	898
4262	2859
3006	2247
4331	1666
12854	4518
20358	1743
24232	2721
15939	3777
27666	2438
20965	2643
25529	1191
28915	3124
25666	3469
8554	902
25456	914
22639	2792
6338	3634
2779	2135
6005	3537
28614	848
10024	4416
15680	1677
3507	2258
10933	2992
27652	1289
25198	351
14764	3041
3010	115
13774	3673
29183	877
12586	4660
7717	221
14749	3845
7777	2963
26691	3215
26118	3118
4286	2869
16324	683
15782	3332
11937	675
24614	4813
23168	2381
17266	1470
3648	2603
23651	720
27890	879
13901	958
5440	1448
4487	1796
16961	1838
3953	1536
24451	1936
16301	4212
9666	1055
11819	2082
26770	588
11072	4532
10460	3222
13996	717
14171	1201
13418	1625
21737	1325
11466	3280
23046	1450
15535	459
26570	3386
7015	2748
27388	1438
12319	3597
16305	4485
3861	2708
25436	2769
7380	1561
25398	3430
6134	1254
17382	4358
29896	1134
21368	1812
15019	510
24180	1339
13821	3733
19216	1250
4821	2247
11829	1856
779	726
7966	3973
5390	2368
9842	4391
25222	1487
7965	3973
199	185
14378	1424
4473	277
5844	1375
10425	4079
3186	750
5600	3212
15829	949
9062	4258
11828	1856
9281	4261
26847	297
13740	393
7337	2963
28317	1003
8581	1322
16617	2877
23833	776
5050	3168
16864	4732
25454	914
20753	1365
5179	2952
25883	4423
9793	4380
27915	2629
20362	3945
1600	1379
8618	1265
7338	2963
5602	3212
29285	862
19469	2275
7874	2685
20383	1150
18414	1563
28718	4475
26113	2053
16685	350
28444	3206
1855	466
19688	1211
27509	3355
27197	700
9637	2544
14033	4191
10968	3074
20750	1365
26867	1519
11469	3274
18956	3972
12907	44
21004	2509
24521	599
22293	2796
15414	2760
26444	1170
19134	2727
27653	2354
12	12
15469	4868
13814	1110
4830	957
24742	3553
8761	4211
2512	1967
19728	1233
13898	765
16418	3089
29862	3079
1158	1038
3166	916
7258	1415
23696	2782
11551	952
11420	2716
15228	3182
12285	1526
13539	1337
26259	3881
6180	3592
6938	3299
7039	44
29730	3508
9861	1179
19135	1346
21423	4161
10214	1377
16087	1922
14774	1987
14008	2214
5078	835
8496	3139
29715	3124
12307	123
24709	3510
8655	428
15598	4530
27021	4019
20107	1240
27168	4933
11833	1856
6309	814
16965	2955
29531	1600
29453	3169
25237	4083
6181	3593
1793	1253
15955	1062
21056	2800
14486	3995
8141	3272
17213	4923
19802	1527
30130	1021
296	280
11834	1856
14005	3825
19948	1804
9342	2074
7639	3976
9311	3558
9520	1745
12336	2774
18061	2419
25318	4199
8566	4164
29778	1204
449	425
26281	4858
9720	208
17708	1470
29678	4951
24576	1526
7599	542
1696	1449
22936	375
14319	1109
14789	4240
17169	4655
17620	528
26943	3970
5726	3451
25944	3995
9356	1674
11899	679
18185	4756
22024	1513
2703	383
15034	4577
11016	3320
26619	1307
16672	4539
6589	3716
6378	1440
25808	2188
7747	812
2101	1710
15722	1002
9111	1836
8990	169
12504	3006
27934	633
15971	1375
18341	1361
23218	158
23921	4156
9739	1295
4280	57
87	86
28685	3192
525	496
22159	3334
29599	2966
10851	2407
1129	1014
21425	1726
7089	3456
3193	2354
29022	984
24975	4558
18297	2423
3098	478
5792	1299
14389	4652
14163	2096
2631	2044
9055	2125
11148	3184
23492	1159
8927	1924
6937	581
27023	4019
16923	4186
29139	4269
2521	1971
29780	3622
19617	3612
17673	799
6794	3784
3400	1300
17605	883
19845	3179
23863	1440
9291	204
23932	3609
18845	4770
29016	4988
9492	4334
29913	2868
13563	4756
26918	2340
4645	377
559	526
631	592
8502	4141
10697	802
14200	3800
16656	974
6029	3410
12563	2338
19352	1202
16046	4891
17895	4186
28452	4754
22664	817
17742	322
21176	1788
14194	776
1649	1416
16386	4863
25016	1591
5265	3279
8596	2407
7308	3916
9496	783
29984	3787
8601	4176
23208	3295
29748	788
11903	2305
1704	161
29008	364
20633	806
1616	1391
13028	2739
12107	4610
4670	287
19539	1487
22160	4989
12411	3370
18439	4473
12443	1446
16048	4891
14985	2805
10022	2038
3143	2324
19418	1275
28811	2103
18692	3979
28869	1899
27337	4796
24221	3230
25486	3219
27525	926
16660	814
26094	800
19382	224
16800	4825
13875	3150
28052	2654
5294	3302
22464	1926
1803	1526
20511	653
21049	1657
26401	1737
9467	144
23441	557
9532	2857
7448	118
27677	3671
26156	4119
7887	1138
29773	3421
23868	1440
25459	4250
12326	4637
8046	1666
8140	3222
24603	1203
144	134
17722	1935
6119	2013
612	573
17834	4937
650	611
3868	1075
7396	3933
23834	4974
66	65
18896	4661
26623	2981
14689	2580
744	700
4132	596
10884	730
9582	3736
6233	411
19106	209
775	546
21194	2744
20005	3438
12464	1030
21983	1775
13125	418
4810	2694
14642	18
19036	1484
4564	2382
14665	3098
14699	4082
24	24
14677	3907
17010	2353
21216	550
26553	588
27974	4479
25104	3737
5584	72
17238	4408
27172	2583
12600	4458
20931	164
