starring	character
5817	2780
16750	13121
6508	5392
28912	21621
21965	1541
11830	9501
24303	18480
24806	18791
13596	10825
30035	22427
13344	10623
8304	6772
1575	1449
6952	5747
6940	5735
11438	9193
9239	276
24470	1169
15223	3202
15323	5632
18328	11187
6799	5626
27204	280
17775	13835
17140	13370
23549	13069
17039	3821
3177	2790
2594	2303
1179	1105
30224	55
2559	2271
7247	5959
21588	16557
9015	2313
20419	3385
10741	8656
25996	19610
1063	1008
25301	7520
19025	14716
4250	3655
3477	3051
20306	15659
22482	1197
9957	8042
8771	7155
7498	6150
6078	5092
29751	22240
29927	22348
17481	13625
19420	15015
14265	11319
16595	13000
20440	15761
9410	7633
25402	19194
407	386
25497	19256
26514	19944
20866	1055
946	895
13216	908
27989	21010
11213	9005
27205	5240
23974	18244
26320	19835
10157	8197
26565	19977
2683	2378
12664	10102
7723	6331
20717	15961
15517	12195
5566	4709
4589	3909
22480	1197
9197	7483
23005	17539
24035	18290
25824	3742
21336	16386
21775	2095
19489	15076
20952	3603
11255	9045
15000	972
22688	17319
20728	11760
29791	22262
2941	2598
2761	2452
15029	11852
27449	20617
8768	7152
24382	18521
24542	18619
4550	3241
26796	20149
1596	1466
2825	196
7325	6005
1006	953
20908	16092
23747	1841
20719	11756
16277	12753
19020	14716
20898	16082
25027	18940
23849	18155
8622	7037
26258	3013
24198	18402
2768	1110
20638	15905
26888	20216
12968	1197
20151	6892
6665	5514
19336	423
20238	740
29263	21865
21218	675
30170	1311
11093	8920
21708	1169
22820	8558
25826	19486
7922	6477
15500	12186
7730	6337
27052	20330
4876	4137
18757	14532
4920	4172
23444	17862
5547	4695
23412	17836
27538	20682
10553	8521
5982	5027
6462	5362
7968	2516
7758	6357
4539	269
5981	5026
20892	16077
3478	3052
24097	2611
25490	19251
14620	7896
14955	11798
715	680
1728	1587
12849	10253
23768	6501
18447	1073
9347	43
2022	1814
17559	1519
10022	8090
765	726
13248	10553
4894	4152
19118	14789
12254	9793
6782	2872
20235	15601
2376	2118
25651	19360
603	570
16201	12692
23551	17944
2057	1833
3759	830
27922	13242
17935	13959
17843	311
13594	3603
10200	8234
1035	981
1637	1502
1217	1139
3544	3116
28414	21299
8185	6674
11591	9305
19803	15307
21512	16507
29376	21952
2859	2527
16141	12647
5571	4714
5881	4966
5229	4408
25350	19149
3122	205
21820	16701
5799	4902
18113	1599
7565	3251
3460	3034
7444	6110
29167	21799
2904	2570
1143	1074
55	54
26979	20275
3855	3353
21933	16790
7152	5888
12096	9707
13219	10533
14132	11225
24561	1010
8571	6995
28559	21391
11437	9192
29337	21923
11383	2021
4745	4024
13051	10406
14333	530
22487	17176
20253	15615
15746	12373
17619	13716
12091	9703
6342	3539
4645	3950
26426	1566
28929	21635
11230	9022
739	702
4417	3786
25211	19063
515	489
3753	3285
21203	15299
17005	4206
13250	10555
5166	4354
28381	10801
17479	13623
11714	9404
11635	9335
27770	42
18403	14291
24933	18879
27527	20675
12061	1689
11873	9532
7243	5955
10823	8718
5874	4959
12119	9717
2239	1996
18424	1615
21356	5386
24548	18625
14217	11280
15699	12336
9155	7453
4137	3576
15186	4085
15209	11965
16575	12987
19965	15415
26647	20033
13200	7398
24251	18440
26344	131
18461	14336
12977	10353
18355	14262
28969	21658
28510	4337
9004	7341
2247	2002
11633	333
428	405
1036	982
26792	20145
22590	17255
29898	22334
17609	13708
117	115
22435	17141
15859	12449
15419	12123
26383	19880
2864	2532
13847	11020
21326	16380
24349	6989
6139	5143
22103	16902
24565	1197
12974	1197
9954	8040
23416	17840
9493	7690
8411	6858
28534	3737
6212	5197
9779	7911
4983	4217
28997	21672
17003	8817
15567	12232
8131	6628
24140	18363
17197	13405
2335	2081
18590	1715
12095	9706
13149	3603
25715	6811
19850	3154
3063	2686
1721	1580
18443	14325
19840	15332
12976	1197
17914	13940
16719	1214
17258	1343
11127	8940
5627	4766
27842	14591
12979	1197
16608	13010
23272	4071
4627	3934
12437	9923
18960	14677
29223	7816
10767	8676
15265	2257
579	550
9128	7431
24162	18376
25218	19068
2675	2370
17416	5808
27395	20573
17986	14002
10171	8211
19966	1246
16133	12640
4974	4208
20860	1055
27586	20720
8738	55
13183	3219
4822	4089
26810	20160
2654	2358
19413	15010
3914	3403
30036	22428
22368	17088
28544	12583
374	354
12958	10339
15049	11870
4935	4182
10440	8427
3980	3457
593	530
1106	1043
12978	10354
26491	474
20974	16147
18003	14012
25866	19514
9753	1197
14380	11398
1004	951
15417	12121
20978	600
22322	17061
61	60
12155	8605
13278	10579
30131	22496
6771	5600
23657	3
24687	1711
20837	16040
13834	1599
25415	1065
3247	2851
27632	20752
25280	19106
2553	2265
30072	22456
18020	14026
25889	19535
7949	6499
24009	18269
8218	6701
24849	18817
2882	2549
7798	6388
21243	14848
2341	2087
6185	316
10718	7514
8713	7115
6615	5477
23083	17590
6920	5719
5085	4287
6442	5351
30227	5813
21475	16478
4188	3612
29684	22189
29583	22121
23046	13577
5015	4047
14435	11433
19848	15340
4066	3521
14166	11240
7978	6517
1174	1100
21668	8390
7573	6207
11742	9432
24475	18577
65	64
4939	4182
20008	15449
24401	6119
16935	5980
16697	13082
17291	675
8723	7123
2091	1863
14848	11716
26541	175
29939	22358
12970	1197
7071	5834
3101	2720
21841	3377
24613	18666
2131	1901
4667	3967
24993	18919
11353	9125
21460	16464
25092	15273
10196	8231
24090	18331
14148	311
22881	17457
19024	14720
5501	4654
25685	19384
3773	3281
13090	731
22297	17049
13874	11042
17295	13474
21715	16634
17109	13352
16382	12828
10886	8766
5470	4624
27668	20778
4301	3701
19730	6969
686	652
26916	20235
27485	20637
17260	13450
20461	15781
16961	417
24412	11225
27605	20734
8431	6876
10274	8294
10221	25
14434	11432
21265	16338
246	237
15179	11956
177	173
22091	16894
9115	7421
1848	1679
2782	2465
18158	1715
1598	1468
647	614
15100	11902
19442	15032
2597	2306
8690	7093
20064	3126
15566	12231
