ConfCategoryID	DomainID	SubDomainID 
22	2	7
23	2	7
52	2	7
120	2	7
165	2	7
204	2	7
217	2	7
219	2	7
349	2	7
425	2	7
572	2	7
617	2	7
619	2	7
638	2	7
639	2	7
644	2	7
649	2	7
892	2	7
940	2	7
984	2	7
1001	2	7
1194	2	7
1761	2	7
1784	2	7
1860	2	7
1920	2	7
2010	2	7
2050	2	7
2164	2	7
2166	2	7
2406	2	7
2413	2	7
2463	2	7
2506	2	7
2535	2	7
2566	2	7
2659	2	7
2691	2	7
2773	2	7
2778	2	7
2830	2	7
2838	2	7
2	2	18
4	2	18
22	2	18
24	2	18
26	2	18
29	2	18
36	2	18
42	2	18
51	2	18
53	2	18
55	2	18
61	2	18
62	2	18
65	2	18
75	2	18
81	2	18
94	2	18
105	2	18
107	2	18
109	2	18
113	2	18
114	2	18
118	2	18
128	2	18
139	2	18
159	2	18
180	2	18
185	2	18
186	2	18
188	2	18
192	2	18
193	2	18
195	2	18
206	2	18
217	2	18
223	2	18
226	2	18
241	2	18
242	2	18
249	2	18
261	2	18
269	2	18
270	2	18
271	2	18
272	2	18
274	2	18
276	2	18
279	2	18
282	2	18
302	2	18
307	2	18
336	2	18
341	2	18
352	2	18
359	2	18
360	2	18
370	2	18
387	2	18
388	2	18
401	2	18
405	2	18
407	2	18
408	2	18
412	2	18
439	2	18
446	2	18
448	2	18
450	2	18
458	2	18
476	2	18
483	2	18
494	2	18
499	2	18
524	2	18
527	2	18
531	2	18
534	2	18
535	2	18
539	2	18
542	2	18
543	2	18
544	2	18
550	2	18
561	2	18
571	2	18
572	2	18
574	2	18
575	2	18
589	2	18
595	2	18
596	2	18
599	2	18
614	2	18
615	2	18
617	2	18
620	2	18
621	2	18
622	2	18
624	2	18
626	2	18
71	2	8
104	2	8
115	2	8
368	2	8
384	2	8
422	2	8
572	2	8
578	2	8
635	2	8
658	2	8
737	2	8
757	2	8
853	2	8
909	2	8
929	2	8
944	2	8
1069	2	8
1216	2	8
1357	2	8
1404	2	8
1576	2	8
1646	2	8
1673	2	8
1759	2	8
1773	2	8
1786	2	8
1877	2	8
1880	2	8
2097	2	8
2107	2	8
2129	2	8
2193	2	8
2462	2	8
2570	2	8
2600	2	8
2738	2	8
2758	2	8
2778	2	8
2826	2	8
2828	2	8
2830	2	8
3	2	15
5	2	15
46	2	15
49	2	15
63	2	15
74	2	15
129	2	15
235	2	15
305	2	15
360	2	15
443	2	15
483	2	15
484	2	15
485	2	15
487	2	15
490	2	15
494	2	15
496	2	15
500	2	15
502	2	15
526	2	15
530	2	15
633	2	15
659	2	15
745	2	15
746	2	15
753	2	15
763	2	15
852	2	15
857	2	15
919	2	15
968	2	15
1059	2	15
1191	2	15
1228	2	15
1267	2	15
1288	2	15
1346	2	15
1419	2	15
1425	2	15
1491	2	15
1528	2	15
1600	2	15
1616	2	15
1704	2	15
1803	2	15
1936	2	15
1978	2	15
2000	2	15
2090	2	15
2370	2	15
2373	2	15
2401	2	15
2409	2	15
2413	2	15
2423	2	15
2426	2	15
2436	2	15
2449	2	15
2475	2	15
2482	2	15
2499	2	15
2507	2	15
2509	2	15
2533	2	15
2548	2	15
2555	2	15
2620	2	15
2672	2	15
2729	2	15
2744	2	15
2746	2	15
2767	2	15
2868	2	15
