starring	actor
26527	2680
25788	3304
4966	3133
19202	3176
30094	927
17012	1879
23710	2634
15141	1683
3098	478
19169	2300
10837	4506
1407	524
22287	652
19329	3583
14661	3813
8648	3066
21631	4329
11254	4545
6320	452
3695	2170
5025	2836
22214	3752
22180	85
7598	2343
6825	3795
26486	3377
8803	4221
29957	1749
20985	3877
9102	4264
22617	1995
23931	4758
28569	968
293	277
9727	4216
24052	1658
1436	1252
15512	219
18867	2143
7461	3947
17893	4057
15968	1415
22316	2747
17343	4927
16281	4002
12216	2284
14139	1281
17087	4174
19503	989
23488	4104
2952	2222
26428	108
10451	3221
28270	3834
25937	1646
15294	2366
9923	2489
579	544
12782	664
1687	1442
663	622
927	846
16075	245
10772	3903
5847	1268
27562	174
16672	4539
24046	1093
24081	2332
20758	3240
27354	2793
6069	3550
18266	1953
19692	2070
741	698
14951	579
19517	3112
3957	2114
11237	672
16765	1208
24022	2435
22983	4774
14754	1567
3248	2326
4827	3078
604	566
15376	1913
9841	3471
1974	1634
15332	2036
12272	584
10541	295
151	121
19187	3510
13749	3483
20658	305
19165	4503
23185	398
27402	176
8956	3208
536	506
27269	2451
26325	106
16740	174
24007	4234
26110	1496
884	814
21324	4143
1307	979
13175	2431
24175	3897
6992	3838
12349	4409
540	510
7158	3876
3666	2614
5555	3116
2425	1908
6282	3622
9863	4398
2281	1819
11052	4384
21466	3923
19977	4349
21854	922
23073	2811
8015	1221
22252	2600
4190	2839
22564	1516
29062	2670
2170	1750
3457	2497
20096	355
22995	4197
2204	1770
4091	2379
15592	712
11216	3616
9676	2814
8249	634
12320	118
462	437
18408	693
26114	913
8435	1166
20719	907
7971	1333
468	112
5593	3404
28237	4888
30215	3492
25270	568
29901	1126
13769	4575
21136	1545
27224	3098
13019	1061
18314	572
30124	2760
10159	1644
18277	1157
28789	3480
8239	2211
7197	3885
8280	1106
14142	4002
1994	1650
18657	1067
28524	4709
5838	3493
26344	127
259	244
18003	1001
18332	1747
26054	54
5143	3201
21492	391
25292	874
11245	2913
6471	1168
176	162
22612	2277
26634	1849
22875	3681
25787	1558
6492	1882
2130	352
5978	1196
27647	3904
12600	4458
21861	1558
11519	4474
14922	3616
485	458
11604	4211
8663	4192
25638	3543
13112	796
23277	459
18444	24
5629	891
3560	2276
6151	398
14317	1557
9505	2447
4491	227
9830	4388
26470	4157
14606	1217
19842	4737
29933	4808
243	228
10237	366
29507	1354
3891	1329
14537	1126
28283	1042
26349	127
20506	1545
27389	1440
25102	1943
8569	4165
16100	480
17097	3692
16989	3708
4915	3113
17769	4137
14085	2747
28255	1333
22784	2666
3132	2317
18549	2460
25601	689
26472	87
26437	4738
5091	818
19301	620
22559	2928
9239	487
2256	1802
26248	2975
4097	2802
7968	2167
6443	343
12765	3879
16303	4034
24440	3988
23552	1056
8064	1008
28611	473
11428	799
28120	3995
17939	4938
14691	3516
19456	634
16292	3149
20706	3454
22912	4424
20503	1026
26331	361
25336	4913
10659	963
4014	1173
7469	556
22355	1150
24355	131
22860	515
24152	3987
8287	731
9165	1070
30122	4225
4442	1775
9453	3272
16251	3195
19380	2336
11221	988
25427	2650
22599	3740
25223	702
16521	1636
22950	3347
211	197
29082	2186
1213	1082
2809	2155
