title	proc
2	0
4	1
6	0
15	2
18	2
27	1
26	1
34	0
37	2
42	1
40	2
47	1
48	2
58	2
57	2
67	2
76	0
74	2
81	1
83	0
93	2
102	0
99	1
97	0
107	0
118	0
115	0
114	1
127	1
126	1
124	0
123	1
136	1
138	1
141	0
142	3
128	1
153	0
155	2
157	0
159	0
148	2
149	1
175	3
173	1
161	1
160	1
165	1
184	0
185	1
188	3
189	0
176	2
182	2
180	1
206	1
201	0
196	0
198	2
221	0
218	1
219	0
211	1
238	4
235	4
229	5
227	2
225	2
255	6
249	5
241	5
276	6
280	6
287	7
286	8
285	9
304	9
307	10
306	11
309	8
311	9
310	9
312	12
314	7
317	7
316	13
319	11
318	12
288	14
289	8
290	12
291	9
292	12
293	8
294	8
295	14
296	9
297	8
298	14
299	8
300	15
301	12
302	13
303	9
343	9
342	11
341	11
340	13
339	12
338	8
337	12
336	9
351	11
350	9
349	8
348	12
347	8
346	12
345	7
344	8
326	12
327	11
324	11
325	7
323	11
320	9
321	12
334	10
335	11
333	8
330	11
331	13
328	8
329	11
373	7
372	7
375	10
374	9
369	13
368	10
371	7
380	11
383	8
382	8
377	12
376	14
378	14
356	10
357	10
358	7
359	8
352	14
353	13
355	11
364	8
365	14
366	11
367	8
360	11
361	8
362	14
363	12
410	14
411	14
408	8
409	12
414	13
415	13
412	7
413	7
402	10
403	9
400	12
401	7
407	14
404	13
405	8
395	12
394	8
393	8
392	16
399	10
398	13
397	11
396	11
387	7
385	9
384	11
391	12
390	10
389	11
388	8
440	8
441	11
442	8
443	11
444	10
445	12
446	7
432	14
433	10
434	8
436	16
437	8
438	14
439	10
425	7
424	8
427	7
426	8
429	13
428	7
431	7
430	14
417	14
416	12
419	8
418	10
421	11
420	12
423	9
422	11
478	12
476	8
474	12
475	8
472	7
473	13
470	9
471	9
468	12
466	9
465	11
463	13
462	14
461	13
460	8
459	14
458	12
457	12
456	11
455	14
454	13
453	8
452	12
451	9
450	13
448	7
508	13
510	17
504	7
505	7
506	13
500	10
501	9
502	9
503	10
496	9
497	14
498	7
