title	proc
2	0
3	1
4	2
5	3
6	1
7	4
8	0
9	4
10	1
11	1
12	3
13	0
14	1
15	3
16	1
17	4
18	5
19	0
20	0
22	6
23	7
25	1
26	0
27	0
28	4
29	2
30	5
31	2
32	4
33	6
34	0
35	4
37	6
38	6
39	2
40	4
41	6
43	6
44	6
45	5
47	1
48	7
49	6
50	0
51	4
52	1
53	4
54	5
55	6
56	6
57	0
58	1
59	2
60	4
61	1
62	4
63	1
64	0
65	6
66	3
67	5
69	6
70	7
71	7
72	2
73	1
74	6
75	1
76	3
77	4
78	1
79	3
80	6
81	1
82	7
83	5
84	2
85	2
86	2
87	0
88	7
89	3
90	4
91	3
93	6
95	1
96	1
97	6
98	0
99	2
100	1
101	6
102	7
103	4
104	8
105	1
106	1
107	4
108	6
109	6
110	5
111	7
112	4
113	2
114	7
115	0
116	5
117	1
119	3
120	1
121	4
122	3
123	3
124	2
126	5
127	5
128	4
129	3
130	7
131	1
132	4
133	6
134	6
135	0
136	1
137	2
138	1
139	2
140	2
141	5
142	3
143	2
144	3
145	7
148	8
149	1
150	3
151	7
152	1
153	6
154	1
155	6
156	7
157	4
158	2
160	2
161	5
162	0
163	4
164	1
165	5
166	3
167	6
168	4
169	4
170	3
171	1
172	5
173	3
174	5
176	6
178	4
179	0
180	0
181	2
182	5
183	4
184	1
185	1
186	4
188	0
189	1
190	6
191	3
192	1
193	2
194	4
195	3
196	1
198	5
199	7
201	1
202	1
203	4
204	0
205	3
206	2
207	3
209	0
210	0
211	7
212	2
214	5
216	5
218	5
219	3
219	9
220	2
221	5
222	3
223	6
224	3
225	4
226	0
227	2
229	2
230	3
231	5
232	5
234	8
236	0
237	4
239	3
240	2
241	5
242	2
243	2
244	6
245	6
247	5
248	4
249	3
250	2
250	10
250	11
250	12
251	6
252	5
253	7
255	2
256	1
257	3
258	4
260	4
261	6
262	1
263	4
264	4
265	0
266	5
267	5
268	1
269	5
270	6
271	6
272	6
273	8
274	3
275	5
276	1
277	0
278	6
279	1
280	0
281	0
282	7
283	5
284	6
285	6
286	3
288	6
289	1
291	7
292	0
293	1
294	0
295	2
296	0
297	6
298	0
299	1
300	5
301	4
302	1
303	0
304	5
305	7
306	7
307	6
308	3
309	3
311	0
312	7
313	6
314	3
315	4
316	4
317	5
318	1
319	5
321	7
322	3
323	5
324	7
325	2
327	1
328	7
329	3
330	4
331	7
332	5
333	3
334	1
335	3
336	2
337	4
338	5
340	1
341	5
342	4
343	3
344	6
345	1
346	1
347	6
348	6
349	0
350	7
351	0
352	7
353	5
354	4
355	6
356	7
357	2
358	0
359	4
360	6
361	0
362	2
363	0
364	1
365	1
366	1
367	4
368	3
369	7
370	1
371	0
374	5
375	4
376	3
378	6
380	1
381	2
382	1
383	2
384	4
385	1
386	7
387	1
388	1
389	4
391	5
392	0
393	6
394	2
395	1
396	1
397	6
398	8
400	7
402	3
403	2
404	0
405	6
406	5
407	0
409	4
410	5
411	1
412	0
413	1
414	6
415	5
417	0
418	2
419	1
420	5
421	1
423	0
424	4
425	3
426	1
427	4
428	7
429	4
430	0
431	0
432	0
433	7
434	4
435	1
436	2
437	6
438	2
440	3
441	6
442	3
443	5
445	2
446	2
447	1
448	5
449	7
450	2
451	4
452	0
453	7
454	6
456	3
458	0
459	1
460	3
461	7
462	1
463	2
465	7
466	4
467	2
468	3
469	5
470	3
471	7
472	2
473	2
474	5
475	5
476	8
477	4
478	3
479	6
480	4
481	2
482	7
483	6
484	0
486	0
487	1
488	1
490	0
491	5
492	0
494	2
495	0
496	4
497	4
498	0
499	1
500	7
501	2
502	4
503	6
504	4
505	1
506	2
507	0
508	1
510	6
511	4
512	2
515	1
516	3
517	1
518	5
519	2
522	1
523	0
524	5
525	6
526	7
527	8
528	7
529	4
530	1
531	6
532	0
533	5
534	3
536	2
538	6
539	0
542	6
543	1
544	1
545	1
546	7
547	2
548	2
549	1
550	1
551	5
552	2
554	3
555	0
556	7
558	3
559	7
560	1
561	6
562	6
563	5
564	6
565	6
566	1
567	6
568	3
570	6
571	2
573	4
575	1
576	4
577	0
578	5
579	2
580	1
581	0
582	4
583	6
584	3
585	1
587	4
588	0
589	2
590	4
591	8
592	4
593	6
594	3
595	6
596	1
598	2
599	1
600	1
601	2
602	6
603	0
604	4
607	5
608	7
609	2
610	6
611	3
612	2
613	0
614	3
615	0
617	6
618	7
619	7
620	0
621	0
622	3
623	2
624	7
625	0
626	6
627	6
628	3
629	0
630	7
631	5
632	6
633	0
634	5
635	3
636	7
637	7
638	8
639	3
640	3
641	3
642	1
645	1
646	7
647	1
648	1
649	7
650	4
652	2
653	5
654	5
655	7
656	5
657	13
658	13
659	14
660	13
662	14
663	14
664	15
665	14
666	14
667	15
668	14
670	15
671	13
673	14
674	13
675	14
677	13
678	14
679	13
680	14
681	13
682	13
683	14
684	14
685	14
687	14
688	14
689	15
690	14
691	14
693	13
694	13
695	13
696	13
697	16
697	15
698	15
699	14
700	14
701	15
702	13
703	14
704	15
705	15
706	15
707	14
708	13
711	14
712	14
713	15
714	14
715	14
716	13
717	14
718	15
719	13
720	15
721	13
722	13
723	13
724	14
725	14
726	14
727	15
728	15
729	13
730	14
731	15
732	15
733	15
734	13
735	15
736	15
737	15
738	15
739	13
740	13
741	15
742	14
743	13
744	13
745	13
746	15
747	14
748	15
751	14
753	15
754	13
755	15
756	14
757	15
758	14
760	15
761	13
762	13
763	14
764	15
765	14
767	13
768	14
769	14
770	13
772	13
773	14
774	15
775	15
776	14
777	14
778	15
779	13
780	15
781	13
783	15
784	15
785	14
786	15
790	15
791	13
793	14
794	14
795	13
797	13
798	13
800	17
800	14
801	14
802	13
805	15
806	15
807	13
808	14
809	14
810	13
811	14
812	13
813	14
814	13
815	14
817	14
818	13
819	14
821	15
822	13
823	13
824	15
825	14
826	14
827	14
829	14
830	13
831	14
832	13
833	14
835	13
836	15
837	15
838	13
839	15
840	13
841	14
842	15
843	13
844	15
845	13
846	13
847	13
849	15
850	15
852	15
853	14
854	13
855	16
855	18
855	14
855	15
856	13
857	13
858	15
859	14
861	13
862	14
863	15
864	13
867	15
869	15
871	15
872	15
873	13
874	14
875	15
876	14
877	13
879	13
880	13
882	15
884	14
885	13
886	15
887	13
889	15
890	15
892	15
893	13
894	13
896	15
897	14
898	14
900	14
901	15
902	14
903	15
904	15
905	15
906	15
907	13
908	14
909	14
910	13
911	15
912	13
913	15
914	14
915	15
916	13
917	15
918	13
919	13
920	13
921	14
922	15
923	14
924	14
925	14
926	15
927	13
928	14
930	13
931	14
932	13
933	15
934	13
935	13
937	15
938	14
939	14
940	15
941	13
942	13
943	14
944	15
945	13
947	14
948	14
949	15
952	15
953	14
954	15
955	15
956	13
957	15
958	15
959	14
960	14
961	13
962	14
964	14
965	14
966	13
967	13
968	14
969	15
971	13
972	13
974	14
975	14
976	14
978	15
979	15
980	14
981	15
982	13
984	15
986	15
987	15
988	14
989	13
990	14
991	15
992	15
993	13
994	14
995	15
996	13
997	14
998	13
999	14
1000	15
1001	14
1002	15
1003	13
1005	15
1007	15
1008	13
1009	14
1011	13
1012	15
1013	15
1014	15
1015	13
1016	15
1017	13
1018	13
1019	15
1020	19
1020	15
1022	14
1023	14
1024	13
1025	15
1026	15
1028	13
1029	14
1030	15
1031	14
1032	14
1033	13
1034	14
1035	13
1036	13
1038	15
1039	15
1040	14
1041	15
1042	13
1043	13
1044	13
1045	14
1046	14
1049	15
1050	13
1051	13
1052	13
1053	14
1054	13
1056	15
1057	15
1058	13
1059	13
1060	14
1061	13
1062	15
1063	13
1064	14
1065	13
1066	14
1067	15
1068	13
1069	14
1070	14
1071	14
1072	13
1073	14
1074	13
1075	15
1076	14
1077	15
1078	14
1079	14
1080	14
1081	13
1082	14
1083	14
1084	15
1086	14
1087	14
1088	13
1089	14
1090	15
1091	14
1092	14
1093	14
1094	13
1095	15
1099	20
1101	21
1102	22
1104	23
1110	24
1111	25
1113	20
1115	21
1116	24
1117	26
1118	20
1119	20
1120	24
1121	22
1122	23
1125	23
1126	20
1127	25
1129	24
1133	22
1134	27
1140	21
1142	21
1143	25
1144	24
1146	20
1148	20
1150	24
1151	23
1154	28
1155	22
1158	21
1159	22
1161	25
1162	20
1163	23
1165	29
1166	24
1170	24
1172	27
1176	25
1177	24
1178	24
1180	21
1181	20
1186	28
1188	20
1189	22
1190	25
1191	20
1193	27
1194	20
1198	24
1199	20
1200	28
1201	22
1202	22
1205	21
1206	29
1211	21
1212	27
