conf	area
1 1
2 2
3 3
4 3
5 4
6 3
7 5
8 3
9 2
10 6
11 7
12 6
13 7
14 3
15 3
17 3
16 8
19 3
18 2
21 2
20 8
23 3
22 3
25 3
24 9
27 10
26 9
29 11
28 3
31 8
30 8
34 3
35 7
32 9
33 9
38 3
39 7
36 3
37 3
42 3
43 2
40 3
41 7
46 3
47 8
44 3
45 3
51 2
50 12
49 7
48 3
55 8
54 3
53 7
52 3
59 3
58 3
57 3
56 3
63 7
62 3
61 8
60 8
68 3
69 9
70 7
71 9
64 9
65 7
66 3
67 3
76 8
77 9
78 9
79 9
72 7
73 3
74 3
75 3
85 11
84 3
87 8
86 3
81 13
80 3
83 3
82 3
93 8
92 3
95 7
94 3
89 8
88 2
91 12
90 7
100 3
98 8
99 7
96 7
97 9
