proc	year
0	2
1	3
2	4
3	5
4	6
5	1
6	7
7	8
8	4
9	5
10	10
11	4
12	10
13	9
14	10
15	7
16	7
17	10
18	10
19	7
20	5
21	10
22	1
23	6
24	4
25	3
26	2
27	7
28	8
29	9
30	10
31	3
32	5
33	7
34	10
35	8
36	4
37	3
38	1
39	9
40	5
41	6
42	4
43	5
44	9
45	7
46	10
47	3
48	7
49	3
50	9
51	8
52	4
53	9
54	10
55	7
56	6
57	1
58	5
59	8
60	4
61	2
62	5
63	3
64	9
65	6
66	1
67	2
68	6
69	1
70	5
71	4
72	7
73	9
74	7
75	1
76	3
77	8
78	6
79	5
80	2
81	4
82	8
83	9
84	4
85	10
86	1
87	3
88	7
89	6
90	9
91	1
92	5
93	3
94	7
95	10
96	4
97	8
98	8
99	10
100	6
101	3
102	2
103	1
104	9
105	2
106	6
107	8
108	4
109	3
110	1
111	7
112	5
113	10
114	9
115	1
116	6
117	1
118	8
119	3
120	6
121	9
122	10
123	4
124	6
125	2
126	5
127	10
128	7
129	1
130	1
131	6
132	7
133	8
134	4
135	3
136	5
137	9
138	10
139	9
140	7
141	1
142	9
143	3
144	10
145	6
146	5
147	8
148	4
149	7
150	4
151	3
152	1
153	6
154	10
155	7
156	9
157	5
158	2
159	1
160	3
161	4
162	7
163	9
164	8
165	10
166	5
167	6
168	9
169	3
170	6
171	5
172	4
173	10
174	7
175	8
176	10
177	3
178	7
179	9
180	5
181	4
182	4
183	3
184	7
185	9
186	10
187	8
188	6
189	3
190	9
191	10
192	3
193	10
194	8
195	3
196	10
197	1
198	7
199	5
200	6
201	9
202	4
203	3
204	6
205	4
206	2
207	5
208	8
209	7
210	4
211	9
212	3
213	10
214	9
215	1
216	4
217	5
218	8
219	3
220	6
221	10
222	10
223	7
224	9
225	5
226	10
227	8
228	3
229	1
230	6
231	2
232	4
233	7
234	9
235	6
236	10
237	3
238	1
239	2
240	4
241	7
242	9
243	5
244	8
245	4
246	5
247	1
248	7
249	5
250	4
251	8
252	9
253	3
254	2
255	10
256	6
257	8
258	4
259	10
260	9
261	6
262	1
263	5
264	7
265	9
266	8
267	1
268	5
269	7
270	3
271	1
272	6
273	7
274	4
275	9
276	10
277	4
278	10
279	5
280	1
281	10
282	10
283	9
284	7
285	10
286	4
287	3
288	5
289	9
290	9
291	4
292	5
293	8
294	7
295	6
296	7
297	3
298	10
299	1
300	9
301	10
302	3
303	8
304	2
305	1
306	6
307	5
308	4
309	9
310	7
311	10
312	8
313	10
314	8
315	6
316	9
317	3
318	1
319	8
320	2
321	10
322	6
323	4
324	9
325	3
326	5
327	7
328	10
329	3
330	7
331	8
332	5
333	4
334	9
