actedby	movie
13481	2300
6011	1042
10976	1868
7083	1225
13424	2284
15123	2583
1211	204
7349	1273
8886	1521
9453	1602
253	33
254	33
16556	2818
2851	479
715	106
10507	1801
5051	870
4415	756
8336	1446
1212	204
13425	2284
13480	2300
7082	1225
8565	1474
15124	2583
252	33
8885	1521
9454	1602
16557	2818
9455	1602
714	106
10506	1801
8335	1446
1169	198
13422	2284
8338	1446
10978	1868
7081	1225
13483	2300
1213	204
8669	1489
4259	727
8888	1521
9250	1569
9451	1602
251	33
10431	1787
1336	222
5866	1013
3108	518
8566	1474
10505	1801
16554	2818
2853	479
4417	756
1168	198
7080	1225
13423	2284
10977	1868
8337	1446
5867	1013
8668	1489
1214	204
13482	2300
250	33
4258	727
8887	1521
9452	1602
3109	518
8567	1474
10503	1801
4811	815
16555	2818
716	106
10504	1801
2852	479
3728	628
4416	756
4070	693
2939	493
4810	815
8568	1474
4257	727
1215	204
5868	1013
2801	468
4071	693
711	106
14404	2475
15027	2572
1798	285
16456	2806
3403	580
8882	1521
4419	756
16552	2818
9450	1602
4256	727
11414	1933
8569	1474
15120	2583
5869	1013
1216	204
8339	1446
710	106
4072	693
3449	585
3404	580
8881	1521
16457	2806
8048	1396
16553	2818
4418	756
3400	580
16550	2818
4255	727
10587	1810
15029	2572
6352	1091
15121	2583
4073	693
713	106
13290	2256
8049	1396
3401	580
8884	1521
991	157
16454	2806
15122	2583
16551	2818
4254	727
6909	1198
10588	1810
15028	2572
712	106
16455	2806
992	157
3402	580
8883	1521
3446	585
12141	2050
14549	2500
3407	580
2859	479
13784	2359
5639	970
10585	1810
8638	1485
2221	358
1470	243
4253	727
11506	1945
13520	2307
12142	2050
3408	580
3445	585
2858	479
6615	1136
13783	2359
13782	2359
16645	2833
1380	228
2220	358
10586	1810
13521	2307
4252	727
1471	243
11507	1945
16458	2806
15110	2582
3405	580
8880	1521
3448	585
3330	565
12143	2050
1141	188
1796	285
12423	2109
4251	727
10583	1810
13781	2359
4471	765
1472	243
13754	2351
8800	1511
11504	1945
3406	580
16459	2806
15111	2582
3447	585
12144	2050
1140	188
1797	285
12424	2109
4250	727
8639	1485
10584	1810
13780	2359
1473	243
11505	1945
13753	2351
6612	1136
12145	2050
10581	1810
14936	2558
13904	2375
1143	188
2132	336
15112	2582
2855	479
3442	585
13420	2284
1474	243
13756	2351
1338	222
8667	1489
2679	446
12425	2109
6611	1136
15113	2582
3441	585
13787	2359
12700	2152
1142	188
14262	2450
13903	2375
2133	336
14935	2558
2854	479
8801	1511
4470	765
13755	2351
1337	222
1475	243
8666	1489
10582	1810
13421	2284
5636	970
12426	2109
3334	567
13786	2359
3140	526
6614	1136
15114	2582
3409	580
2857	479
3444	585
14934	2558
13902	2375
13758	2351
13522	2307
1476	243
2546	419
12427	2109
5637	970
3141	526
10580	1810
15680	2669
13785	2359
3333	567
6613	1136
7084	1225
15115	2582
3443	585
2856	479
14933	2558
1477	243
13901	2375
13757	2351
12428	2109
1339	222
15750	2683
5638	970
12204	2063
9966	1707
2772	462
10528	1806
5308	905
16066	2739
324	48
