actor	character
909	5566
453	4108
329	3725
413	2463
669	4838
87	10779
1136	6389
8	972
417	909
346	5998
1897	4795
718	2259
91	12854
1081	10219
1065	1390
1083	8463
1168	6451
985	8800
1312	2865
1907	12434
893	4396
424	461
1979	13186
816	8089
1633	11418
1394	9934
1097	4526
1346	11975
490	3795
126	4702
1850	5960
44	13655
273	12506
731	849
588	10633
56	105
100	111
119	13197
1617	7662
673	12849
187	1122
447	677
1324	274
1844	4954
762	8562
183	13242
304	11958
1163	9326
290	3500
934	13358
608	12704
1919	12991
743	3229
791	1134
634	6140
1395	10952
671	2389
794	10919
207	1765
562	626
870	7582
1274	1752
1316	1227
1497	6072
1346	11213
275	10572
257	6214
1149	3994
935	4391
64	9301
758	290
1253	4295
150	4742
1975	7089
1365	1994
157	2582
576	3524
230	243
1334	7683
704	10356
247	2555
1199	5892
917	11858
1353	11248
675	1279
667	3518
1661	3279
1869	6902
1091	5710
60	4926
183	7811
945	12217
1143	3388
26	911
38	39
898	7550
194	10111
1439	3271
1372	371
543	12011
1046	250
1646	3000
982	836
1978	8002
1033	233
1634	2937
600	6137
82	11005
410	6605
1440	7632
1571	13187
788	8648
795	12377
157	12107
189	8227
70	818
836	1497
758	256
619	1137
599	7476
961	7667
42	4071
1970	11581
671	10838
922	2888
1094	2481
850	1021
1512	2501
956	8143
322	7923
794	932
151	157
1601	11259
1891	11262
178	3533
896	3116
329	12379
770	2715
636	6233
223	1660
1372	4032
536	599
738	8611
118	811
791	13233
1309	1039
1636	6316
301	747
1208	769
1706	2942
516	13407
1334	681
1439	2201
324	9993
385	11682
375	6932
383	11845
842	1262
573	1295
1185	13216
636	6251
1297	8442
927	9205
113	4084
1032	3668
1057	1321
1103	1452
1831	12143
240	3049
961	10239
969	1025
1663	9128
453	1363
987	8939
1726	7832
1131	3037
135	6150
1628	13654
1529	6897
1048	1354
1239	2891
865	1044
1897	12668
616	11371
501	12464
1437	12264
1063	1456
836	4717
514	12046
1099	10514
783	9254
798	5203
1821	6680
1150	3347
1433	2653
708	5635
1775	6968
1556	2617
829	5410
985	13329
1672	13568
496	805
636	1430
997	11600
860	399
815	8421
1812	7950
1416	12923
905	7190
1947	10556
1137	1518
331	353
841	5677
568	4793
579	10537
502	2394
1067	1393
709	8561
496	8605
1925	5235
1620	11413
1814	3388
1008	728
202	397
1378	10035
1961	10744
419	718
366	5407
1738	13396
1480	8566
570	895
1511	8218
201	6133
470	9182
1541	10
1635	10859
847	9331
1428	2166
1315	13664
1163	12756
1519	13575
1554	5936
889	10145
1008	333
686	785
671	6640
1372	1043
1308	679
59	4607
862	3908
183	11928
1111	5450
1080	10489
698	1151
189	9407
1481	7690
1527	7887
1516	12308
426	3072
1250	4900
1825	7428
1519	3
1318	11559
1519	4107
669	761
1831	4125
401	9534
589	661
512	12311
574	1060
443	8508
1865	8971
980	6745
438	7212
1708	4143
576	13523
1275	4772
762	13632
749	874
1708	3966
558	2418
550	1097
1579	10729
274	11795
1329	6351
1022	880
1136	3947
1607	11481
39	5299
120	9058
870	10864
77	4046
1597	11841
1777	7390
206	8411
346	4028
677	988
546	667
934	3497
156	877
1533	308
316	2668
741	8045
1917	10705
671	5959
1088	4287
1807	9641
411	1322
435	878
669	7714
148	249
143	257
985	1552
1758	12724
1874	11073
706	815
1896	537
1650	8576
1710	1306
156	465
1718	1084
423	13141
222	8281
1881	4586
184	4240
1816	7602
610	13264
1759	4537
1481	10539
143	3394
453	10577
961	1209
816	2506
82	10089
930	320
1624	544
596	1083
309	12810
1093	1030
1646	909
1779	3388
316	336
1945	5745
1450	8324
1080	2321
836	986
489	8158
585	4361
1024	11443
305	5775
442	796
1651	3601
222	233
1589	2638
1998	10328
1808	11510
273	1695
452	1846
1500	6310
686	11593
832	10948
1586	12118
1747	8189
476	13479
1576	5782
1192	8409
1191	8044
522	9329
104	8174
305	5572
1466	6926
421	13442
1248	4248
1067	8486
993	161
1547	2603
1034	3
1314	12160
765	1791
513	931
776	914
8	9941
1186	7788
509	5813
183	9456
570	3562
1391	7713
667	371
944	5908
1994	4246
1535	9088
346	641
1704	11476
531	12669
1343	3434
116	3695
1210	5493
542	535
1900	12195
73	4778
1626	3542
207	9831
1568	5974
897	8685
891	3711
509	13346
454	633
1153	5558
370	4806
159	12971
712	328
1517	11227
373	13581
867	175
982	4844
431	2999
605	599
1300	7597
602	11160
894	7645
1627	2904
1766	3563
375	3234
1072	1894
1813	599
1106	7037
222	2313
1000	1278
465	10203
1591	448
414	598
694	3998
22	5199
923	3753
272	2471
587	10317
1928	9545
7	1336
1060	9602
81	6799
219	3659
1590	2730
1068	1637
224	10498
170	5683
1087	4415
373	2567
927	10732
723	7340
1154	9374
960	7387
668	8936
565	7473
1537	11691
1428	308
1739	4688
1036	9246
1556	1858
913	2967
571	783
799	28
150	2079
1179	2548
958	9998
293	12872
532	10087
1769	12420
628	1204
768	4419
1456	11112
549	10501
1165	12229
829	4548
647	7554
679	8305
281	5672
105	8339
1762	12429
712	11612
1803	4841
1988	9719
722	7642
1754	12643
874	1057
87	257
893	6613
667	397
157	6402
255	270
334	8938
561	12816
1512	11066
1376	3172
1900	4822
238	6333
9	12782
1609	721
1399	5807
1964	8112
1800	3874
1717	11668
961	10226
1582	11768
942	5432
270	827
152	10200
1016	13441
488	10279
520	5869
170	5956
502	6843
752	3538
673	11782
127	288
1718	10544
1172	13022
1821	9397
1879	972
371	7622
1989	448
1207	11002
268	6193
508	2165
769	5446
527	593
924	7876
1342	9276
814	1064
392	515
1399	6787
752	7046
1151	404
1935	12815
96	9959
131	4187
662	2713
379	5590
21	1589
1152	10254
1295	13193
436	10848
1479	7918
418	925
1589	1753
907	2524
881	4022
960	3428
573	11673
1991	8381
36	8984
288	5357
90	10129
1477	11158
568	5229
1899	4810
685	7174
601	4580
499	13163
509	775
466	445
1083	5347
911	2375
1200	7393
20	850
480	536
830	5066
1420	4362
1878	8528
1174	2054
1927	9704
610	9938
683	781
1003	6980
1325	7396
760	892
994	13352
1293	10445
705	9677
970	9716
202	9954
480	11762
786	1685
1874	4472
1617	4350
830	968
893	6884
380	7339
755	9136
858	2599
1375	6806
1525	10938
1224	12831
54	594
1187	13018
477	6818
1291	13541
1141	12426
1141	4179
7	2488
1228	397
217	12212
1701	4622
554	6654
887	2248
848	8077
778	12405
1172	11498
1810	5668
1284	7566
945	10515
454	1478
1010	7757
1394	9826
1761	9139
450	9936
1162	13381
369	20
936	11364
27	10824
707	1352
1688	8344
1926	11090
1273	9482
1727	3327
1513	11940
1333	12260
25	262
222	1987
608	3386
1310	5851
1759	8206
1966	7311
287	2047
763	3482
83	9603
190	4188
9	6871
1228	9478
143	717
410	1316
1403	10192
1252	5293
1674	6147
765	2243
214	10012
764	11099
1896	9084
1452	382
922	1140
711	11987
1924	9096
1900	6721
1991	11317
1352	11220
1377	5503
695	9039
128	11163
954	11272
1387	806
83	9611
917	7516
1886	6958
154	1046
1519	1053
1372	2007
1622	3204
748	1643
68	9376
1083	4285
570	11282
1564	5228
739	2929
780	12337
1119	2352
1193	1626
1036	11766
750	875
1512	10869
1530	2859
1617	5563
1032	8817
868	9698
1072	11511
1669	648
242	990
220	2378
505	8585
694	9969
356	12617
1278	1799
429	6416
710	308
1781	12714
254	269
1963	6988
467	10102
894	9628
813	1487
873	9134
1365	482
1274	7189
570	5229
1687	6150
287	3423
1089	6796
1017	3603
225	10119
387	8882
872	3593
1371	2004
1423	3828
1910	6509
66	5749
1977	6939
1714	1938
1587	11616
868	8935
1752	5121
430	469
1105	2067
1487	1028
639	1405
125	4990
1352	695
1122	2792
350	372
237	2095
1692	10316
1555	4843
1257	1764
1930	12478
409	1409
1974	10360
324	4197
1760	3511
1564	9790
149	1633
1185	1889
1678	2134
681	7844
707	1899
233	6145
856	8620
1315	3854
232	3097
1188	3388
964	530
452	8070
1198	11132
736	2905
1738	6328
1865	12723
1961	12375
676	1617
1157	13175
252	2335
1218	4167
212	223
242	7030
882	5688
627	11058
391	5338
1015	7246
596	12227
1964	6195
547	11823
640	9635
593	6533
869	6820
482	679
587	659
105	8770
916	12576
241	11368
1084	5563
1210	5050
1631	4085
1729	3524
40	41
373	5702
1749	7387
1945	12915
1529	3197
545	2291
1584	4314
364	1350
556	8784
634	3466
466	1289
1358	5158
198	1429
1388	2151
244	983
1397	12519
1755	3492
594	1437
1438	2196
747	4441
1325	7081
271	12460
839	1387
910	11837
1025	4778
1023	1317
1844	7681
1259	1766
235	5315
825	10862
765	3230
561	3726
1947	11040
996	2647
1190	5618
1943	7504
557	620
45	10125
1168	7676
1326	12567
746	869
218	2124
493	972
1965	9971
1569	4037
1460	6005
559	11100
1489	7397
1274	2112
174	13210
805	12727
999	1060
1977	11717
1462	12879
1867	12105
485	4251
1201	5223
458	13099
1428	8541
320	13017
1356	6572
1207	13290
1139	3107
296	316
33	12370
692	794
271	2388
1450	2923
545	607
207	3056
474	4495
510	3606
1669	4671
966	3068
218	1241
1914	7357
1405	1087
183	1244
1577	175
563	627
961	10277
715	4219
785	10796
1375	4134
1172	1586
1365	3083
644	10584
1195	537
1368	8021
1093	1363
846	3617
1178	10052
980	7418
1357	3744
1804	10973
1004	7078
1890	8797
1811	13144
352	374
1904	8933
1021	11351
657	153
1787	3881
899	1094
561	2049
1521	6030
580	6169
268	12529
673	7673
1478	9917
1878	12003
1758	6164
1877	4532
1240	8462
663	3334
1996	9706
1107	11995
1048	12033
1982	9054
896	9604
321	6910
1847	4567
590	6104
1379	7509
1495	3680
817	4460
1658	3029
173	7964
1450	2234
1067	6334
209	5319
1285	5433
1328	534
755	7556
1895	12457
627	9879
1610	13489
1755	8199
1912	9046
844	972
1009	4876
1318	4162
1902	2588
883	1074
454	4491
1540	3152
672	3200
741	11235
342	968
379	3409
750	5778
193	13527
882	11804
83	9758
817	1031
427	4973
1667	3065
1527	12532
1559	8348
1651	8985
1996	9472
1184	8930
87	7930
1410	12134
1442	2209
1103	9814
219	698
173	7608
981	2669
1324	13071
940	1173
1320	9457
766	12240
1606	11488
1368	6768
143	7058
1272	4002
718	4823
1655	8374
790	1495
1734	8919
1552	3928
1291	3932
979	1239
1300	12857
926	10780
1847	4898
287	397
1284	7296
292	12327
647	1084
149	593
1284	6694
600	12967
1611	8750
380	2750
926	4154
1622	6688
284	2810
244	257
1469	4768
267	2952
1702	3201
127	10171
234	13516
576	12052
1026	9318
985	10941
1693	382
745	866
164	9892
1617	10223
1523	2516
668	7864
1356	8335
310	12945
1281	1807
1582	8263
1744	11349
37	5187
77	7207
1670	11895
892	12009
18	18
389	10434
1694	994
440	649
888	2634
256	972
1238	4633
206	10072
42	10588
1905	12922
422	7244
773	9086
1772	10396
211	222
1506	13287
1633	11239
297	11526
232	7439
306	9070
1524	4362
1018	9060
1951	5811
1592	8773
1137	9061
1836	13317
562	2761
334	3931
227	240
1652	6112
920	12578
1546	5424
917	3033
1568	2640
1794	187
1659	217
1152	10264
718	2826
593	12926
743	6381
1371	3444
1687	13522
672	7400
354	2078
131	5473
1355	4302
637	722
1943	8527
538	3971
762	2261
929	5080
580	2581
1238	11174
332	86
158	13214
63	8213
951	6092
1439	11457
561	1158
711	6836
44	1796
1841	4180
514	575
357	379
1377	7493
12	5245
1386	6979
529	1231
1154	8038
1848	9680
947	3859
121	1509
633	6123
947	9715
66	11540
39	1396
1812	4015
1103	1451
1645	12867
548	320
354	1295
1840	11287
742	2921
43	4973
787	928
1970	12895
1193	13307
239	4464
114	1938
1022	12031
1860	4052
582	12367
1312	4021
41	12455
1524	8714
37	5403
1378	2020
183	1008
67	6824
430	6977
1471	4181
554	6126
1859	6656
26	9386
1821	7142
799	5207
1712	4616
599	7799
398	9164
1803	1982
1705	5159
977	3702
969	8517
871	2460
410	2152
1298	9066
723	9947
432	10914
297	317
1756	11059
1518	9156
96	7067
1479	2882
1722	6566
1775	8499
606	10430
1799	2548
1520	2049
1380	2028
1237	2545
390	7101
909	4459
1431	7739
1533	13492
1695	400
1841	5883
1398	2801
1444	8012
820	962
1321	13127
229	9913
1902	10587
206	217
1209	1999
548	3434
1927	12620
352	3962
750	45
1302	2759
761	8829
726	11857
1210	9038
382	410
226	1730
1305	2366
10	10
270	736
1397	781
627	2009
1918	11433
1825	4962
1262	3232
1941	6663
320	2221
1124	12068
267	306
140	4938
523	2446
682	9618
1345	4082
993	13431
1007	1288
597	137
627	12898
719	9787
371	2371
708	2240
1086	10481
184	2829
1939	10388
257	4444
1299	4630
711	1778
750	2134
316	11196
1997	11197
948	2253
470	7502
1573	6298
457	5462
1243	1752
1195	12025
1926	8740
650	5431
1537	7203
1953	9950
483	539
1423	2155
731	1752
609	5282
198	9952
1902	4162
824	5409
488	2420
411	10640
1860	1190
1345	6810
1059	4579
774	12946
746	10332
25	6541
1342	7155
1466	4172
1244	9206
1444	2966
54	63
506	7424
805	45
618	3361
143	909
199	6990
1403	6181
775	4289
1340	7684
1683	4221
496	9999
764	12463
1744	11844
1235	8096
1680	3834
1401	3381
857	10070
1185	3346
548	11301
584	2409
697	1800
360	4178
520	8532
333	8552
1143	2236
1517	10807
129	8742
509	8591
600	4104
1018	12809
890	5315
1520	4947
1973	6731
1432	2059
1623	3214
968	1279
956	4497
852	1023
1324	10128
1393	9812
717	8892
752	9503
504	2871
390	6764
1292	13438
524	1262
1418	2136
543	12314
1264	1946
