charedby	character
3371	3024
16896	13561
13526	3189
6643	5746
10377	8657
244	243
11124	885
8272	7038
13314	10897
11758	9717
12151	7385
14853	12007
4153	3674
13272	260
9758	8180
3209	2902
16868	13542
14278	7590
1711	1602
2375	2191
6950	5981
8901	7524
3571	306
11180	2240
7368	6331
8361	7098
11040	6802
15537	12538
6733	3798
12923	10585
13571	1159
9233	6859
3014	2732
2002	273
12149	4179
2597	648
16481	13227
3488	3112
15223	12290
276	275
7493	6427
13723	11191
5745	5002
5695	4966
13501	11042
8050	6864
16295	2461
4138	3661
2075	1932
14666	11888
3493	3116
3800	3383
15336	12379
10866	9048
16614	13337
5483	4783
5667	4943
3708	3298
9548	8020
3149	2852
10134	8478
14071	4132
16666	13381
13566	11089
14844	4131
851	828
7506	6436
6716	449
10973	9117
6989	6013
1762	1650
5277	287
1341	1285
11439	9471
8618	7306
11496	6938
2461	2265
13875	911
12558	10318
14992	12114
1566	1485
5887	5120
4795	4227
14547	11802
7130	6130
11045	9170
16145	6721
6626	3008
11367	9420
12169	10005
10619	530
232	231
16366	1924
7115	6118
6929	5966
15522	1924
14352	11654
12191	10027
3288	2118
10908	9077
313	311
11159	1554
4158	1924
2151	2000
7067	6079
8362	1987
6550	5681
307	305
2477	2272
13373	10944
7811	2977
3716	3305
10601	8826
12648	10384
14906	12041
15417	12442
8586	7278
6059	5257
3207	2900
11985	9876
12956	4216
6291	5457
12487	10265
7257	6238
14011	11411
13518	11052
6542	5673
13114	10745
5588	4873
10179	8513
11888	4109
16515	4430
4243	3755
15309	6192
16834	13514
673	657
13608	11122
10718	8916
3423	968
9118	7710
12823	10509
3871	3442
10588	7178
1876	1755
1706	1597
15419	1028
3461	3095
853	830
10269	8579
13247	10845
14354	11656
4372	598
16906	13571
3557	1066
8134	6930
9041	7645
8455	7175
15367	12403
270	269
9920	8312
15037	12152
2197	2039
9026	7632
8948	7566
10525	8766
9117	7709
3505	1084
12299	10111
5156	4522
11069	9190
5998	5206
9132	7723
14098	11466
13508	11045
2283	2110
5356	4685
13146	10776
4446	3918
12526	10294
3777	3360
3695	3286
356	354
3236	2923
14734	11942
11574	9576
1367	1307
11474	9499
15587	12583
14637	10044
1890	1766
13223	10825
