proc	conf
0	1
1	1
2	1
3	1
4	2
5	2
6	3
7	4
8	4
9	4
10	4
11	4
12	4
13	4
14	4
15	5
17	5
16	7
19	8
18	6
21	8
20	8
23	9
22	9
25	9
24	9
27	9
26	9
29	9
28	9
31	9
30	9
34	96
35	96
32	2
33	96
38	96
39	96
36	96
37	96
42	95
43	95
40	95
41	95
46	95
47	98
44	95
45	95
51	98
50	98
49	98
48	98
55	10
54	10
53	10
52	10
59	10
58	10
57	10
56	10
63	11
62	100
61	11
60	97
68	11
69	100
70	11
71	84
64	100
65	11
66	100
67	11
76	10
77	12
78	12
79	12
72	100
73	100
74	100
75	100
85	13
84	13
87	13
86	13
81	99
80	12
83	13
82	13
93	14
92	14
95	14
94	14
89	13
88	13
91	14
90	14
102	16
103	16
100	16
101	16
98	16
99	16
96	15
97	15
110	18
111	18
108	18
109	18
106	16
107	16
104	16
105	16
119	20
118	20
117	20
116	17
115	18
114	18
113	18
112	18
127	19
126	19
125	19
124	19
123	20
122	20
121	20
120	20
137	23
136	23
139	22
138	23
141	22
140	22
143	22
142	22
129	19
128	19
131	23
130	23
133	24
132	23
135	23
134	23
152	21
153	21
154	25
155	25
156	25
157	25
158	25
159	25
144	22
145	22
146	22
147	22
148	21
149	21
150	21
151	21
171	26
170	25
169	25
168	25
175	26
174	27
173	27
172	27
163	26
162	26
161	26
160	26
167	25
166	26
165	26
164	26
186	29
187	29
184	29
185	29
190	28
191	28
188	29
189	29
178	27
179	27
176	27
177	27
182	29
183	29
180	27
181	27
205	30
204	30
207	30
206	30
201	32
200	32
203	30
202	32
197	31
196	31
199	32
198	32
193	31
192	31
195	31
194	31
220	34
221	34
222	34
223	34
216	35
217	35
218	35
219	35
212	35
213	35
214	35
215	35
208	30
209	30
210	30
211	35
239	36
238	36
237	36
236	36
235	36
234	37
233	37
232	37
231	37
230	33
229	34
228	33
227	34
226	34
225	34
224	34
254	38
255	38
252	39
253	39
250	39
251	39
248	39
249	39
246	39
247	39
244	39
245	39
242	36
243	36
240	36
241	36
275	46
274	40
273	41
272	41
279	46
278	46
277	46
276	46
283	45
282	46
281	46
280	46
287	45
286	45
285	45
284	45
258	38
259	38
256	38
257	38
262	28
263	28
260	38
261	38
266	41
267	41
264	28
265	41
270	41
271	41
268	41
269	41
305	48
304	50
307	48
306	48
309	48
308	48
311	47
310	49
313	47
312	47
315	47
314	47
317	54
316	54
319	54
318	54
288	45
289	42
290	42
291	42
292	42
293	42
294	42
295	42
296	42
297	42
298	42
299	43
300	44
301	44
302	50
303	50
343	59
342	59
341	59
340	59
339	59
338	59
337	51
336	51
351	58
350	58
349	58
348	58
347	58
346	59
345	59
344	59
326	52
327	52
324	52
325	52
322	52
323	52
320	54
321	52
334	51
335	51
332	51
333	51
330	53
331	51
328	52
329	52
373	65
372	65
375	65
374	65
369	65
368	62
371	65
370	65
381	55
380	63
383	55
382	55
377	65
376	65
379	64
378	64
356	61
357	60
358	60
359	62
352	58
353	58
354	61
355	61
364	62
365	62
366	62
367	62
360	62
361	62
362	62
363	62
410	71
411	70
408	71
409	71
414	70
415	70
412	70
413	70
402	71
403	71
400	43
401	71
406	71
407	71
404	71
405	71
395	55
394	55
393	56
392	56
399	43
398	33
397	65
396	57
387	56
386	56
385	56
384	55
391	56
390	56
389	56
388	56
440	66
441	66
442	66
443	66
444	66
445	66
446	43
447	69
432	72
433	68
434	68
435	68
436	68
437	68
438	67
439	66
425	74
424	72
427	74
426	74
429	74
428	74
431	72
430	73
417	70
416	70
419	72
418	70
421	72
420	72
423	72
422	72
478	77
479	74
476	77
477	77
474	76
475	76
472	75
473	77
470	76
471	76
468	76
469	75
466	76
467	76
464	76
465	76
463	75
462	75
461	75
460	75
459	75
458	75
457	75
456	75
455	69
454	69
453	69
452	69
451	69
450	69
449	69
448	69
508	86
509	86
510	86
511	86
504	85
505	86
506	86
507	86
500	85
501	85
502	85
503	85
496	88
497	88
498	89
499	85
493	87
492	87
495	89
494	87
489	87
488	87
491	87
490	87
485	78
484	81
487	87
486	87
481	80
480	79
483	81
482	81
550	94
551	94
548	90
549	90
546	90
547	90
544	90
545	90
558	94
559	94
556	94
557	94
554	94
555	94
552	94
553	94
567	93
566	93
565	93
564	93
563	93
562	93
561	93
560	93
574	92
573	92
572	92
571	92
570	92
569	93
568	93
516	81
517	81
518	81
519	82
512	81
513	81
514	81
515	81
524	84
525	84
526	84
527	84
520	83
521	83
522	83
523	83
533	91
532	55
535	91
534	91
529	55
528	83
531	55
530	55
541	90
540	91
543	90
542	90
537	91
536	91
539	91
538	91
