authorsgrp	author
1	3
1	4
1	5
1	6
1	7
2	8
2	9
2	10
3	11
3	12
3	13
4	14
4	15
5	16
5	17
5	18
5	10
6	19
6	20
6	21
7	22
7	23
7	24
7	25
7	26
7	27
8	28
8	29
8	30
9	32
9	33
9	31
10	34
10	35
11	36
11	37
12	38
12	39
12	40
13	41
13	42
13	43
13	44
14	48
14	49
14	45
14	46
14	47
15	50
15	51
16	52
16	53
16	54
16	55
16	56
16	57
16	58
17	59
17	60
17	61
17	62
18	64
18	65
18	66
18	67
18	63
19	33
19	68
19	69
19	70
20	74
21	75
21	76
21	77
21	78
22	83
22	84
22	85
22	86
22	87
23	88
23	89
24	90
24	91
24	92
24	93
25	94
25	95
26	96
26	97
26	98
26	99
27	100
27	101
27	102
28	103
28	104
28	105
29	106
29	107
29	108
29	109
29	110
30	112
30	113
30	111
31	114
31	115
31	116
32	117
32	118
33	65
33	66
33	67
33	121
33	122
33	123
34	124
34	125
35	126
35	127
36	128
36	129
37	130
37	131
37	132
37	133
37	134
37	135
37	136
37	15
38	140
38	141
38	142
38	143
39	144
39	145
40	146
40	147
40	148
41	154
41	155
41	156
41	157
42	160
42	158
42	159
43	160
43	161
43	162
43	159
44	163
44	164
45	165
45	166
45	167
46	168
46	169
46	170
46	171
47	172
47	173
47	174
47	175
48	176
48	177
48	178
49	179
49	180
49	181
50	182
50	183
50	184
51	185
51	186
51	187
51	188
52	189
52	190
52	191
53	192
53	193
54	194
54	195
54	196
55	197
55	198
56	199
56	200
56	201
57	50
57	202
57	203
57	157
58	204
58	205
58	206
59	208
59	207
60	209
60	210
60	211
61	212
61	213
61	214
61	215
61	216
62	224
62	225
62	226
62	227
62	220
62	221
62	222
62	223
63	228
63	229
63	230
64	155
64	156
65	231
65	232
66	229
66	230
66	233
66	234
67	51
67	235
68	240
68	236
68	237
68	238
68	239
69	241
69	242
69	243
70	244
70	245
70	246
70	247
71	33
71	69
71	248
71	249
71	31
72	250
72	251
72	252
73	169
73	253
74	254
74	255
75	256
75	257
75	258
75	259
76	50
76	51
76	260
76	261
76	262
76	263
76	264
76	202
77	265
77	89
77	266
77	267
78	268
79	269
79	270
80	272
80	273
80	271
81	274
81	275
81	276
81	277
81	278
82	279
82	280
82	216
82	281
83	229
83	230
83	282
83	283
84	284
84	285
84	286
85	289
85	290
85	291
85	292
86	99
86	296
86	297
86	298
86	299
86	300
87	171
87	301
88	304
88	302
88	303
89	305
89	306
89	51
90	307
90	308
90	309
91	310
91	311
91	312
91	313
91	314
91	315
92	284
92	286
93	316
94	178
94	317
94	318
94	319
95	320
95	321
95	322
95	184
96	48
96	160
96	323
96	324
96	159
97	325
97	326
97	327
97	328
98	329
98	330
99	304
99	331
99	332
99	333
99	334
100	336
100	337
100	335
101	338
101	339
101	340
101	341
101	342
101	343
102	344
102	125
103	176
103	178
103	345
104	346
104	347
104	348
104	349
104	350
105	352
105	353
105	354
105	355
105	356
105	351
106	357
106	358
106	359
106	360
106	30
107	230
107	361
108	362
108	171
109	371
110	372
110	373
110	374
110	375
111	100
111	101
111	376
112	377
112	378
112	379
112	380
113	170
113	381
113	382
114	384
114	193
114	18
114	383
115	130
115	388
115	389
115	390
115	105
116	391
116	392
116	393
117	50
117	51
117	260
117	261
117	264
117	202
118	394
118	395
118	396
118	397
119	306
119	51
119	398
119	399
120	400
120	401
120	402
121	403
121	404
122	405
122	406
122	407
123	193
123	18
123	408
123	409
123	410
124	411
124	412
125	416
125	413
125	414
125	415
126	417
126	418
126	419
126	420
126	421
127	181
127	422
127	311
128	15
129	423
129	424
129	425
130	176
130	177
130	178
131	132
131	136
131	426
132	427
132	428
132	429
133	432
133	430
133	431
134	433
134	434
134	435
135	443
135	444
135	445
136	307
136	308
136	446
137	448
137	447
138	449
138	450
138	451
138	452
138	453
139	51
139	454
139	235
140	455
140	456
140	457
141	83
141	458
141	459
141	460
141	461
142	462
143	38
143	39
143	463
144	464
144	465
144	466
144	245
145	467
145	468
145	469
145	470
145	471
145	472
146	475
146	476
146	477
147	480
147	53
147	478
147	479
148	481
148	482
148	483
149	484
149	485
149	486
150	487
150	488
151	489
151	490
151	491
151	492
151	493
152	83
152	84
152	494
152	495
153	496
153	497
153	498
153	499
153	500
154	450
154	451
154	452
154	501
154	502
154	503
155	504
155	505
155	171
156	454
156	506
156	507
156	508
157	43
157	509
157	510
158	512
158	513
158	514
158	515
158	511
159	516
159	517
159	518
159	519
159	520
160	488
160	521
160	522
160	314
161	65
161	66
161	67
161	121
161	122
161	123
162	309
162	533
162	134
163	534
163	535
163	536
163	537
164	538
164	539
164	540
164	541
165	256
165	544
165	545
165	542
165	543
166	546
166	547
166	548
167	549
167	454
167	550
167	551
167	506
167	507
168	552
168	553
168	28
169	554
169	42
169	43
170	18
170	409
170	555
171	560
171	561
171	562
171	311
171	558
171	559
172	563
172	100
172	101
172	376
173	564
173	565
173	566
174	567
174	171
175	34
175	568
175	569
175	412
176	570
176	571
176	379
176	572
176	380
177	244
177	245
177	246
177	424
177	425
177	573
178	446
178	462
179	210
179	574
179	575
180	577
180	578
180	579
181	83
181	580
181	494
181	495
182	592
182	588
182	589
182	590
182	591
183	593
183	594
183	595
184	596
184	597
185	598
185	599
185	600
185	601
186	324
186	45
186	46
187	602
187	603
188	299
188	604
188	605
189	608
189	129
189	606
189	607
190	609
190	610
190	611
190	612
190	613
190	614
191	289
191	615
191	616
191	617
191	618
192	202
192	203
192	157
193	125
193	622
194	625
194	626
194	627
194	488
194	522
195	630
195	631
195	632
196	633
196	10300
197	242
197	181
197	634
197	635
198	640
198	636
198	637
198	638
198	639
199	400
199	641
199	401
199	642
199	643
200	612
200	181
200	487
200	488
200	29
201	644
201	645
202	646
202	647
202	648
203	256
203	649
203	650
204	608
204	651
205	656
205	655
206	657
206	99
207	658
207	659
208	660
208	615
208	616
209	445
209	143
210	666
210	667
210	414
211	497
211	248
211	668
211	669
211	670
211	671
212	289
212	618
213	675
213	676
213	37
213	677
214	181
214	678
214	679
