"the simpsons movie (2007)","69"
"eagle eye (2008)","49"
"walk hard: the dewey cox story (2007)","41"
"the animatrix (2003)","39"
"x-men: the last stand (2006)","39"
"new york, i love you (2009)","39"
"spider-man 3 (2007)","39"
"grindhouse (2007)","38"
"runaway jury (2003)","36"
"traffic (2000)","36"
"flags of our fathers (2006)","36"
"for your consideration (2006)","35"
"horton hears a who! (2008)","34"
"cars (2006)","33"
"the dark knight (2008)","33"
"the curious case of benjamin button (2008)","32"
"austin powers in goldmember (2002)","32"
"world trade center (2006)","32"
"spider-man 2 (2004)","32"
"x2 (2003)","31"
"the departed (2006)","31"
"the haunted world of el superbeasto (2009)","31"
"catch me if you can (2002)","30"
"public enemies (2009)","30"
"harry potter and the order of the phoenix (2007)","30"
"american gangster (2007)","30"
"transformers (2007)","30"
"ocean's thirteen (2007)","30"
"sin city (2005)","30"
"transformers: revenge of the fallen (2009)","29"
"a christmas carol (2009)","29"
"national treasure: book of secrets (2007)","29"
"run ronnie run (2002)","29"
"the express (2008)","28"
"state of play (2009)","28"
"shrek the third (2007)","28"
"the soloist (2009)","28"
"the spongebob squarepants movie (2004)","28"
"minority report (2002)","27"
"war of the worlds (2005)","27"
"ice age: the meltdown (2006)","27"
"what just happened (2008)","27"
"deja vu (2006)","26"
"harry potter and the goblet of fire (2005)","26"
"harry potter and the prisoner of azkaban (2004)","26"
"star trek (2009)","26"
"yes man (2008)","26"
"harry potter and the chamber of secrets (2002)","26"
"bobby (2006)","25"
"enchanted (2007)","25"
"pirates of the caribbean: at world's end (2007)","25"
"pirates of the caribbean: dead man's chest (2006)","25"
"he's just not that into you (2009)","25"
"across the universe (2007)","25"
"invincible (2006)","25"
"the island (2005)","25"
"the good shepherd (2006)","24"
"ocean's twelve (2004)","24"
"syriana (2005)","24"
"the terminal (2004)","24"
"synecdoche, new york (2008)","24"
"beyond all boundaries (2009)","24"
"glory road (2006)","24"
"starsky & hutch (2004)","24"
"harry potter and the half-blood prince (2009)","24"
"i love you phillip morris (2009)","24"
"live free or die hard (2007)","24"
"the taking of pelham 1 2 3 (2009)","24"
"harry potter and the sorcerer's stone (2001)","23"
"the aviator (2004)","23"
"artificial intelligence: ai (2001)","23"
"charlie wilson's war (2007)","23"
"spider-man (2002)","23"
"surf's up (2007)","23"
"fun with dick and jane (2005)","23"
"the invasion (2007)","23"
"almost famous (2000)","23"
"monsters, inc. (2001)","23"
"the manchurian candidate (2004)","23"
"changing lanes (2002)","23"
"cold mountain (2003)","23"
"american pie 2 (2001)","23"
"anchorman: the legend of ron burgundy (2004)","23"
"monsters vs aliens (2009)","22"
"madagascar: escape 2 africa (2008)","22"
"ocean's eleven (2001)","22"
"the alibi (2006)","22"
"the lord of the rings: the return of the king (2003)","22"
"kinsey (2004)","22"
"the bad lieutenant: port of call - new orleans (2009)","22"
"tropic thunder (2008)","22"
"burn after reading (2008)","22"
"righteous kill (2008)","22"
"harold & kumar escape from guantanamo bay (2008)","22"
"collateral (2004)","22"
"mystic river (2003)","22"
"national treasure (2004)","22"
"the interpreter (2005)","22"
"black hawk down (2001)","21"
"duplicity (2009)","21"
"cirque du freak: the vampire's assistant (2009)","21"
"x-men (2000)","21"
"happy feet (2006)","21"
"the laramie project (2002)","21"
"night at the museum: battle of the smithsonian (2009)","21"
"going to pieces: the rise and fall of the slasher film (2006)","21"
"find me guilty (2006)","21"
"pineapple express (2008)","21"
"in the valley of elah (2007)","21"
"cinderella man (2005)","21"
"iron man (2008)","21"
"changeling (2008)","21"
"the tv set (2006)","21"
"red dragon (2002)","21"
"the producers (2005)","21"
"leatherheads (2008)","21"
"the hoax (2006)","21"
"heartbreakers (2001)","21"
"fanboys (2008)","21"
"the day after tomorrow (2004)","20"
"what doesn't kill you (2008)","20"
"watchmen (2009)","20"
"bruce almighty (2003)","20"
"cloudy with a chance of meatballs (2009)","20"
"shrek 2 (2004)","20"
"21 (2008)","20"
"bedtime stories (2008)","20"
"the hitchhiker's guide to the galaxy (2005)","20"
"knocked up (2007)","20"
"mission: impossible iii (2006)","20"
"a mighty wind (2003)","20"
"the 40 year old virgin (2005)","20"
"get smart (2008)","20"
"thirteen days (2000)","20"
"the grand (2007)","20"
"best in show (2000)","20"
"ali (2001)","20"
"lords of dogtown (2005)","20"
"i'm not there. (2007)","20"
"michael clayton (2007)","20"
"i now pronounce you chuck & larry (2007)","20"
"vanilla sky (2001)","20"
"the man who wasn't there (2001)","19"
"the lord of the rings: the fellowship of the ring (2001)","19"
"the men who stare at goats (2009)","19"
"angels & demons (2009)","19"
"north country (2005)","19"
"robots (2005)","19"
"gods and generals (2003)","19"
"the bourne ultimatum (2007)","19"
"big fish (2003)","19"
"13 going on 30 (2004)","19"
"the sum of all fears (2002)","19"
"the lord of the rings: the two towers (2002)","19"
"a lot like love (2005)","19"
"lemony snicket's a series of unfortunate events (2004)","19"
"gone in sixty seconds (2000)","19"
"the astronaut farmer (2006)","19"
"talladega nights: the ballad of ricky bobby (2006)","19"
"bee movie (2007)","19"
"the wrestler (2008)","18"
"the royal tenenbaums (2001)","18"
"thank you for smoking (2005)","18"
"crank: high voltage (2009)","18"
"the private lives of pippa lee (2009)","18"
"astro boy (2009)","18"
"the nanny diaries (2007)","18"
"blades of glory (2007)","18"
"zoolander (2001)","18"
"rent (2005)","18"
"the onion movie (2008)","18"
"recess: school's out (2001)","18"
"the rebound (2009)","18"
"shutter island (2010)","18"
"anger management (2003)","18"
"batman begins (2005)","18"
"school for scoundrels (2006)","18"
"cellular (2004)","18"
"the united states of leland (2003)","18"
"old school (2003)","18"
"body of lies (2008)","18"
"miami vice (2006)","18"
"the dead girl (2006)","18"
"the number 23 (2007)","18"
"winged creatures (2008)","18"
"up (2009)","18"
"the yards (2000)","18"
"wedding crashers (2005)","18"
"tmnt (2007)","18"
"marilyn hotchkiss' ballroom dancing & charm school (2005)","18"
"the incredible hulk (2008)","18"
"hannibal (2001)","18"
"wild hogs (2007)","17"
"battle in seattle (2007)","17"
"funny people (2009)","17"
"gosford park (2001)","17"
"step brothers (2008)","17"
"mona lisa smile (2003)","17"
"dodgeball: a true underdog story (2004)","17"
"street kings (2008)","17"
"the pledge (2001)","17"
"law abiding citizen (2009)","17"
"ladder 49 (2004)","17"
"wristcutters: a love story (2006)","17"
"the sisterhood of the traveling pants 2 (2008)","17"
"we own the night (2007)","17"
"american violet (2008)","17"
"before the devil knows you're dead (2007)","17"
"melinda and melinda (2004)","17"
"the ant bully (2006)","17"
"terra (2007)","17"
"definitely, maybe (2008)","17"
"julie & julia (2009)","17"
"art school confidential (2006)","17"
"elf (2003)","17"
"the maiden heist (2009)","17"
"the brave one (2007)","17"
"the great buck howard (2008)","17"
"remember the titans (2000)","17"
"after the sunset (2004)","17"
"hancock (2008)","17"
"all the king's men (2006)","17"
"little miss sunshine (2006)","16"
"good night, and good luck. (2005)","16"
"accepted (2006)","16"
"big trouble (2002)","16"
"fast & furious (2009)","16"
"the golden compass (2007)","16"
"madagascar (2005)","16"
"idiocracy (2006)","16"
"alice in wonderland (2010)","16"
"terminator salvation (2009)","16"
"august rush (2007)","16"
"soul men (2008)","16"
"sunshine cleaning (2008)","16"
"halloween (2007)","16"
"indiana jones and the kingdom of the crystal skull (2008)","16"
"s1m0ne (2002)","16"
"treasure planet (2002)","16"
"what women want (2000)","16"
"riding in cars with boys (2001)","16"
"the village (2004)","16"
"constantine (2005)","16"
"3:10 to yuma (2007)","16"
"over the hedge (2006)","16"
"orange county (2002)","16"
"million dollar baby (2004)","16"
"the longest yard (2005)","16"
"something's gotta give (2003)","16"
"pirates of the caribbean: the curse of the black pearl (2003)","16"
"confessions of a dangerous mind (2002)","16"
"the butterfly effect (2004)","16"
"swordfish (2001)","16"
"magnificent desolation: walking on the moon 3d (2005)","16"
"the notorious bettie page (2005)","16"
"charlotte's web (2006)","16"
"american gun (2005)","16"
"we are marshall (2006)","16"
"imaginary heroes (2004)","16"
"the majestic (2001)","16"
"the sentinel (2006)","16"
"monster (2003)","16"
"leaves of grass (2009)","16"
"brother bear (2003)","16"
"beowulf (2007)","16"
"frost/nixon (2008)","16"
"phone booth (2002)","16"
"factory girl (2006)","15"
"the human stain (2003)","15"
"purple violets (2007)","15"
"ghost world (2001)","15"
"boiler room (2000)","15"
"land of the dead (2005)","15"
"adaptation. (2002)","15"
"dreamer: inspired by a true story (2005)","15"
"the salton sea (2002)","15"
"inland empire (2006)","15"
"the punisher (2004)","15"
"the gift (2000)","15"
"chicago (2002)","15"
"nine lives (2005)","15"
"the informant! (2009)","15"
"k-pax (2001)","15"
"personal velocity: three portraits (2002)","15"
"the ugly truth (2009)","15"
"o brother, where art thou? (2000)","15"
"tenacious d in the pick of destiny (2006)","15"
"the great debaters (2007)","15"
"paycheck (2003)","15"
"in her shoes (2005)","15"
"final fantasy: the spirits within (2001)","15"
"the kingdom (2007)","15"
"27 dresses (2008)","15"
"the invention of lying (2009)","15"
"gone baby gone (2007)","15"
"crossing over (2009)","15"
"bolt (2008)","15"
"nothing is private (2007)","15"
"the lucky ones (2008)","15"
"inside man (2006)","15"
"role models (2008)","15"
"wall·e (2008)","15"
"stories of lost souls (2005)","15"
"a guide to recognizing your saints (2006)","15"
"away we go (2009)","15"
"the moguls (2005)","15"
"me, myself & irene (2000)","15"
"the tale of despereaux (2008)","15"
"i am sam (2001)","15"
"sky high (2005)","15"
"the merry gentleman (2008)","15"
"looney tunes: back in action (2003)","15"
"seven pounds (2008)","15"
"love actually (2003)","15"
"neo ned (2005)","15"
"ice age (2002)","15"
"igby goes down (2002)","15"
"who do you love (2008)","15"
"kiss kiss bang bang (2005)","15"
"nick and norah's infinite playlist (2008)","15"
"finishing the game: the search for a new bruce lee (2007)","15"
"bad boys ii (2003)","15"
"romance & cigarettes (2005)","15"
"pride and glory (2008)","15"
"strangers with candy (2005)","15"
"stranger than fiction (2006)","14"
"big stan (2007)","14"
"shrek (2001)","14"
"lonely hearts (2006)","14"
"i heart huckabees (2004)","14"
"curious george (2006)","14"
"edge of darkness (2010)","14"
"kung fu panda (2008)","14"
"a beautiful mind (2001)","14"
"house of d (2004)","14"
"the hangover (2009)","14"
"fever pitch (2005)","14"
"neal cassady (2007)","14"
"no country for old men (2007)","14"
"john q (2002)","14"
"seabiscuit (2003)","14"
"baby mama (2008)","14"
"high fidelity (2000)","14"
"choke (2008)","14"
"bobby jones: stroke of genius (2004)","14"
"legally blonde (2001)","14"
"kill bill: vol. 2 (2004)","14"
"my one and only (2009)","14"
"wonderland (2003)","14"
"the life and death of peter sellers (2004)","14"
"in good company (2004)","14"
"requiem for a dream (2000)","14"
"delirious (2006)","14"
"whatever works (2009)","14"
"my own love song (2010)","14"
"i, robot (2004)","14"
"the replacements (2000)","14"
"revolutionary road (2008)","14"
"the badge (2002)","14"
"the assassination of jesse james by the coward robert ford (2007)","14"
"unknown (2006)","14"
"bottle shock (2008)","14"
"smokin' aces (2006)","14"
"the game plan (2007)","14"
"osmosis jones (2001)","14"
"the anniversary party (2001)","14"
"the hours (2002)","14"
"superbad (2007)","14"
"intolerable cruelty (2003)","14"
"state and main (2000)","14"
"gladiator (2000)","14"
"elizabethtown (2005)","14"
"the bourne supremacy (2004)","14"
"infamous (2006)","14"
"the devil wears prada (2006)","14"
"hellboy ii: the golden army (2008)","14"
"the assassination of richard nixon (2004)","14"
"the toe tactic (2008)","14"
"storytelling (2001)","14"
"matchstick men (2003)","14"
"auto focus (2002)","14"
"the midnight meat train (2008)","14"
"the game of their lives (2005)","14"
"the perfect storm (2000)","14"
"cop out (2010)","14"
"the family man (2000)","14"
"hairspray (2007)","14"
"the baxter (2005)","14"
"the perfect game (2009)","14"
"the contender (2000)","13"
"gardener of eden (2007)","13"
"unforgivable blackness: the rise and fall of jack johnson (2004)","13"
"the chumscrubber (2005)","13"
"mr. & mrs. smith (2005)","13"
"road to perdition (2002)","13"
"i love you, man (2009)","13"
"pretty persuasion (2005)","13"
"prime (2005)","13"
"nobel son (2007)","13"
"white oleander (2002)","13"
"the road to el dorado (2000)","13"
"pollock (2000)","13"
"alpha dog (2006)","13"
"far from heaven (2002)","13"
"death to smoochy (2002)","13"
"the patriot (2000)","13"
"the devil's rejects (2005)","13"
"seraphim falls (2006)","13"
"spun (2002)","13"
"the prestige (2006)","13"
"planet terror (2007)","13"
"50 first dates (2004)","13"
"two for the money (2005)","13"
"the fountain (2006)","13"
"jay and silent bob strike back (2001)","13"
"the italian job (2003)","13"
"the school of rock (2003)","13"
"hoodwinked! (2005)","13"
"kate & leopold (2001)","13"
"the new world (2005)","13"
"cadillac records (2008)","13"
"be kind rewind (2008)","13"
"the matrix revolutions (2003)","13"
"chain of fools (2000)","13"
"flushed away (2006)","13"
"into the wild (2007)","13"
"rush hour 3 (2007)","13"
"holes (2003)","13"
"saw iv (2007)","13"
"confidence (2003)","13"
"21 grams (2003)","13"
"impostor (2001)","13"
"coach carter (2005)","13"
"beerfest (2006)","13"
"american splendor (2003)","13"
"no reservations (2007)","13"
