"eagle eye (2008)","89"
"walk hard: the dewey cox story (2007)","80"
"the simpsons movie (2007)","73"
"runaway jury (2003)","71"
"flags of our fathers (2006)","71"
"spider-man 3 (2007)","70"
"traffic (2000)","69"
"for your consideration (2006)","68"
"new york, i love you (2009)","67"
"grindhouse (2007)","65"
"x-men: the last stand (2006)","64"
"the curious case of benjamin button (2008)","63"
"world trade center (2006)","63"
"the dark knight (2008)","61"
"spider-man 2 (2004)","60"
"the departed (2006)","60"
"harry potter and the order of the phoenix (2007)","59"
"public enemies (2009)","59"
"american gangster (2007)","58"
"catch me if you can (2002)","58"
"transformers (2007)","58"
"ocean's thirteen (2007)","58"
"national treasure: book of secrets (2007)","56"
"sin city (2005)","55"
"the animatrix (2003)","54"
"state of play (2009)","54"
"the soloist (2009)","54"
"run ronnie run (2002)","54"
"the express (2008)","53"
"austin powers in goldmember (2002)","53"
"transformers: revenge of the fallen (2009)","53"
"minority report (2002)","53"
"war of the worlds (2005)","52"
"what just happened (2008)","52"
"harry potter and the chamber of secrets (2002)","51"
"harry potter and the prisoner of azkaban (2004)","51"
"x2 (2003)","51"
"star trek (2009)","51"
"harry potter and the goblet of fire (2005)","51"
"bobby (2006)","49"
"yes man (2008)","49"
"the haunted world of el superbeasto (2009)","49"
"he's just not that into you (2009)","48"
"cars (2006)","48"
"pirates of the caribbean: at world's end (2007)","48"
"pirates of the caribbean: dead man's chest (2006)","48"
"enchanted (2007)","48"
"across the universe (2007)","48"
"invincible (2006)","47"
"the taking of pelham 1 2 3 (2009)","47"
"the terminal (2004)","47"
"syriana (2005)","47"
"the island (2005)","47"
"deja vu (2006)","47"
"harry potter and the half-blood prince (2009)","47"
"the good shepherd (2006)","46"
"i love you phillip morris (2009)","46"
"synecdoche, new york (2008)","46"
"glory road (2006)","46"
"live free or die hard (2007)","46"
"ocean's twelve (2004)","46"
"horton hears a who! (2008)","45"
"changing lanes (2002)","45"
"the manchurian candidate (2004)","45"
"anchorman: the legend of ron burgundy (2004)","45"
"almost famous (2000)","45"
"american pie 2 (2001)","45"
"the aviator (2004)","45"
"cold mountain (2003)","45"
"shrek the third (2007)","45"
"harry potter and the sorcerer's stone (2001)","44"
"charlie wilson's war (2007)","44"
"fun with dick and jane (2005)","43"
