character	cast
9	100000
7	100000
8	100000
5	100000
6	100000
3	100000
4	100000
2	100000
1	100000
10	100000
11	100001
12	100002
13	100002
14	100002
15	100003
16	100004
17	100005
18	100005
19	100006
20	100007
21	100008
22	100008
23	100009
23	100009
29	100010
27	100010
28	100010
25	100010
26	100010
31	100010
30	100010
35	100011
34	100011
33	100011
32	100011
37	100012
36	100012
39	100012
38	100012
42	100013
41	100013
44	100013
43	100013
40	100013
46	100014
45	100014
47	100014
55	100015
62	100015
66	100015
73	100015
75	100015
57	100015
80	100015
64	100015
55	100015
66	100015
81	100015
68	100015
67	100015
79	100015
60	100015
61	100015
62	100015
78	100015
79	100015
71	100015
77	100015
74	100015
75	100015
73	100015
72	100015
71	100015
70	100015
77	100015
81	100015
80	100015
48	100016
49	100016
52	100016
50	100016
51	100016
95	100017
94	100017
88	100018
85	100018
86	100018
28	100018
87	100018
84	100018
83	100018
90	100018
89	100018
93	100018
92	100018
91	100018
97	100019
98	100019
103	100019
102	100019
101	100019
99	100019
100	100019
96	100020
146	100021
145	100021
148	100021
147	100021
158	100021
157	100021
156	100021
155	100021
154	100021
153	100021
152	100021
151	100021
149	100021
150	100021
142	100022
144	100022
143	100022
139	100022
140	100022
141	100022
137	100022
136	100022
138	100022
134	100022
132	100022
133	100022
135	100022
104	100022
108	100022
107	100022
106	100022
105	100022
110	100022
111	100022
109	100022
126	100022
125	100022
124	100022
123	100022
130	100022
131	100022
128	100022
129	100022
127	100022
117	100022
116	100022
118	100022
113	100022
112	100022
115	100022
114	100022
119	100022
120	100022
143	100022
122	100022
168	100023
167	100023
170	100023
169	100023
171	100023
163	100023
166	100023
165	100023
162	100023
160	100023
161	100023
172	100023
173	100023
161	100023
177	100023
174	100023
175	100023
178	100023
171	100023
159	100024
212	100025
213	100025
214	100025
205	100025
204	100025
207	100025
206	100025
209	100025
208	100025
211	100025
210	100025
203	100025
202	100025
200	100025
201	100025
199	100026
197	100026
198	100026
195	100026
196	100026
193	100026
194	100026
192	100026
182	100026
183	100026
184	100026
185	100026
186	100026
187	100026
188	100026
189	100026
190	100026
191	100026
180	100026
181	100026
179	100026
231	100027
230	100027
227	100027
226	100027
229	100027
228	100027
224	100028
225	100028
222	100028
223	100028
218	100028
217	100028
216	100028
215	100028
221	100028
220	100028
219	100028
254	100029
253	100029
252	100029
250	100030
251	100030
248	100030
249	100030
246	100030
247	100030
244	100030
245	100030
242	100030
243	100030
241	100030
240	100030
239	100030
238	100030
237	100030
233	100030
234	100030
235	100030
236	100030
232	100030
261	100031
263	100031
262	100031
265	100031
264	100031
267	100031
266	100031
270	100032
271	100032
272	100032
269	100032
268	100032
255	100033
259	100034
260	100034
258	100034
257	100034
256	100034
14	100035
282	100036
283	100036
275	100037
274	100037
273	100037
281	100038
280	100038
279	100038
278	100038
277	100038
276	100038
293	100039
294	100039
292	100039
295	100040
288	100041
287	100041
289	100041
284	100041
286	100041
285	100041
290	100042
291	100042
317	100043
315	100043
316	100043
313	100043
314	100043
312	100043
311	100043
310	100043
325	100044
324	100044
327	100044
326	100044
323	100044
322	100044
321	100044
319	100044
320	100044
318	100044
301	100045
299	100045
300	100045
297	100045
298	100045
296	100045
306	100045
307	100045
302	100045
303	100045
304	100045
305	100045
308	100046
309	100046
340	100047
339	100048
338	100049
337	100050
336	100050
335	100050
331	100050
332	100050
333	100050
334	100050
329	100050
328	100050
330	100050
368	100051
366	100051
367	100051
364	100051
365	100051
362	100051
363	100051
361	100051
360	100051
359	100052
358	100052
357	100052
353	100052
354	100052
355	100052
356	100052
351	100053
352	100053
350	100053
341	100054
344	100054
345	100054
342	100054
343	100054
347	100054
346	100054
349	100054
348	100054
374	100055
375	100055
373	100056
372	100056
371	100056
370	100057
369	100058
401	100059
395	100060
397	100060
396	100060
399	100060
398	100060
400	100060
393	100061
394	100061
379	100062
380	100062
383	100062
382	100062
385	100062
384	100062
387	100062
386	100062
389	100062
388	100062
381	100062
378	100062
377	100062
376	100062
390	100062
391	100062
392	100062
419	100063
418	100063
417	100063
416	100063
420	100063
421	100063
428	100064
427	100064
46	100064
424	100064
427	100064
426	100064
425	100064
425	100064
429	100065
430	100065
431	100066
432	100066
433	100066
402	100067
404	100067
403	100067
405	100068
409	100069
408	100069
407	100069
408	100069
409	100069
409	100069
412	100069
415	100070
414	100070
413	100070
483	100071
47	100071
482	100071
481	100071
480	100071
485	100072
484	100072
487	100072
486	100072
490	100072
491	100072
488	100072
489	100072
499	100073
500	100073
498	100073
503	100073
501	100073
502	100073
494	100073
495	100073
496	100073
497	100073
492	100073
493	100073
507	100074
505	100074
506	100074
504	100074
436	100075
435	100075
434	100075
439	100076
438	100076
437	100076
442	100076
440	100076
441	100076
443	100077
444	100077
445	100077
446	100077
447	100077
448	100077
449	100077
450	100077
452	100077
451	100077
453	100077
465	100078
466	100078
467	100078
468	100078
473	100078
472	100078
475	100078
474	100078
469	100078
471	100078
470	100078
478	100078
476	100078
477	100078
479	100078
454	100078
457	100078
458	100078
455	100078
456	100078
459	100078
461	100078
460	100078
464	100078
463	100078
462	100078
518	100079
517	100079
527	100079
520	100079
519	100079
522	100079
521	100079
524	100079
523	100079
526	100079
525	100079
528	100079
529	100079
533	100079
532	100079
531	100079
530	100079
535	100079
534	100079
516	100080
308	100081
537	100082
536	100082
539	100082
540	100082
538	100082
542	100082
541	100082
544	100082
543	100082
509	100083
510	100083
511	100083
508	100084
514	100085
515	100085
512	100086
513	100086
575	100087
576	100087
574	100087
578	100087
577	100087
581	100087
580	100087
579	100087
530	100087
582	100087
561	100088
562	100088
563	100088
564	100088
565	100088
566	100088
568	100088
567	100088
570	100088
569	100088
572	100088
571	100088
573	100088
590	100089
589	100089
42	100089
591	100089
592	100089
597	100089
598	100089
595	100089
596	100089
593	100089
594	100089
599	100089
583	100090
584	100090
585	100090
587	100090
586	100090
400	100090
588	100090
546	100091
547	100091
548	100091
549	100091
550	100091
551	100091
545	100092
556	100093
555	100093
560	100093
558	100093
559	100093
557	100093
554	100094
553	100094
552	100094
655	100095
254	100096
593	100096
651	100097
650	100097
652	100097
638	100097
648	100097
649	100097
646	100097
647	100097
642	100097
641	100097
640	100097
639	100097
645	100097
644	100097
643	100097
654	100098
653	100098
629	100099
637	100100
272	100100
630	100100
632	100100
631	100100
634	100100
633	100100
636	100100
635	100100
274	100101
604	100101
605	100101
606	100101
601	100101
602	100101
603	100101
607	100101
608	100101
609	100101
371	100101
199	100101
600	100101
619	100101
612	100101
613	100101
610	100101
611	100101
616	100101
617	100101
613	100101
615	100101
618	100101
584	100101
628	100102
627	100102
620	100102
621	100102
622	100102
623	100102
624	100102
625	100102
599	100102
626	100102
308	100103
727	100104
728	100104
729	100104
730	100104
731	100104
724	100104
726	100104
725	100104
719	100105
720	100105
717	100105
718	100105
721	100105
722	100105
714	100105
715	100105
710	100105
711	100105
712	100105
713	100105
706	100105
707	100105
708	100105
709	100105
716	100105
723	100106
703	100107
704	100107
701	100107
702	100107
700	100107
695	100107
696	100107
697	100107
699	100107
700	100107
705	100108
656	100109
657	100109
658	100109
661	100109
660	100109
659	100109
670	100110
671	100110
672	100110
673	100110
668	100110
669	100110
688	100110
667	100110
664	100110
665	100110
663	100110
662	100110
693	100110
694	100110
683	100110
687	100110
686	100110
685	100110
684	100110
691	100110
690	100110
689	100110
688	100110
692	100110
675	100110
674	100110
677	100110
676	100110
682	100110
681	100110
679	100110
678	100110
604	100110
680	100110
777	100111
776	100111
768	100112
771	100112
769	100112
770	100112
775	100112
774	100112
773	100112
775	100112
767	100113
756	100114
757	100114
755	100114
762	100114
759	100114
758	100114
761	100114
760	100114
763	100114
764	100114
308	100114
765	100114
766	100114
754	100115
753	100116
750	100116
749	100116
748	100116
747	100116
752	100116
751	100116
734	100117
