movie	actor
2121	1583
1491	1352
651	775
1264	1439
1820	1250
1716	995
631	1655
267	1160
515	1495
901	176
490	466
785	632
293	455
266	628
1898	302
506	148
524	1567
1844	1434
2600	268
220	596
2741	499
1523	173
713	570
2645	1740
888	1366
1478	1303
301	1096
711	536
856	1699
409	710
1966	1285
2837	1144
1057	998
1809	270
1002	716
703	961
1441	1452
1291	1286
727	585
1635	1292
812	1493
773	694
434	1424
807	1304
1313	597
1576	486
2099	1488
364	1353
584	350
345	706
1641	1937
2450	635
1426	403
2720	1015
1195	1488
2145	1411
1249	649
798	1287
639	613
2576	1506
1013	1919
170	857
22	109
586	436
756	211
130	707
2821	229
2326	1393
2684	1377
1813	787
815	1457
2034	1000
237	1043
265	1153
1464	1716
830	1382
2388	941
2144	610
22	103
1977	1508
2616	1213
2335	1277
2586	220
773	165
2310	1033
1948	1286
2383	1657
631	363
1803	836
1327	1110
2456	1381
662	1755
2606	999
294	1255
2532	487
515	1604
1752	1235
2172	1256
1732	868
1976	371
240	1051
1569	800
2758	59
266	892
2303	378
2818	474
2570	780
74	33
1518	1633
2647	9
259	160
1844	1216
1660	250
1981	40
923	1652
1954	1880
2169	829
1002	1489
580	1189
1772	432
1190	1847
415	1311
2726	1570
2543	1338
2592	1610
170	682
1815	1640
1831	929
1310	501
1876	168
2818	1435
2127	1718
248	1092
26	184
2219	413
966	1409
493	1423
2524	490
722	183
2849	229
2601	1527
310	1295
1715	649
293	1249
763	652
2574	305
1378	545
1905	345
1379	1882
2167	1276
1706	392
854	935
2039	1775
512	327
1796	1577
17	56
2328	1223
1513	390
606	1251
1801	51
2682	529
1898	378
485	734
961	1152
650	1099
2597	1939
1928	768
717	1565
1361	195
679	581
467	1532
2173	446
2209	478
773	640
2067	1093
26	170
2547	1940
2091	1146
243	1071
2030	151
1280	1685
2779	820
55	343
963	127
2189	1963
22	115
1119	634
1695	1837
2686	411
1449	1517
2706	391
22	132
765	1549
658	1283
1938	648
1166	1945
1078	1889
2645	1067
1788	1675
792	1334
1540	1857
2276	1709
422	1291
792	1819
1150	1417
1060	675
894	1569
2566	554
151	789
1251	1802
1524	693
379	589
2183	1579
1029	238
570	1215
470	1307
580	6
2615	559
2468	1856
608	543
2486	222
1984	1101
726	367
1409	713
1934	1864
594	219
61	370
2574	905
877	128
1513	1199
2664	1363
1757	476
436	1494
2121	1504
1303	1571
2538	1255
2703	1500
1615	818
489	1565
327	1266
2210	1157
1011	1917
2122	979
1610	1525
642	273
1540	1374
2363	1546
2739	1888
92	504
1551	1010
2656	1866
1850	1808
428	1486
475	551
1086	1153
2592	1196
1753	691
105	595
2810	963
1402	1381
1760	1570
2494	735
244	1077
27	194
2489	70
422	1475
2672	1677
801	1466
414	1324
1882	107
1113	1572
440	1173
2443	1199
1976	777
642	1089
2370	1601
1838	1431
306	112
2476	627
256	1121
2384	1190
1391	1126
1604	49
2176	211
2388	1286
2794	1206
108	631
2675	658
1664	821
2477	1706
1547	135
1985	746
2591	326
2292	147
670	1137
2006	437
1870	1173
2231	923
2607	395
1985	1828
204	923
327	1319
1388	954
2715	213
2581	988
1124	502
2415	243
1647	1664
17	63
670	1760
1910	1663
261	1132
1670	263
1126	1181
2726	1813
2321	1021
452	1101
1885	1141
1792	1483
1990	572
931	1151
2597	1222
1223	548
2109	1532
76	439
1369	359
219	989
2037	1363
937	567
728	1782
1085	893
1192	1605
1491	1849
1027	688
1319	1308
181	879
2823	758
1106	1063
2231	1825
2258	1568
2521	885
1297	1782
821	831
964	1004
727	1057
324	1318
1326	1965
2714	320
2596	667
1913	518
615	1436
2694	720
2024	775
47	307
804	472
1280	429
2567	1199
678	1670
2542	922
251	1108
131	719
2100	525
414	718
330	1359
2806	1003
1070	1338
2239	12
16	49
2710	619
479	1543
957	1125
207	940
1677	1376
579	273
1183	1043
1017	551
105	611
1857	366
499	1313
1427	500
2665	1425
2586	945
261	1139
2127	1077
2379	1799
1820	36
330	1357
2602	352
1100	984
2524	204
2247	1083
1048	216
1377	1186
1414	491
439	584
1862	1515
894	537
1749	1153
1819	388
506	149
2266	1371
908	1182
2122	963
1356	1784
924	1144
2849	1628
2535	1172
28	207
1705	30
2802	1545
2530	1543
664	663
1654	1432
2648	1963
2479	187
2212	1432
820	544
356	561
875	909
2400	1587
1692	264
2368	527
2247	198
1325	1470
1449	652
2486	637
444	1502
2066	1242
2588	1653
1461	1685
1300	815
1864	1689
2516	1533
570	1510
1570	1641
627	1381
1478	1914
2818	106
647	1246
2133	605
1809	8
2056	90
1334	521
22	104
2378	324
2836	677
293	1250
268	1084
1559	1214
2747	668
2079	183
1403	1692
1615	550
982	1550
748	1231
141	175
124	491
611	1709
2818	576
2686	1529
1923	1906
1900	74
1471	1157
1757	230
2041	1624
823	396
416	1293
251	1109
1579	1953
1158	51
1311	948
1927	943
313	1303
2309	624
655	1240
1673	1209
270	70
34	250
2280	1853
896	1057
1782	389
95	534
275	1003
40	273
1757	1904
1479	1400
607	593
2679	1945
1831	1668
1784	1699
367	1239
464	1530
2366	1841
1569	1095
2102	1603
1778	1680
2532	823
2258	679
1555	1910
2716	585
291	1194
2708	319
2702	797
1625	294
1157	387
2258	1032
989	154
143	581
1289	898
1357	1792
96	39
1588	681
2032	1995
2800	1292
2593	730
374	1408
2643	1313
1579	1212
2772	922
1165	475
908	1029
2412	248
60	30
96	553
1233	1249
1223	1264
2065	55
1139	1254
447	1163
1833	1755
2111	1858
1570	232
35	254
2075	1023
2607	1296
1067	1350
980	1257
1672	1115
1948	1513
2326	202
423	1477
728	1069
2309	1347
2528	1855
650	1173
2777	853
1588	436
1066	1550
1535	1341
2017	514
1545	311
1991	1784
2089	1111
2103	540
2769	10
2468	894
2621	1858
572	1651
133	60
1553	854
1253	1594
1411	1963
767	1780
580	251
349	576
2366	746
527	1620
971	146
1489	140
1186	1753
1238	454
2702	1173
1573	280
794	485
325	148
2424	1537
2245	1804
1464	817
576	98
281	1219
1613	1660
401	1452
1815	181
1481	1794
1084	1176
915	701
1218	1427
