movie	character
2357	3061
451	2471
1670	8304
1978	9776
2209	6351
1459	7240
2472	11859
1461	7255
270	1575
1625	8121
2799	13435
840	1378
1223	6121
2603	12545
1194	5999
1761	8669
1821	8998
577	3041
1465	7289
2579	12397
1912	3815
1464	7284
1704	812
2648	611
2524	12049
2246	11006
2727	13089
2515	884
1966	9718
1944	2134
1360	6802
2468	11841
1155	5838
105	690
2078	10272
1326	3342
1760	8652
1981	9790
1554	7780
1110	5677
2078	10236
1981	530
2707	12995
2570	3076
234	1337
2486	2134
993	5045
586	1377
1130	982
1430	7074
1512	6631
1524	7623
1101	5622
1329	6692
291	1708
1319	6609
247	1434
414	1920
890	4547
1613	8080
1551	7766
1626	8128
2109	10368
1415	7024
434	2379
1672	8314
1029	5185
705	3639
147	923
26	194
1294	4430
1411	5227
2280	9819
1838	9078
267	679
2312	11236
25	171
963	4904
259	1500
792	4105
2539	12157
2800	13438
114	747
1403	6952
120	780
2144	10553
1203	6029
1253	6278
246	1420
933	4785
104	657
2821	13537
2824	13565
1236	6191
1415	7019
2526	12057
2321	11288
960	4860
2635	12718
2684	3343
1366	6833
2797	13424
2157	10590
1808	2405
1813	8921
1993	5972
1342	6740
978	4787
2171	10675
413	2282
648	308
280	1663
1277	6403
890	4543
253	1472
1327	6670
1907	9437
240	1361
309	1832
964	4911
1302	6538
1918	9474
1409	443
2032	10025
2592	12478
2587	12442
1301	6537
843	4359
55	363
2779	13340
2172	1413
1133	5766
961	4868
1900	1018
2333	11347
1058	5366
2055	10125
1452	7207
1695	8387
325	1913
466	290
2015	308
30	242
1124	5748
349	2028
100	640
1449	2894
842	2842
1255	6296
2463	11818
2014	9939
16	51
1352	3061
2351	11402
471	2561
2256	11047
1641	8202
966	4918
2054	10115
515	2808
1216	6067
1254	6285
1957	9668
1980	9786
1361	6810
1642	6316
1512	7536
600	3161
1263	6340
1808	1554
594	3136
1085	5554
1481	7378
1051	5323
2078	10276
310	1851
2775	13320
963	4887
1216	6068
917	4714
817	4246
843	4360
670	3515
1932	182
922	4741
1664	8287
2133	5229
1694	8385
1062	5394
826	4274
1894	9332
2247	11018
2369	11471
1529	7649
1601	8016
2643	3414
2560	12286
2438	11740
2837	13618
2193	1161
1029	5186
1556	7797
1157	5846
288	1694
30	248
2212	10861
2180	599
740	3832
300	1779
468	2541
96	602
424	2346
91	556
1207	6055
1644	8207
1261	6328
755	3883
2489	11948
131	825
2755	13207
570	3006
1288	1692
1918	9482
1976	9766
246	1425
576	217
555	445
401	2240
1451	7202
2032	10029
2529	12074
279	1653
2267	11084
1406	6967
688	3588
1511	7517
2456	11795
2135	10525
976	4960
1185	5967
2554	12257
1760	2958
2139	10535
1840	9096
1894	5688
2845	13631
771	3979
93	581
146	914
2127	6112
2670	12869
1041	5245
796	4151
971	911
1997	9887
2166	10642
2326	11302
706	3649
36	273
785	4057
140	866
1782	8741
220	161
1860	9178
760	3905
1931	9542
590	1321
1753	8615
1471	5757
2373	11490
121	791
2840	13623
1639	8186
744	3852
2547	6869
464	47
2582	400
898	2277
1044	5281
332	1547
794	4123
1876	1558
1948	9642
1342	6747
2757	13218
875	2425
1513	7546
1436	7106
2713	3450
291	1729
1377	5915
174	863
493	2666
1379	2909
2735	13114
2021	9975
1111	28
2330	4580
39	283
2576	12382
1291	6478
2479	11907
1086	404
2824	13555
2769	13289
414	2293
1589	1705
367	2094
1990	9843
516	2815
1108	5660
1558	7821
1684	8358
792	4101
1937	9584
1409	6980
60	380
2366	4113
2149	4052
1952	9659
610	3233
845	4365
240	1355
261	1519
1876	332
2800	13442
2784	851
1183	20
794	4124
2836	13607
387	2162
1478	7354
2245	10972
1258	5828
513	2788
26	189
1040	1780
1999	2259
2123	6766
1385	6897
1361	6812
1566	7865
2596	12493
96	613
2779	13334
1509	7512
642	3401
392	2200
640	3390
1418	47
1518	7581
2668	6349
2706	12991
1474	7333
1600	8008
1610	8069
1848	3047
1079	5478
1684	8354
2568	7778
2270	8742
2212	10868
212	1209
262	987
2539	6410
2301	11180
2514	911
1483	7386
2078	10274
1723	8523
2808	13461
2715	13021
