movie	director
2790	2381
545	567
1731	351
1948	1752
2068	1841
2080	1849
2818	367
2295	2021
1360	1304
2739	211
762	780
1684	1276
602	625
1977	1771
1884	61
164	170
1856	1563
2299	2025
2416	2113
1096	1090
416	431
495	513
207	214
719	740
1059	1061
2323	2049
642	668
2524	807
1910	1730
1941	1679
1389	1326
1109	1101
2849	411
1226	1197
2450	2141
238	246
1195	1177
1989	520
1955	1759
51	52
78	79
625	651
2650	2283
795	810
1438	345
555	577
2646	2280
1331	1185
115	118
463	477
1810	1655
755	774
693	715
1567	1472
1111	1103
928	942
1662	1546
839	854
1891	1720
2021	1806
1537	1450
2636	2275
1332	1279
270	17
1899	1724
38	40
2607	95
1390	1327
159	164
1826	1216
520	538
2191	1945
431	447
1404	1339
796	811
1372	1311
878	891
1021	1024
1783	1636
714	451
2686	2305
2689	2308
231	239
2108	1879
1340	1286
2375	2085
126	131
670	510
1762	1620
1647	1429
1710	1586
2268	1205
1715	1591
1461	167
2641	2278
41	43
2066	1840
1493	923
1839	1675
1664	11
2511	2183
2	2
1646	1532
662	686
1410	1344
1540	1452
701	723
1160	1147
88	90
243	252
734	753
1368	1308
912	924
934	947
2124	1890
756	775
637	664
2293	2020
175	182
1294	387
192	198
2213	1961
1886	1718
1613	1507
2271	1491
1253	608
1550	110
1449	379
2704	2322
1944	1748
2463	594
2162	633
2272	2002
1345	1291
387	406
883	897
636	663
166	172
966	984
1366	801
1867	1695
140	144
1478	1395
1739	575
2158	1923
2273	1408
2638	1288
1030	1034
1606	1501
2174	1934
2179	1937
1572	321
2343	1899
1530	1442
2743	2348
1296	1254
116	119
711	733
766	783
423	439
244	256
1025	1028
910	921
1236	1207
2666	2289
1659	1543
1663	1547
970	987
1676	894
2254	1987
1729	634
2769	1812
1802	1648
854	866
440	193
2564	2223
76	77
2625	2265
59	60
1618	1511
327	343
687	710
1511	1424
2679	1806
2115	1402
1689	1568
2600	437
1142	1132
995	195
217	224
326	342
1861	1691
216	223
36	38
830	846
2620	2264
2510	1507
58	59
15	15
146	150
582	606
2722	196
1723	618
496	514
731	750
2165	1928
1295	1252
2513	1826
2065	325
1245	1216
35	37
617	643
2540	2207
1858	1689
2813	412
