roledby	character
12086	9804
117	116
11611	2126
5610	1752
3684	3186
15935	12656
12127	9823
13381	9127
2292	2065
14859	3815
11309	9226
16206	1990
4673	3996
3835	3316
7115	5988
6228	5275
15090	9082
12304	9948
1301	1210
9473	7830
12075	9796
13706	7309
14872	1587
14134	4887
2266	1613
14433	806
6058	681
16441	13006
2114	1923
3542	3085
3968	3425
11837	9624
5292	2842
14055	11264
7863	250
13261	10679
12887	10398
7012	1163
13039	10506
13452	10827
14479	11574
13277	10692
3128	2759
7347	3018
2379	1264
733	701
14495	11583
16197	12835
15806	12550
3614	3134
3846	3326
1854	1692
5905	5017
223	215
7529	6330
11465	2321
5249	215
5192	4439
9936	391
7571	6359
5116	2078
13917	11166
11426	9304
16337	12935
4315	3703
2106	1915
364	355
11914	9678
12716	10274
14216	20
3386	2961
8850	610
4453	3823
5254	4489
14931	11899
9459	7816
2862	2522
7630	6410
14825	11828
14130	5518
13913	11163
1740	1586
12811	3434
16064	12747
14217	11387
16346	12943
15035	1097
12615	10194
11807	9595
15136	12025
9465	7822
8192	6837
14627	11675
8537	7095
9380	7766
14932	11899
6498	5498
9636	6409
15276	12141
16252	12878
13294	10706
3341	704
245	237
11808	9596
17131	13525
12812	3434
2590	1910
6257	806
14829	11831
7032	3792
14933	11899
4492	3847
12141	9837
13084	10541
16271	12893
3494	3047
6501	5501
3342	704
12483	10089
6204	5256
9526	7869
9595	7915
8910	7386
7013	2151
6825	5761
9850	6530
14345	11471
14773	11788
4242	3643
13458	10832
16415	12982
13020	2253
4678	4000
2521	2254
9667	7958
12684	10248
3343	704
13473	10845
5911	5023
16310	12550
16448	7178
6437	5451
7580	6367
3223	257
3275	2887
2822	2492
2065	1883
9729	8008
10100	8300
7706	6469
10090	7172
9391	7777
11797	6661
10524	8618
6050	681
7740	6501
1825	1667
6939	5847
11452	1083
11105	9075
15349	12200
15728	2405
6903	611
10999	8994
143	106
1726	69
12123	4132
2893	2548
11671	9491
12310	9953
13346	10754
814	776
6269	5306
1232	1142
10664	8722
6649	5631
3122	2755
2056	1876
9167	7592
2996	2637
6	6
4667	3990
8504	7076
10476	8584
10932	8932
12345	9977
138	134
11395	9280
15190	12069
2206	1994
15476	12292
13765	679
3661	3168
6522	5522
14910	11885
4550	3890
8923	6112
379	370
16810	13273
13752	11058
3120	2753
1560	1444
6790	3853
490	479
2797	2474
5777	4914
10256	2909
17204	13583
6721	1599
10709	8756
9271	7680
12054	9780
15033	11972
7924	6634
1299	1208
9869	8122
5789	4926
2601	2307
1593	1474
8154	6811
1284	1194
7044	5933
15322	12179
9900	8141
5872	1413
15122	4504
4961	4248
15257	7590
113	112
3207	2830
1543	1430
8544	2241
8693	4015
14692	11725
5922	5033
11795	9587
16540	13075
15542	12344
5020	4303
2857	2518
6586	5577
7849	2818
4655	3979
8529	7088
15154	12038
12408	10029
4903	4200
8273	6898
4036	3469
546	534
14247	11406
1088	1023
9809	8078
7095	5971
7211	6066
565	552
7658	6429
5101	4360
16387	12965
11895	9664
14172	626
6159	5218
2508	2247
1296	1205
17013	13441
2349	2109
14443	2594
13665	10996
3445	3008
2792	2470
15768	12520
12569	1190
3776	3262
2850	2512
8017	6712
5542	4720
7190	6047
13299	10710
2657	2353
10948	8947
13301	10712
10753	6050
4397	3773
3137	2768
8636	7175
10704	8752
4014	3454
3988	3439
14199	11374
5768	4906
4046	3479
2092	1903
8462	7046
4679	4001
3672	3176
8808	7309
10587	8668
13744	11051
1072	1007
11428	9306
15380	6857
5798	4931
671	647
4611	3943
9545	7884
14251	11409
4486	3842
1328	1234
3930	3391
16039	12729
4451	3821
10270	3231
933	890
6861	5788
8269	6894
9866	7214
11461	1924
3419	2937
1038	977
1795	1638
13691	11015
6086	2343
11183	9127
15634	12412
11212	7234
16001	5809
3707	1318
3262	2879
7306	3350
6337	5369
16861	13314
15505	12318
1062	998
13037	10504
5061	4336
15719	12483
8653	7187
14777	11792
15770	972
14050	11260
15984	972
1548	1435
7557	1780
9488	7844
2676	9
4200	3607
10814	8840
14498	1257
6080	584
17018	8172
3435	2999
8088	6765
1320	1228
7540	6339
7358	6188
6397	5422
10332	8481
15470	12286
3288	2898
8302	6921
4193	3600
7212	1987
10909	8912
233	225
4932	4224
3798	3283
8903	187
13286	10699
12611	318
13879	11144
4947	4238
16309	12549
10489	8589
13031	5780
2014	1839
5572	4747
4422	3794
16457	13014
2162	1963
13342	10750
6843	46
11695	9509
13802	11094
12059	9195
2355	2114
14592	11649
78	78
7453	6264
12548	10142
4270	3666
7512	6317
14616	257
285	277
11972	9720
14098	11299
5564	4739
8429	7018
3875	3352
15586	12374
3111	2744
15126	911
13823	11111
1370	1275
8173	6826
9413	397
4800	1028
15321	5790
9254	7666
11364	9255
11457	3388
844	804
13427	10816
15362	12209
10774	4362
10691	8743
2840	1673
9554	7891
10517	8612
13547	10903
5854	599
1948	1778
13334	10742
12406	10027
11597	308
4699	4018
3920	3383
7923	6633
13377	10782
16514	13055
3269	2087
5773	4910
4887	4185
7636	6415
7240	6091
10678	8728
11454	9329
16874	13325
13430	704
3979	3433
7929	6639
12194	9872
15826	12566
16927	851
1693	1554
15378	6867
627	607
7579	6366
16399	12972
520	508
5470	4662
2031	1856
7005	5905
16356	12948
5377	308
9220	7638
13226	2410
6446	5458
6040	5128
13016	10494
8853	7339
962	918
9311	7712
12189	14
8652	7186
1206	1118
3609	3131
12835	10360
6459	5466
13432	704
15388	12226
3278	2890
8070	1207
2229	2011
3362	2945
12138	9834
16840	13296
15985	594
3337	704
14157	328
485	474
7070	5952
14095	11296
10790	8820
13089	10545
3184	2810
13437	3541
15750	12503
2836	2502
9778	8054
3166	2795
15203	12078
2842	2506
6561	5558
5958	5060
10614	8692
6327	5361
8390	6993
14391	4809
13601	10945
3336	704
7161	20
9105	1040
15469	927
15390	7797
9992	3625
14417	11526
6361	5389
9485	7842
16893	13343
8146	6804
13616	1141
1971	1797
13411	10801
16500	2891
8801	7306
3339	704
1218	1130
9620	4361
9525	7868
8349	6958
4205	3612
6969	5872
14025	11240
11273	9194
11083	9062
257	249
5781	4918
10658	5518
5978	5076
2735	2418
16796	7468
4496	3851
4886	4184
9308	7709
16417	12983
2669	2364
11298	9217
15081	4119
7423	6243
3914	3377
10560	524
8828	300
8492	7065
16342	4203
14834	8588
1214	1126
2654	2351
14425	11531
5782	4919
11299	9218
3334	704
13687	11014
14803	11812
7858	5477
5943	5049
10957	8956
11468	579
13079	10536
8471	7053
16308	3781
6134	5197
6555	5553
15690	12455
16982	11505
6380	5407
10620	7959
3461	3020
14609	11664
2753	2435
16844	13299
10469	8581
12513	10110
17111	2634
10584	8665
14838	1039
