starring	actor
13545	1559
7153	180
70	65
8107	620
1094	719
7236	868
6757	466
14215	956
1832	289
1982	679
11774	114
14710	721
990	796
50	49
506	7
9729	1540
13806	849
3295	807
9831	741
16167	1920
8448	1263
693	546
1022	644
10031	1164
11089	1298
3866	671
11990	40
12975	1078
53	52
16347	1836
11867	1286
3474	1658
9021	546
16568	1061
15773	252
12426	321
15694	1231
6991	1199
11062	1754
8901	571
16666	35
10049	1483
15631	391
6467	432
10173	868
12567	30
9046	1289
5182	1156
11502	1265
16450	134
8199	1658
7005	435
8032	293
13865	1198
962	778
12667	961
11884	1188
13964	177
5138	1277
13274	1659
6954	1654
12254	1734
10172	868
7125	316
13103	839
6091	384
4598	1546
13556	1125
17127	438
5697	1228
16584	1842
12717	1984
7148	319
14954	1195
16560	1015
10857	714
997	802
7690	898
14910	1761
15446	309
11626	1731
11877	1857
5270	346
7295	179
15021	69
3422	1254
17137	373
10032	1332
6442	530
15169	461
322	293
13132	398
13967	1335
16892	636
15726	1743
16031	980
5773	1737
7216	1025
9723	1849
12014	1825
12032	1958
14086	1768
5631	1476
6794	1382
3201	700
2861	101
4024	923
2460	1439
9041	1703
13558	1125
1428	1030
4479	725
806	674
5323	73
7611	1598
11466	331
2801	554
602	295
16213	1371
1597	454
8693	835
3275	809
5483	1669
4569	1341
16101	1047
13111	95
8638	866
11289	1578
5245	1343
599	522
7052	457
4876	1366
14868	1282
6653	1308
6760	230
4679	164
241	222
11861	1807
14755	1992
6860	62
4565	798
5882	1545
8961	1184
11952	983
967	782
14722	1114
16540	385
3000	1568
69	64
4730	1273
8800	873
13044	1393
9116	898
10251	815
13922	1447
10217	1837
13501	825
3964	1743
2548	906
13497	664
13377	18
10767	1889
8028	1906
187	170
6549	189
5808	1649
1375	1001
4104	1648
963	779
13480	1966
10233	404
8295	1298
9463	118
14067	1399
7312	1687
10970	1369
15210	1210
12669	1152
155	141
8822	69
8162	195
14980	1707
6514	1707
11589	1059
4594	1547
10165	37
2619	1293
13405	911
16314	1684
9385	321
13699	1083
5709	1902
10061	1276
4967	544
9581	1280
12668	1152
3099	1313
15993	1758
13946	714
4550	1378
6410	1352
8451	1933
