actor	character
825	967
342	968
643	959
1089	1432
747	960
1711	6253
644	961
1257	6254
820	962
1710	6255
1694	994
821	963
822	964
973	11319
823	965
1936	11320
824	966
1273	11325
1846	6261
1454	11324
852	6260
639	10397
1388	4887
1964	11323
594	6257
234	11322
407	4530
1356	6256
1116	11321
713	4529
1464	6259
1304	5518
658	4528
1802	6258
437	46
714	4527
550	1097
1097	4526
663	4525
602	2382
1817	4524
832	978
751	972
1638	6264
391	973
288	6265
827	970
1087	6263
828	971
1914	4238
1430	11312
830	976
795	11313
831	977
397	6262
645	2506
829	974
1076	3854
280	975
648	5915
974	7076
891	11316
1689	7077
169	11318
730	1906
1991	11317
1511	6270
1294	1908
1014	584
1759	4537
826	969
1594	6269
96	7073
1366	4536
1118	6268
361	7074
1223	11315
1223	6267
876	1899
1279	11314
1373	6266
1605	7075
641	3244
391	4534
202	397
464	4535
534	161
1004	7078
823	4531
1324	1910
176	4533
1877	4532
246	928
198	984
749	985
1596	11333
836	986
1213	6271
78	987
1293	6272
15	371
648	6273
782	1912
537	981
1848	6274
834	982
1876	6275
835	983
826	6276
1519	11338
1901	6278
1327	1660
752	11337
928	6277
718	1915
16	11336
833	980
581	6280
1379	2302
97	11335
1255	4545
719	979
641	6279
854	7079
684	11341
1325	7081
1999	11340
1807	7082
848	328
1328	7080
1534	11339
1294	1918
1704	4540
73	4539
751	4538
432	7083
1390	1011
1702	11334
1182	4544
1871	5828
1575	4543
1355	4542
1240	4541
1561	4546
1291	4547
840	995
757	6282
1932	11326
330	6283
839	994
253	6281
507	992
841	3049
838	993
492	1874
242	990
1498	6284
730	1921
837	991
1067	6285
1191	1920
399	11328
507	641
1950	7084
1476	11327
264	989
164	161
210	7085
336	11330
677	988
1813	599
9	287
942	11329
1798	6286
1503	2346
1357	11331
367	7086
416	4580
402	7087
40	11332
527	593
585	4361
477	7088
829	4548
1574	1018
1577	4550
985	4549
484	4551
1188	737
231	3542
330	4553
914	4552
154	6292
155	6291
155	6294
1713	6293
155	6288
160	6287
1884	6290
164	6289
1746	4556
889	5476
1617	4555
1323	5477
1878	4554
1081	5478
1821	5479
131	5474
313	5475
1052	4562
1624	4560
654	2825
1256	4561
700	72
417	909
718	2826
89	679
1500	4559
691	2827
146	5480
742	4557
1611	2828
1522	5482
77	4558
184	2829
1003	5481
1077	2243
1101	2830
1080	2831
1184	2832
1688	6295
1128	6296
1771	6305
1966	6304
1383	6303
1643	6302
611	6301
529	6300
1131	6299
1573	6298
794	4564
1461	5488
1749	6297
415	4563
931	5489
1879	4218
1628	5486
1738	4565
1078	5487
1384	5484
1934	5485
1933	5483
537	4570
416	2834
1569	715
1488	2835
1612	2833
302	4566
1385	2838
1847	4567
305	2839
739	5491
192	4568
1362	2836
355	909
922	4569
681	2837
444	5490
989	2841
28	2840
836	909
1390	6306
875	1826
807	944
1202	11307
412	943
1180	11306
809	287
1270	11305
808	945
100	11308
805	942
1880	4571
1038	5492
1210	5493
1693	3724
866	5494
1430	1924
811	946
1160	2247
932	4574
810	537
1170	5495
1841	4573
812	948
1502	5496
67	4572
402	947
1152	5497
316	4577
1615	2844
1427	5499
1028	4578
1616	2845
1152	5498
892	4575
1617	2846
579	4576
1477	2847
1613	2492
1614	2842
1059	4579
60	2843
143	257
1221	11309
1633	11311
505	2848
1968	911
242	2849
481	11310
642	541
816	955
815	954
814	953
813	952
234	951
315	950
152	949
652	2850
719	4581
1831	4580
1264	4583
84	4582
819	958
1603	4585
818	957
1311	4584
817	956
1881	4586
629	2857
1881	308
1620	2858
746	4587
1619	2855
1028	4588
1246	2856
788	2853
978	2854
1618	2851
1567	2852
548	11301
1343	11302
542	535
1393	11303
1530	2859
1493	11304
1969	12437
1541	12438
718	12436
982	8921
1907	12434
1127	7125
782	12435
1575	7126
1002	5820
569	12433
1763	5452
492	5453
1111	5450
1895	5451
369	4595
1338	5448
902	2891
369	5449
769	5446
1044	4596
1033	5447
749	4592
387	2228
1089	4593
485	5445
1057	4594
448	850
566	4589
747	4590
481	4591
1240	7123
836	7122
702	7124
540	125
1613	2151
1150	863
1684	12432
945	12431
572	7121
220	12430
1073	2087
1141	12426
885	12427
139	3675
1079	12428
1762	12429
1064	57
878	6348
1271	7135
681	12425
346	7136
1706	3692
1539	5459
1136	3693
1084	5460
336	5461
779	3696
658	5456
599	3697
159	2394
89	2277
570	3694
1104	5457
1142	863
116	3695
388	5458
297	1410
1605	5454
873	4603
1872	4601
1526	4602
1291	5455
369	4599
1882	4600
427	4597
1057	4598
681	7134
86	2375
1105	7133
645	7132
645	7131
938	12422
645	7130
1639	12421
1977	7129
595	12424
671	7128
1191	12423
1357	7127
505	12449
819	7146
834	12450
1613	4203
512	1411
404	336
80	3705
474	12453
142	3706
1490	12451
772	2841
1185	12452
1584	3701
145	5465
977	3702
778	4204
977	3703
544	5463
883	3704
225	5464
1267	12448
763	3698
1584	3699
913	2967
284	3700
1931	5466
1549	863
1295	937
1847	2937
1067	7137
457	5462
756	7139
53	7138
1653	12447
1089	7141
1768	12446
1271	7140
1978	7143
1821	7142
785	7145
645	7144
1666	12441
1078	4218
1972	12442
1712	721
363	1028
337	12443
1764	12444
1052	3715
461	12445
413	3716
776	3713
1257	1239
1664	3714
1932	182
891	3711
432	5471
1512	3712
1889	5472
1779	3709
131	5473
1780	3710
1565	3707
1185	3708
1625	5467
733	5468
1046	250
793	5470
1909	5469
1252	972
1805	12439
421	12440
1957	6558
1251	11348
277	626
1744	11349
683	6229
3	6230
824	11354
243	6227
631	7096
1242	11355
406	6228
908	7095
1475	6225
153	6226
500	7097
1408	11350
85	6223
159	7092
1021	11351
1812	6224
1913	7091
894	11352
1726	6222
325	7094
1171	11353
1048	679
1774	7093
1591	3932
1975	7089
1493	7090
1493	11343
587	11344
1377	5426
1844	12456
41	12455
641	11342
471	5427
1359	302
1512	6239
1353	695
1547	5425
1652	12462
1951	8900
785	6235
835	12461
807	6236
501	12464
648	11347
188	6237
1268	7103
764	12463
397	3336
581	6238
727	7102
631	12458
1775	11346
649	6232
390	7101
1895	12457
636	6233
1225	7100
271	12460
1634	7463
571	6234
1530	7099
1231	12459
1630	11345
941	308
1148	2241
1194	7098
833	1987
586	6231
1022	880
590	4178
1733	12454
1377	5430
1501	5429
1984	11366
624	5428
1821	11367
1695	4162
942	5432
241	11368
650	5431
1709	11369
920	308
657	11370
916	3666
616	11371
1882	616
763	2236
1656	11372
1126	6244
1986	7108
558	11373
270	5434
118	6242
179	3681
618	11374
1285	5433
113	6243
1133	7109
1031	6247
1684	6248
1943	7110
1539	6245
412	6246
171	7104
930	6241
1682	4021
1703	6240
1081	7105
282	7106
408	7107
942	5437
1989	11356
509	5436
597	5439
103	5438
1666	11359
1930	5441
889	11360
807	5440
431	11357
440	5443
348	11358
1308	5442
1081	11363
717	3932
592	7120
936	11364
1270	5444
1408	6249
1114	7119
1904	11361
558	1417
1227	7118
733	11362
291	6250
1681	7117
636	6251
436	6252
1277	11365
1086	1421
1114	7111
1987	7112
1451	4464
657	7115
177	7116
649	1424
999	7113
225	1423
394	7114
1855	5435
219	3659
708	972
1746	3661
260	3660
707	3658
1364	11091
1958	1159
129	8742
563	12966
358	12965
1837	12964
1471	12963
1153	3665
20	12962
377	862
1955	12961
540	1952
1179	3662
536	704
917	3663
1600	3664
835	3651
56	3650
1760	3649
1576	3648
313	11085
1756	11086
388	903
1491	11084
656	11088
538	11087
365	723
159	12971
223	1660
408	12970
1926	11090
1535	12972
316	2206
820	3593
1117	11089
1554	12969
1334	1938
186	2405
1406	3656
1721	3657
489	3654
1013	3655
1500	12968
1761	3652
600	12967
794	3653
1093	3673
1143	3675
1777	3674
213	1031
1292	3677
757	9254
1140	3676
1583	12473
21	10192
441	1924
1167	7959
424	10191
1483	3678
1578	12472
13	10190
1610	12471
1481	10189
1196	12470
1264	10188
1065	12469
936	10187
1521	12468
792	10186
1964	12467
492	10185
468	12466
326	12465
1505	12474
1152	5508
1427	5509
1617	5506
921	5507
1537	3679
871	5504
785	3680
1179	5505
1110	3681
1397	5502
1377	5503
1916	5500
1152	5501
1164	3667
1307	3666
145	12483
1767	3669
1032	3668
730	12480
1011	12479
1733	12482
84	12481
968	12476
588	12475
1930	12478
897	12477
1450	12484
1756	11059
1543	3672
701	3
469	3670
1236	3671
219	12487
1281	11059
1384	537
32	12395
714	3189
235	5315
885	12485
1485	11061
955	10199
496	12486
908	11060
1755	2344
1983	2405
1102	1043
1974	10202
1177	12489
885	11062
465	10203
1347	12937
1743	12488
152	10200
823	12936
1176	3381
1215	11063
461	10201
1714	3935
995	10204
1772	3625
907	909
1727	12938
745	3628
289	972
192	3629
1570	308
1773	3626
1719	2236
1233	3627
1836	6372
759	12944
1276	12942
648	12943
720	12940
667	12492
1219	2501
642	4772
1498	12941
467	12491
740	11064
584	3630
1185	12939
630	12490
1378	11065
1683	4203
1512	11066
1588	12493
679	11052
846	12494
1299	11051
995	137
23	12495
894	11050
800	318
1207	12496
814	11049
1655	1621
1893	4726
1908	11055
498	1103
964	591
6	5993
1032	11054
1860	10193
1337	12497
656	11053
1261	10194
251	4221
608	10195
244	10196
512	10197
1011	10198
452	3622
1723	3621
710	308
98	3152
310	12945
60	3620
1249	3619
938	3618
846	3617
443	3616
68	12948
455	12949
1902	4162
140	12950
774	12946
123	12499
1682	11057
1520	12947
1891	12498
627	11058
1036	7484
1015	4447
1533	3624
245	2669
1396	12500
1761	11056
1458	3623
1439	10218
148	11079
1081	10219
109	604
1153	10216
1914	12502
869	10217
1795	12501
808	11076
1151	10215
991	131
1552	11075
1864	695
42	1038
1371	11078
541	10213
1921	7924
446	7438
258	11077
871	10214
1598	3641
169	3642
161	3643
1776	3645
1058	7930
969	3644
643	3647
593	3646
1312	12951
67	13
1899	3129
287	397
307	328
1396	2841
1573	12954
427	12507
845	11081
1617	10221
1544	7288
1910	3724
273	12506
1544	11082
1084	10220
1951	7925
67	12952
533	12505
744	3853
1010	704
1735	47
1425	12953
1465	12504
1620	11083
874	7926
618	12955
1527	12503
495	7927
446	7928
409	3388
317	721
489	2961
1542	2337
1875	11080
486	7929
1901	12512
1360	10208
1023	10209
1808	11070
633	10210
1395	11069
1483	10211
1222	12508
1001	11040
34	10205
993	12509
396	11068
658	10206
503	12510
577	679
1898	10207
1939	12511
1396	11067
1227	2247
627	10212
327	3631
1204	3632
961	3636
182	3635
1252	3634
1736	1039
127	3633
322	7923
105	6402
1490	3640
1157	5280
1775	3639
1126	12956
1396	3638
1173	611
1774	3637
1220	6316
1670	5058
1874	11073
1900	7922
797	3062
109	12515
1546	11074
1215	581
335	12957
850	12517
240	11072
280	7920
1951	12958
350	12516
1576	400
1347	2797
941	7921
1846	12959
1965	14
1647	12960
260	11071
325	3068
662	12514
501	323
763	12513
1763	737
556	1327
60	12918
1611	884
529	153
1212	7940
1471	6067
961	10235
1857	7939
1984	10236
833	6409
1984	10237
672	7938
1123	12917
1984	10238
92	972
961	10239
932	679
1587	2768
68	2767
263	2770
1587	2769
904	2764
1595	2763
130	2766
1596	2765
342	11033
2000	11031
562	2761
718	11032
1595	2762
594	11025
1617	10231
1170	42
1455	11026
961	10230
176	7468
961	10232
1845	1692
1617	7473
1060	7937
236	11029
1152	10234
1012	11030
1152	10233
1398	11027
294	11028
1377	12920
338	7936
1684	12545
129	7935
1283	12551
180	1987
1302	12544
1523	7924
1962	12919
1617	10228
1059	7933
859	12550
961	10229
1390	7932
961	579
746	1320
1152	10227
1343	2760
1025	7934
1302	2759
572	994
872	2758
240	2594
434	2757
148	2756
1150	2755
241	2754
1250	7309
395	11023
149	2753
1879	4787
151	11024
1152	10224
1617	10223
946	12549
8	11020
1617	10222
1426	4361
1191	11021
1984	4224
1522	7931
1939	1011
1953	11022
1289	3781
712	328
1617	2974
774	42
354	2078
961	10226
1887	6522
1679	4713
961	10225
1905	12922
1568	1411
1617	10256
457	7952
1809	11048
1984	10257
855	6932
1529	12924
961	445
1922	42
1416	12923
961	10258
1556	1874
1148	1985
411	12925
1617	10253
569	12927
1152	10254
593	12926
1152	10255
290	3500
1357	2786
811	2785
1599	2788
1065	2787
1600	2789
204	308
934	2781
904	2782
1011	11047
1598	2783
1062	2784
212	3343
1843	11046
2000	12546
1401	2487
108	994
1052	12548
847	11045
1234	12921
1295	1084
1022	4784
1984	10250
1812	7950
1974	1322
1984	1060
1812	7951
1344	11043
961	10252
1164	20
1786	11044
1984	10251
950	7949
694	12932
1984	10248
656	7944
1113	12931
1617	10249
1494	7943
1469	12930
1848	6535
1984	10246
713	7946
1265	12929
1984	10247
1326	7945
1230	12935
961	10244
714	7948
334	12934
1152	10245
114	7947
1414	12933
1944	6755
285	2777
263	2776
934	2775
1597	2774
291	2780
1464	2779
56	2778
1344	11042
327	2772
1949	593
291	2773
1464	2771
1922	12928
1990	11038
10	11039
1897	641
1947	11040
731	4894
1797	11041
961	10243
1117	11034
1984	10242
745	7941
442	11035
961	10241
627	7942
535	11036
1617	4350
108	715
1644	11037
1152	10240
1953	6421
1604	2802
427	2803
58	2804
1605	2805
733	7969
348	7967
1477	7968
681	7966
1538	1097
321	7965
173	7964
321	7963
730	7962
436	7961
387	2800
1603	300
1398	2801
605	1097
988	2799
1602	404
1601	2798
245	3691
920	2796
567	3690
1346	2797
474	2795
588	7957
1585	7958
791	7959
609	7960
1617	10261
1305	7954
191	7953
1152	10259
156	7956
1617	10260
1627	7955
646	2976
1281	579
1566	3686
1499	2794
1616	3687
687	2793
1778	3688
1122	2792
565	3689
949	2791
831	3682
844	2790
888	3683
206	3684
1485	3685
1712	4616
1610	2823
1085	4617
870	2824
1810	4614
1482	4615
228	4612
958	4613
1710	1306
1839	7982
713	287
655	2287
466	4618
780	7977
876	2891
1922	400
1480	2561
699	7981
1768	7980
811	7979
903	7978
107	2817
519	2816
420	2819
1609	2818
83	2821
603	7976
545	2820
634	2822
927	2426
1397	4606
945	2815
1443	4607
1233	4608
1005	2813
17	4609
1608	2814
1507	4604
877	4605
1786	5332
1052	3699
17	4610
146	2284
1344	2286
196	4611
973	7971
1181	7970
525	7973
321	7972
107	7975
1136	7974
215	1705
132	3229
416	2808
1606	2807
694	2806
346	2812
1607	2811
284	2810
1495	2809
1105	6367
265	6368
1735	20
1701	6369
1988	7171
1187	6370
1563	7170
1192	6371
130	6372
260	4445
414	1408
254	3018
257	4444
1539	11423
1453	4449
998	11422
1108	4448
976	541
1062	4447
1262	4446
1956	11426
718	6374
1476	7173
634	11425
209	6373
685	7174
98	7285
1123	4451
447	4689
1789	11424
780	4450
365	6375
274	7172
866	7177
36	1755
1379	7178
1790	11428
1217	7175
362	11427
119	7176
38	11417
1493	6377
1073	6378
1861	6376
1872	1877
743	6381
545	7179
1784	6382
208	6379
426	459
1678	6380
1358	7180
1873	4452
1559	4454
591	4453
341	4456
1431	4455
143	4458
25	4457
960	987
909	4459
1678	903
688	27
1062	911
652	7181
336	1606
817	4460
114	7182
1633	11418
411	6384
316	1162
561	3061
1718	6383
1517	7183
1731	11419
425	6986
181	2963
543	7184
856	11421
1989	1754
766	11420
143	6351
1176	6352
1370	5417
419	6353
1221	679
633	11407
1401	3381
148	6350
1551	5421
1549	2838
1550	5423
1545	5422
860	5419
430	5418
1548	2604
1552	5420
1044	11408
1546	5424
1410	7160
1907	7161
709	11416
1482	7158
1567	11415
723	308
735	7159
183	11414
1703	7156
1620	11413
570	7157
1043	11412
975	6355
1778	7154
1527	11411
1757	6354
1342	7155
1699	11410
1219	6357
500	7153
514	11409
1957	6356
599	4714
480	6362
579	6363
781	6360
1885	7162
1060	6361
776	5820
1895	6358
1934	4035
1426	6359
1370	5357
1102	7169
1379	11404
567	7166
1613	11403
565	7167
1271	11406
1706	1924
1034	11405
