movie	actor
159	825
159	342
158	643
1249	1089
158	747
1250	1711
158	644
1250	1257
158	820
1250	1710
2329	1694
158	821
158	822
2329	973
159	823
2329	1936
159	824
2329	1273
1253	1846
2329	1454
1253	852
2329	639
2329	1388
2329	1964
1250	594
2329	234
886	407
1250	1356
2329	1116
885	713
1252	1464
2329	1304
885	658
1251	1802
885	437
885	714
885	550
884	1097
883	663
883	602
883	1817
160	832
160	751
1253	1638
160	391
1253	288
160	827
1253	1087
160	828
1253	1914
2327	1430
160	830
2327	795
160	831
1253	397
2327	645
160	829
2328	1076
160	280
2328	648
1430	974
2328	891
1430	1689
2329	169
1430	730
2328	1991
1253	1511
1430	1294
2328	1014
888	1759
159	826
1253	1594
1430	96
888	1366
1253	1118
1430	361
2328	1223
1253	1223
1430	876
2328	1279
1253	1373
1430	1605
887	641
887	391
887	202
887	464
887	534
1430	1004
887	823
1430	1324
887	176
887	1877
889	246
162	198
162	749
2330	1596
162	836
1253	1213
162	78
1253	1293
161	15
1253	648
1430	782
162	537
1253	1848
162	834
1253	1876
162	835
1253	826
2332	1519
1253	1901
1430	1327
2332	752
1253	928
1430	718
2332	16
160	833
1254	581
1430	1379
2332	97
890	1255
160	719
1254	641
1430	854
2333	684
1430	1325
2332	1999
1430	1807
2332	848
1430	1328
2332	1534
1430	1294
890	1704
890	73
890	751
1430	432
890	1390
2331	1702
890	1182
2331	1871
890	1575
890	1355
890	1240
890	1561
890	1291
164	840
1254	757
2329	1932
1254	330
164	839
1254	253
163	507
1254	841
163	838
1254	492
163	242
1254	1498
1430	730
163	837
1254	1067
1430	1191
2329	399
163	507
1431	1950
2329	1476
163	264
1255	164
1431	210
2330	336
163	677
1255	1813
1432	9
2329	942
1254	1798
1432	1503
2330	1357
1432	367
2330	416
1432	402
2330	40
1432	527
2330	585
1432	477
890	829
890	1574
890	1577
890	985
890	484
890	1188
2329	231
890	330
890	914
1255	154
1255	155
1255	155
1255	1713
1255	155
1255	160
1255	1884
1255	164
891	1746
1079	889
891	1617
1079	1323
891	1878
1079	1081
1079	1821
1078	131
1079	313
893	1052
893	1624
516	654
893	1256
517	700
893	417
518	718
1079	89
893	1500
518	691
1079	146
892	742
518	1611
1079	1522
893	77
518	184
1079	1003
518	1077
519	1101
520	1080
520	1184
1255	1688
1255	1128
1256	1771
1256	1966
1256	1383
1256	1643
1256	611
1256	529
1256	1131
1256	1573
893	794
1082	1461
1255	1749
893	415
1082	931
894	1879
1081	1628
893	1738
1081	1078
1079	1384
1080	1934
1079	1933
894	537
520	416
894	1569
520	1488
520	1612
894	302
520	1385
894	1847
520	305
1082	739
894	192
520	1362
1082	355
894	922
520	681
1082	444
521	989
520	28
520	836
1256	1390
2326	875
157	807
2326	1202
157	412
2326	1180
157	809
2326	1270
157	808
2326	100
156	805
894	1880
1082	1038
1082	1210
1082	1693
1082	866
895	1430
157	811
1082	1160
895	932
157	810
1082	1170
895	1841
157	812
1083	1502
894	67
157	402
1083	1152
895	316
523	1615
1083	1427
895	1028
523	1616
1083	1152
895	892
523	1617
895	579
523	1477
522	1613
522	1614
895	1059
522	60
522	143
2327	1221
2327	1633
523	505
2327	1968
523	242
2327	481
2327	642
157	816
157	815
157	814
157	813
157	234
157	315
157	152
523	652
895	719
895	1831
895	1264
895	84
158	819
895	1603
158	818
895	1311
157	817
895	1881
527	629
895	1881
527	1620
895	746
526	1619
895	1028
527	1246
525	788
526	978
523	1618
524	1567
2326	548
2326	1343
2326	542
2326	1393
528	1530
2326	1493
2587	1969
2587	1541
2586	718
2586	982
2586	1907
1437	1127
2586	782
1437	1575
1437	1002
2586	569
1070	1763
1070	492
1070	1111
1070	1895
896	369
1070	1338
896	902
1070	369
1070	769
896	1044
1070	1033
896	749
1070	387
896	1089
1070	485
896	1057
896	448
895	566
896	747
896	481
1437	1240
1437	836
1437	702
1437	540
2586	1613
1437	1150
2586	1684
2586	945
1437	572
2586	220
1437	1073
2586	1141
2586	885
714	139
2586	1079
2586	1762
713	1064
2585	878
1438	1271
2586	681
1438	346
713	1706
1072	1539
713	1136
1072	1084
1072	336
713	779
1071	658
713	599
1071	159
898	89
713	570
1072	1104
897	1142
713	116
1072	388
897	297
1070	1605
897	873
897	1872
897	1526
1070	1291
896	369
897	1882
896	427
896	1057
1438	681
2584	86
1438	1105
1438	645
1438	645
2583	938
1438	645
2583	1639
1438	1977
2583	595
1438	671
2583	1191
1437	1357
2589	505
1439	819
2590	834
2589	1613
2589	512
2590	404
716	80
2590	474
716	142
2590	1490
717	772
2590	1185
715	1584
1075	145
715	977
1075	778
715	977
1074	544
716	883
1075	225
2589	1267
715	763
715	1584
1075	913
715	284
1075	1931
1073	1549
1073	1295
1073	1847
1438	1067
1073	457
1438	756
1438	53
2588	1653
1438	1089
2588	1768
1438	1271
1438	1978
1438	1821
1439	785
1438	645
2587	1666
2587	1078
2587	1972
2588	1712
2588	363
2588	337
2588	1764
719	1052
2588	461
719	413
718	776
1078	1257
719	1664
1078	1932
718	891
1078	432
718	1512
1078	1889
717	1779
1078	131
717	1780
717	1565
717	1185
1075	1625
1077	733
1076	1046
1078	793
1078	1909
2587	1252
2587	1805
2587	421
2334	1957
2334	1251
2334	277
2335	1744
1243	683
1243	3
2335	824
1243	243
1435	631
2335	1242
1243	406
1434	908
1243	1475
1243	153
1435	500
2335	1408
1241	85
1434	159
2335	1021
1242	1812
1434	1913
2335	894
1239	1726
1434	325
2335	1171
1240	1048
1434	1774
1432	1591
1433	1975
1434	1493
2333	1493
2333	587
1067	1377
2590	1844
2590	41
2333	641
1067	471
1066	1359
1245	1512
1067	1353
1066	1547
2590	1652
2334	1951
1245	785
2590	835
1245	807
2591	501
2333	648
1245	188
1436	1268
2591	764
2334	397
1245	581
1436	727
2590	631
2333	1775
1243	649
1436	390
2590	1895
1243	636
1436	1225
2590	271
2333	1634
1243	571
1436	1530
2590	1231
2333	1630
1244	941
1435	1148
1435	1194
1435	833
1243	586
1435	1022
1435	590
2590	1733
1068	1377
1068	1501
2335	1984
1067	624
2335	1821
2336	1695
1069	942
2336	241
1069	650
2337	1709
1068	920
2337	657
1068	916
2338	616
1246	1882
1437	763
2338	1656
1247	1126
1437	1986
2338	558
1069	270
1245	118
1437	179
2338	618
1069	1285
1245	113
1437	1133
1247	1031
1247	1684
1437	1943
1247	1539
1247	412
1436	171
1245	930
1436	1682
1245	1703
1436	1081
1436	282
1436	408
1069	942
2335	1989
1069	509
1070	597
1070	103
2335	1666
1070	1930
2335	889
1070	807
2335	431
1070	440
2335	348
1070	1308
2335	1081
1249	717
1437	592
2335	936
1070	1270
1249	1408
1437	1114
2335	1904
1249	558
1437	1227
2335	733
1249	291
1437	1681
1249	636
1249	436
2335	1277
1249	1086
1437	1114
1437	1987
1248	1451
1437	657
1437	177
1249	649
1437	999
1249	225
1437	394
1069	1855
709	219
708	708
710	1746
709	260
708	707
2268	1364
2269	1958
2270	129
2703	563
2703	358
2703	1837
2703	1471
711	1153
2703	20
2703	377
2703	1955
2703	540
711	1179
711	536
711	917
711	1600
706	835
706	56
706	1760
706	1576
2268	313
2268	1756
2267	388
2267	1491
2268	656
2268	538
2268	365
2704	159
2268	223
2704	408
2268	1926
2704	1535
2268	316
2704	820
2268	1117
2703	1554
2703	1334
2704	186
707	1406
707	1721
707	489
707	1013
2703	1500
706	1761
2703	600
706	794
712	1093
712	1143
712	1777
2069	213
713	1292
2069	757
712	1140
2592	1583
2068	21
713	441
2592	1167
2067	424
713	1483
2592	1578
2067	13
2592	1610
2067	1481
2592	1196
2067	1264
2591	1065
2067	936
2591	1521
2067	792
2591	1964
2067	492
2591	468
2591	326
2592	1505
1083	1152
1083	1427
1083	1617
1083	921
713	1537
1083	871
713	785
1083	1179
713	1110
1083	1397
1083	1377
1083	1916
1083	1152
711	1164
711	1307
2593	145
711	1767
711	1032
2593	730
2593	1011
2593	1733
2593	84
2592	968
2592	588
2592	1930
2592	897
2594	1450
2594	1756
712	1543
712	701
711	469
711	1236
2594	219
2258	1281
2072	1384
2594	32
2258	714
2073	235
2594	885
2258	1485
2071	955
2594	496
2258	908
2071	1755
2595	1983
2258	1102
2073	1974
2595	1177
2258	885
2074	465
2692	1347
2595	1743
2073	152
2692	823
2595	1176
2259	1215
2073	461
2074	1714
2074	995
699	1772
701	907
2692	1727
701	745
702	289
701	192
700	1570
699	1773
701	1719
701	1233
2695	1836
2696	759
2695	1276
2695	648
2694	720
2596	667
2259	1219
2074	642
2694	1498
2596	467
2260	740
702	584
2692	1185
2596	630
2260	1378
2693	1683
2260	1512
2596	1588
2258	679
2596	846
2258	1299
2069	995
2596	23
2258	894
2069	800
2596	1207
2258	814
2069	1655
2596	1893
2258	1908
2070	498
2696	964
2596	6
2258	1032
2070	1860
2596	1337
2258	656
2070	1261
2258	251
2070	608
2071	244
2071	512
2071	1011
699	452
699	1723
2697	710
699	98
2698	310
699	60
699	1249
699	938
699	846
699	443
2700	68
2700	455
2700	1902
2700	140
2698	774
2596	123
2258	1682
2699	1520
2596	1891
2258	627
2700	1036
2596	1015
699	1533
2700	245
2596	1396
2258	1761
699	1458
2077	1439
2266	148
2077	1081
2597	109
2077	1153
2597	1914
2077	869
2596	1795
2265	808
2077	1151
2597	991
2264	1552
2077	1864
2596	42
2266	1371
2077	541
1575	1921
2596	446
2266	258
2077	871
705	1598
705	169
705	161
705	1776
1576	1058
705	969
706	643
705	593
2700	1312
706	67
2700	1899
706	287
2700	307
706	1396
2700	1573
2597	427
2267	845
2078	1617
1575	1544
2700	1910
2597	273
2267	1544
2077	1084
1575	1951
2700	67
2597	533
2267	744
2077	1010
1575	1735
2700	1425
2597	1465
2267	1620
1576	874
2701	618
2597	1527
1576	495
1576	446
2700	409
2267	317
1576	489
2701	1542
2267	1875
1576	486
2597	1901
2075	1360
2075	1023
2263	1808
2075	633
2263	1395
2076	1483
2597	1222
2263	1001
2074	34
2597	993
2262	396
2075	658
2597	503
2261	577
2075	1898
2597	1939
2261	1396
2075	1227
2077	627
703	327
703	1204
703	961
703	182
703	1252
1575	1736
703	127
1575	322
2702	105
705	1490
2702	1157
705	1775
2702	1126
704	1396
2702	1173
703	1774
2702	1220
2597	1670
2263	1874
1574	1900
2702	797
2597	109
2264	1546
1574	1215
2702	335
2597	850
2263	240
1573	280
2702	1951
2597	350
2263	1576
2077	1347
1574	941
2702	1846
1575	1965
2702	1647
2263	260
1575	325
2597	662
1575	501
2597	763
1575	1763
2682	556
2681	60
1579	1611
2682	529
1579	1212
2682	1471
2078	961
1579	1857
2078	1984
1579	833
2078	1984
1579	672
2681	1123
2078	1984
1578	92
2078	961
1577	932
512	1587
512	68
512	263
512	1587
512	904
511	1595
512	130
512	1596
2251	342
2250	2000
511	562
2251	718
511	1595
2249	594
2078	1617
1577	1170
2249	1455
2078	961
1577	176
2078	961
2249	1845
2078	1617
1577	1060
2249	236
2078	1152
2249	1012
2078	1152
2249	1398
2249	294
2684	1377
1577	338
2684	1684
1577	129
2684	1283
1577	180
2684	1302
1577	1523
2684	1962
2078	1617
1577	1059
2684	859
2078	961
1577	1390
2078	961
1577	746
2078	1152
510	1343
1577	1025
509	1302
508	572
507	872
506	240
506	434
