movie	character
159	967
159	968
158	959
1249	1432
158	960
1250	6253
158	961
1250	6254
158	962
1250	6255
2329	994
158	963
158	964
2329	11319
159	965
2329	11320
159	966
2329	11325
1253	6261
2329	11324
1253	6260
2329	10397
2329	4887
2329	11323
1250	6257
2329	11322
886	4530
1250	6256
2329	11321
885	4529
1252	6259
2329	5518
885	4528
1251	6258
885	46
885	4527
885	1097
884	4526
883	4525
883	2382
883	4524
160	978
160	972
1253	6264
160	973
1253	6265
160	970
1253	6263
160	971
1253	4238
2327	11312
160	976
2327	11313
160	977
1253	6262
2327	2506
160	974
2328	3854
160	975
2328	5915
1430	7076
2328	11316
1430	7077
2329	11318
1430	1906
2328	11317
1253	6270
1430	1908
2328	584
888	4537
159	969
1253	6269
1430	7073
888	4536
1253	6268
1430	7074
2328	11315
1253	6267
1430	1899
2328	11314
1253	6266
1430	7075
887	3244
887	4534
887	397
887	4535
887	161
1430	7078
887	4531
1430	1910
887	4533
887	4532
889	928
162	984
162	985
2330	11333
162	986
1253	6271
162	987
1253	6272
161	371
1253	6273
1430	1912
162	981
1253	6274
162	982
1253	6275
162	983
1253	6276
2332	11338
1253	6278
1430	1660
2332	11337
1253	6277
1430	1915
2332	11336
160	980
1254	6280
1430	2302
2332	11335
890	4545
160	979
1254	6279
1430	7079
2333	11341
1430	7081
2332	11340
1430	7082
2332	328
1430	7080
2332	11339
1430	1918
890	4540
890	4539
890	4538
1430	7083
890	1011
2331	11334
890	4544
2331	5828
890	4543
890	4542
890	4541
890	4546
890	4547
164	995
1254	6282
2329	11326
1254	6283
164	994
1254	6281
163	992
1254	3049
163	993
1254	1874
163	990
1254	6284
1430	1921
163	991
1254	6285
1430	1920
2329	11328
163	641
1431	7084
2329	11327
163	989
1255	161
1431	7085
2330	11330
163	988
1255	599
1432	287
2329	11329
1254	6286
1432	2346
2330	11331
1432	7086
2330	4580
1432	7087
2330	11332
1432	593
2330	4361
1432	7088
890	4548
890	1018
890	4550
890	4549
890	4551
890	737
2329	3542
890	4553
890	4552
1255	6292
1255	6291
1255	6294
1255	6293
1255	6288
1255	6287
1255	6290
1255	6289
891	4556
1079	5476
891	4555
1079	5477
891	4554
1079	5478
1079	5479
1078	5474
1079	5475
893	4562
893	4560
516	2825
893	4561
517	72
893	909
518	2826
1079	679
893	4559
518	2827
1079	5480
892	4557
518	2828
1079	5482
893	4558
518	2829
1079	5481
518	2243
519	2830
520	2831
520	2832
1255	6295
1255	6296
1256	6305
1256	6304
1256	6303
1256	6302
1256	6301
1256	6300
1256	6299
1256	6298
893	4564
1082	5488
1255	6297
893	4563
1082	5489
894	4218
1081	5486
893	4565
1081	5487
1079	5484
1080	5485
1079	5483
894	4570
520	2834
894	715
520	2835
520	2833
894	4566
520	2838
894	4567
520	2839
1082	5491
894	4568
520	2836
1082	909
894	4569
520	2837
1082	5490
521	2841
520	2840
520	909
1256	6306
2326	1826
157	944
2326	11307
157	943
2326	11306
157	287
2326	11305
157	945
2326	11308
156	942
894	4571
1082	5492
1082	5493
1082	3724
1082	5494
895	1924
157	946
1082	2247
895	4574
157	537
1082	5495
895	4573
157	948
1083	5496
894	4572
157	947
1083	5497
895	4577
523	2844
1083	5499
895	4578
523	2845
1083	5498
895	4575
523	2846
895	4576
523	2847
522	2492
522	2842
895	4579
522	2843
522	257
2327	11309
2327	11311
523	2848
2327	911
523	2849
2327	11310
2327	541
157	955
157	954
157	953
157	952
157	951
157	950
157	949
523	2850
895	4581
895	4580
895	4583
895	4582
158	958
895	4585
158	957
895	4584
157	956
895	4586
527	2857
895	308
527	2858
895	4587
526	2855
895	4588
527	2856
525	2853
526	2854
523	2851
524	2852
2326	11301
2326	11302
2326	535
2326	11303
528	2859
2326	11304
2587	12437
2587	12438
2586	12436
2586	8921
2586	12434
1437	7125
2586	12435
1437	7126
1437	5820
2586	12433
1070	5452
1070	5453
1070	5450
1070	5451
896	4595
1070	5448
896	2891
1070	5449
1070	5446
896	4596
1070	5447
896	4592
1070	2228
896	4593
1070	5445
896	4594
896	850
895	4589
896	4590
896	4591
1437	7123
1437	7122
1437	7124
1437	125
2586	2151
1437	863
2586	12432
2586	12431
1437	7121
2586	12430
