starring	actor
1028	825
1029	342
1020	643
7440	1089
1021	747
7441	1711
1022	644
7442	1257
1023	820
7443	1710
14129	1694
1024	821
1025	822
14127	973
1026	823
14128	1936
1027	824
14137	1273
7449	1846
14136	1454
7448	852
14135	639
14134	1388
14133	1964
7445	594
14132	234
5309	407
7444	1356
14131	1116
5308	713
7447	1464
14130	1304
5307	658
7446	1802
5306	437
5305	714
5304	550
5303	1097
5302	663
5301	602
5300	1817
1039	832
1033	751
7453	1638
1034	391
7454	288
1031	827
7451	1087
1032	828
7452	1914
14116	1430
1037	830
14117	795
1038	831
7450	397
14118	645
1035	829
14119	1076
1036	280
14124	648
8504	974
14123	891
8505	1689
14126	169
8506	730
14125	1991
7459	1511
8507	1294
14120	1014
5319	1759
1030	826
7458	1594
8500	96
5318	1366
7457	1118
8501	361
14122	1223
7456	1223
8502	876
14121	1279
7455	1373
8503	1605
5315	641
5314	391
5317	202
5316	464
5311	534
8508	1004
5310	823
8509	1324
5313	176
5312	1877
5320	246
1046	198
1047	749
14149	1596
1048	836
7460	1213
1049	78
7461	1293
1042	15
7462	648
8510	782
1043	537
7463	1848
1044	834
7464	1876
1045	835
7465	826
14155	1519
7467	1901
8513	1327
14154	752
7466	928
8514	718
14153	16
1041	833
7469	581
8511	1379
14152	97
5329	1255
1040	719
7468	641
8512	854
14159	684
8517	1325
14158	1999
8518	1807
14157	848
8515	1328
14156	1534
8516	1294
5324	1704
5323	73
5322	751
8519	432
5321	1390
14151	1702
5328	1182
14150	1871
5327	1575
5326	1355
5325	1240
5330	1561
5331	1291
1059	840
7471	757
14139	1932
7472	330
1058	839
7470	253
1055	507
7475	841
1056	838
7476	492
1053	242
7473	1498
8521	730
1054	837
7474	1067
8520	1191
14142	399
1052	507
8522	1950
14141	1476
1051	264
7479	164
8523	210
14144	336
1050	677
7478	1813
8524	9
14143	942
7477	1798
8525	1503
14146	1357
8526	367
14145	416
8527	402
14148	40
8528	527
14147	585
8529	477
5333	829
5332	1574
5335	1577
5334	985
5337	484
5336	1188
14140	231
5339	330
5338	914
7485	154
7484	155
7487	155
7486	1713
7481	155
7480	160
7483	1884
7482	164
5342	1746
6472	889
5341	1617
6473	1323
5340	1878
6474	1081
6475	1821
6470	131
6471	313
5349	1052
5347	1624
3200	654
5348	1256
3201	700
5345	417
3202	718
6477	89
5346	1500
3203	691
6476	146
5343	742
3204	1611
6479	1522
5344	77
3205	184
6478	1003
3206	1077
3207	1101
3208	1080
3209	1184
7488	1688
7489	1128
7498	1771
7497	1966
7496	1383
7495	1643
7494	611
7493	529
7492	1131
7491	1573
5351	794
6485	1461
7490	1749
5350	415
6486	931
5353	1879
6483	1628
5352	1738
6484	1078
6481	1384
6482	1934
6480	1933
5358	537
3211	416
5359	1569
3212	1488
3210	1612
5354	302
3215	1385
5355	1847
3216	305
6489	739
5356	192
3213	1362
6488	355
5357	922
3214	681
6487	444
3219	989
