starring	movie
1028	159
1029	159
1020	158
7440	1249
1021	158
7441	1250
1022	158
7442	1250
1023	158
7443	1250
14129	2329
1024	158
1025	158
14127	2329
1026	159
14128	2329
1027	159
14137	2329
7449	1253
14136	2329
7448	1253
14135	2329
14134	2329
14133	2329
7445	1250
14132	2329
5309	886
7444	1250
14131	2329
5308	885
7447	1252
14130	2329
5307	885
7446	1251
5306	885
5305	885
5304	885
5303	884
5302	883
5301	883
5300	883
1039	160
1033	160
7453	1253
1034	160
7454	1253
1031	160
7451	1253
1032	160
7452	1253
14116	2327
1037	160
14117	2327
1038	160
7450	1253
14118	2327
1035	160
14119	2328
1036	160
14124	2328
8504	1430
14123	2328
8505	1430
14126	2329
8506	1430
14125	2328
7459	1253
8507	1430
14120	2328
5319	888
1030	159
7458	1253
8500	1430
5318	888
7457	1253
8501	1430
14122	2328
7456	1253
8502	1430
14121	2328
7455	1253
8503	1430
5315	887
5314	887
5317	887
5316	887
5311	887
8508	1430
5310	887
8509	1430
5313	887
5312	887
5320	889
1046	162
1047	162
14149	2330
1048	162
7460	1253
1049	162
7461	1253
1042	161
7462	1253
8510	1430
1043	162
7463	1253
1044	162
7464	1253
1045	162
7465	1253
14155	2332
7467	1253
8513	1430
14154	2332
7466	1253
8514	1430
14153	2332
1041	160
7469	1254
8511	1430
14152	2332
5329	890
1040	160
7468	1254
8512	1430
14159	2333
8517	1430
14158	2332
8518	1430
14157	2332
8515	1430
14156	2332
8516	1430
5324	890
5323	890
5322	890
8519	1430
5321	890
14151	2331
5328	890
14150	2331
5327	890
5326	890
5325	890
5330	890
5331	890
1059	164
7471	1254
14139	2329
7472	1254
1058	164
7470	1254
1055	163
7475	1254
1056	163
7476	1254
1053	163
7473	1254
8521	1430
1054	163
7474	1254
8520	1430
14142	2329
1052	163
8522	1431
14141	2329
1051	163
7479	1255
8523	1431
14144	2330
1050	163
7478	1255
8524	1432
14143	2329
7477	1254
8525	1432
14146	2330
8526	1432
14145	2330
8527	1432
14148	2330
8528	1432
14147	2330
8529	1432
5333	890
5332	890
5335	890
5334	890
5337	890
5336	890
14140	2329
5339	890
5338	890
7485	1255
7484	1255
7487	1255
7486	1255
7481	1255
7480	1255
7483	1255
7482	1255
5342	891
6472	1079
5341	891
6473	1079
5340	891
6474	1079
6475	1079
6470	1078
6471	1079
5349	893
5347	893
3200	516
5348	893
3201	517
5345	893
3202	518
6477	1079
5346	893
3203	518
6476	1079
5343	892
3204	518
