course	subject
1183	1173
68	21
551	542
389	383
294	242
58	21
345	301
1220	11
906	872
988	953
68	21
18	21
219	193
756	703
1196	1173
250	242
106	21
700	703
1240	11
673	653
720	301
95	21
235	193
712	703
846	834
1247	11
217	193
943	872
1086	1068
685	653
137	122
421	383
1206	1209
231	193
1247	11
1198	1173
223	4
539	1093
110	21
1185	1173
996	999
253	242
779	703
1069	1068
1170	1173
135	542
869	872
1257	11
718	703
714	703
867	834
460	301
18	21
1103	1093
869	872
929	872
705	703
1229	4
1098	11
141	144
284	242
664	653
110	21
779	703
1131	1114
758	703
1168	1138
689	653
1156	1138
145	383
360	343
90	21
394	383
1046	999
186	176
18	21
441	383
969	953
707	703
170	153
1234	11
534	999
332	312
730	703
700	703
227	193
692	653
42	21
777	703
992	953
58	21
929	872
1166	1138
773	703
748	703
394	383
537	999
58	21
853	834
81	21
520	522
661	301
869	872
700	703
370	369
941	872
642	573
256	242
177	176
971	953
42	21
990	953
520	4
1039	999
1240	11
906	872
596	573
1082	1068
18	21
491	301
1257	11
539	542
243	242
792	703
68	21
712	703
543	542
564	542
137	542
1257	11
365	542
1095	1093
667	653
302	242
398	383
353	343
1134	1114
239	242
326	312
18	21
85	4
617	301
946	872
68	21
730	703
738	703
323	312
39	4
125	122
58	21
68	21
775	703
423	383
732	703
667	653
292	242
213	193
816	703
752	703
68	21
869	872
18	21
811	703
659	653
919	872
512	514
939	872
412	383
210	193
585	301
1052	999
760	703
1048	999
1154	11
805	703
859	834
310	312
358	343
328	312
162	153
233	193
133	122
750	703
906	872
237	193
1154	11
207	193
1192	1173
445	383
771	703
619	573
341	343
373	301
188	176
929	872
87	21
1048	999
1039	999
943	11
168	153
1154	11
966	1114
139	122
416	383
796	703
120	122
1007	999
869	872
1037	999
722	703
154	153
748	703
282	242
418	383
408	383
148	383
709	703
736	703
160	153
400	301
430	383
966	953
386	383
18	21
403	383
957	953
1161	1138
508	301
1174	1173
673	653
667	653
18	21
18	21
677	301
709	703
330	312
736	703
1000	999
1247	11
184	176
914	872
648	573
687	653
762	703
740	703
58	21
1212	573
367	369
631	573
135	122
564	1093
948	872
843	834
356	542
848	834
803	703
596	573
1216	11
68	21
148	144
963	953
603	573
667	653
700	703
515	514
976	953
769	703
1200	383
1033	999
985	953
1108	1093
42	21
529	301
58	21
337	312
1164	1138
1234	11
223	4
42	21
599	573
547	301
8	11
728	703
1079	1068
42	21
39	522
123	122
436	383
603	573
683	653
655	653
973	953
18	21
1252	11
81	21
347	343
116	21
272	242
1039	999
356	343
982	953
116	21
1014	999
954	953
566	301
568	1093
114	21
644	573
170	153
339	312
1007	999
116	21
1063	999
201	4
380	383
436	383
1007	999
221	193
277	242
603	573
869	872
627	573
1202	449
554	542
714	703
603	573
90	21
557	542
42	21
601	301
1065	999
104	21
732	703
360	542
869	872
534	522
824	703
924	872
100	21
427	383
696	653
821	703
724	703
1252	11
865	834
924	872
1252	11
363	343
724	703
744	703
432	383
1043	999
646	573
42	21
788	703
679	653
869	872
5	4
771	703
694	653
1075	1068
1054	999
950	953
42	21
310	312
980	953
869	872
1084	1068
42	21
921	872
290	242
18	21
145	144
1220	11
681	653
400	301
924	872
857	834
412	383
596	573
1240	11
173	176
635	573
742	301
534	522
350	343
788	703
689	653
225	193
603	573
1127	1114
90	21
18	21
596	573
166	153
400	301
673	653
180	4
937	872
861	834
1033	999
762	703
1031	999
633	573
621	573
1214	1173
182	176
308	242
629	573
98	21
906	872
405	383
18	21
760	703
1158	1138
1124	1114
1098	11
1220	11
640	573
698	301
527	522
1151	1138
1105	1093
408	383
769	703
841	834
432	383
716	703
18	21
229	193
525	522
1048	999
559	542
960	953
716	703
1000	999
722	703
705	703
1023	999
978	953
391	383
268	242
365	343
1017	999
108	4
288	242
994	953
205	193
215	193
1075	1068
334	312
537	522
1101	1093
1075	1068
1244	4
850	834
1000	999
15	11
934	872
734	703
1190	1173
637	301
744	703
427	383
869	872
869	872
869	872
916	872
1000	999
268	242
1088	1068
81	21
734	703
659	653
310	312
869	872
157	4
762	703
58	21
1216	11
476	301
223	522
18	21
223	522
54	4
650	653
71	4
869	872
1177	1173
869	872
102	21
68	21
1007	999
18	21
275	4
818	703
1127	1114
5	4
1216	11
306	242
1007	999
58	21
42	21
750	703
1187	1173
667	653
707	703
1098	11
562	542
557	1093
790	703
655	653
781	703
863	834
304	242
1234	11
1180	1173
246	242
265	242
754	703
391	1068
164	153
154	153
296	242
726	703
1020	999
150	153
341	343
128	4
110	21
12	11
838	834
42	21
280	242
568	542
1071	1068
1234	11
1210	542
1056	999
18	21
141	542
130	122
1194	1173
746	703
1073	1068
650	653
384	383
286	242
855	834
1124	1114
1033	999
523	522
869	872
