courseoffer	subj
1113	1114
1132	1114
1207	1209
1003	999
364	343
737	703
1099	11
955	953
422	383
385	383
1169	1138
739	703
571	573
553	542
348	343
1144	1138
1062	11
903	872
489	449
230	193
961	953
835	834
774	703
800	703
526	522
493	449
586	301
113	21
167	153
964	953
860	834
810	703
263	242
446	383
1057	999
521	522
214	193
669	653
169	153
516	514
1228	11
597	573
1246	11
1096	1093
887	872
540	542
359	343
641	573
930	872
1085	1068
986	953
1129	1114
49	21
1076	1068
799	11
40	4
477	301
593	573
974	953
626	573
278	242
1097	1093
433	383
997	999
1059	999
875	872
711	703
149	144
1237	11
509	301
474	449
747	703
1258	11
1141	1138
1128	1114
854	834
146	144
1064	999
456	449
935	872
82	21
729	703
320	312
502	449
409	383
155	153
802	703
174	176
1090	1068
883	872
513	514
582	573
618	301
866	834
488	449
1204	4
797	703
66	21
1133	11
351	343
605	573
793	703
444	301
63	21
761	703
6	4
99	21
550	542
1117	1114
465	449
397	383
211	193
1010	999
354	343
163	153
1125	1114
335	312
303	242
1102	1093
836	834
309	242
411	383
142	144
1238	11
598	573
1178	1173
789	703
912	11
1243	11
909	872
1008	999
721	301
1130	1114
574	573
670	653
684	653
222	193
565	542
598	573
53	21
165	153
25	21
86	4
899	872
535	522
632	573
757	703
495	449
507	449
454	449
531	522
569	542
528	522
825	703
426	301
741	703
897	872
178	176
220	193
105	21
942	872
896	872
281	242
1058	999
645	573
458	449
459	449
891	872
295	242
262	242
483	449
346	301
510	449
204	193
881	872
549	542
228	193
1227	11
561	542
616	4
1126	1114
112	21
1001	999
630	573
1035	999
1248	11
577	573
1111	1093
1047	999
1028	11
785	703
191	193
1137	1138
52	21
524	522
1175	1173
236	193
977	953
917	872
907	872
911	872
1239	11
533	522
342	343
501	449
329	312
1066	999
678	301
600	573
663	653
993	953
473	449
344	343
199	193
76	21
1044	999
338	312
503	449
880	872
30	21
1067	1068
1147	1138
249	4
910	872
622	573
901	872
381	383
643	573
624	573
29	21
440	383
727	703
597	573
839	834
809	703
538	522
1149	1138
915	872
893	872
171	153
680	653
316	312
587	573
1191	1173
121	122
691	653
289	242
608	573
1203	449
889	872
251	242
478	449
552	542
676	653
765	11
404	383
1182	11
1055	999
1040	999
1118	11
1026	999
1232	11
366	343
1231	11
260	242
234	193
1094	1093
1219	11
931	872
266	242
813	4
611	573
1123	1114
453	449
1050	999
795	703
48	21
614	573
1070	1068
497	449
780	703
545	542
715	703
1083	1068
615	573
868	834
967	953
505	449
607	573
558	542
1157	1138
283	242
776	703
118	21
435	383
276	4
672	653
927	872
2	4
32	21
1121	1114
1186	1173
62	21
849	834
763	703
731	703
938	872
933	11
129	4
134	122
1223	11
1087	1068
1045	11
858	834
920	872
787	703
947	872
733	703
51	21
324	312
64	21
498	449
682	653
287	242
399	383
1119	1114
1024	999
374	301
181	4
313	312
674	653
57	21
602	301
1135	1114
24	21
387	383
649	573
879	872
1197	1173
257	242
158	4
979	953
668	653
26	21
84	21
1092	1093
555	542
828	703
610	573
140	122
1230	4
75	21
589	573
321	301
471	449
361	343
826	703
884	872
944	872
794	703
662	301
439	383
612	573
591	573
905	872
851	834
823	703
224	4
530	301
882	872
806	703
240	242
783	703
1034	999
208	193
651	653
195	193
485	449
482	449
500	449
1110	1093
759	703
690	653
185	176
161	153
93	21
23	21
735	703
1006	11
1255	11
1018	999
1235	11
888	872
1195	1173
697	653
126	122
636	573
1072	1068
594	573
560	542
103	21
654	653
115	21
1242	11
1201	383
314	312
544	542
1004	999
1012	999
67	21
1078	1068
970	953
807	703
297	242
665	653
995	953
620	573
1051	999
1049	999
1193	1173
928	872
894	872
37	21
1152	1138
743	301
172	153
1146	1138
768	703
1171	1173
804	703
745	703
189	176
368	369
65	21
448	449
830	703
870	872
876	872
136	122
634	573
16	11
216	193
417	383
625	573
1211	542
704	703
981	953
187	176
1013	999
1005	4
340	312
1080	1068
419	383
415	383
895	872
827	703
19	21
991	953
820	703
719	703
437	383
486	449
604	573
1109	1093
984	11
1089	1068
576	573
273	242
688	653
109	4
925	872
194	193
972	953
886	872
395	383
327	312
817	703
94	21
1188	1173
606	573
413	383
693	653
151	153
1233	11
1104	1093
1253	11
900	872
196	193
695	653
1184	1173
1165	1138
1162	1138
101	21
481	449
791	703
22	21
940	872
844	834
307	242
532	522
1042	999
1041	999
1094	1093
45	21
989	953
563	542
291	242
1015	999
1032	999
862	834
429	383
13	11
117	21
1259	11
755	703
206	193
784	11
424	383
877	872
376	369
428	383
1106	1093
480	449
706	703
656	653
1155	11
238	193
35	21
79	21
904	872
72	4
392	383
490	449
579	573
91	21
1077	1068
119	21
1241	11
83	21
469	449
203	193
78	21
710	703
111	21
1139	1138
333	312
401	301
357	343
50	21
786	703
1081	11
675	653
1199	1173
819	703
878	872
647	573
1011	999
801	703
318	312
61	21
59	21
47	21
450	449
1251	11
581	573
1256	11
567	301
782	703
1217	11
713	703
124	122
200	4
1150	1138
468	449
686	653
107	21
951	953
159	153
767	703
247	242
462	449
1245	4
33	21
1159	1138
749	703
708	703
1222	11
808	703
753	703
464	449
815	703
27	21
949	872
438	383
331	312
1225	11
518	514
1260	11
1250	11
1215	1173
1167	1138
873	872
285	242
1053	999
378	369
293	242
269	242
131	122
1002	999
699	301
202	4
390	383
138	122
299	301
959	11
244	242
183	176
1218	11
455	449
847	834
798	703
36	21
842	834
31	21
723	703
451	449
548	301
88	21
431	383
74	21
812	703
701	703
671	653
1029	999
1205	11
1021	999
983	953
829	11
1107	1093
305	242
69	21
770	703
1074	1068
218	193
466	449
874	11
371	369
311	312
1213	573
28	4
519	514
546	542
1181	1173
1061	999
584	573
492	301
1122	1114
80	21
922	872
443	4
77	21
1038	999
725	703
461	301
1036	999
958	953
406	383
197	193
511	449
271	242
34	21
832	834
885	11
535	522
96	21
856	834
658	653
778	703
43	21
38	21
772	703
442	383
864	834
628	573
1221	11
932	872
1115	1114
660	653
852	11
822	703
254	242
638	301
814	11
751	703
9	11
580	573
717	703
226	193
463	449
232	193
